Outcome,OutcomeCategory,Model,Stat,Result
PublicGood,EndogPublicGoods,W4,betaw,      0.25
PublicGood,EndogPublicGoods,W4,tstatw,      8.28
PublicGood,EndogPublicGoods,W4,AIC, -24833.32
PublicGood,EndogPublicGoods,W4,BIC, -24383.35
PublicGood,EndogPublicGoods,W4,loglike,  12480.09
PublicGood,EndogPublicGoods,p1,betap,      0.02
PublicGood,EndogPublicGoods,p1,tstatp,      1.81
PublicGood,EndogPublicGoods,p1,AIC, -15016.22
PublicGood,EndogPublicGoods,p1,BIC, -14876.04
PublicGood,EndogPublicGoods,p1,loglike,   7531.28
PublicGood,EndogPublicGoods,p2,betap,      0.00
PublicGood,EndogPublicGoods,p2,tstatp,      2.58
PublicGood,EndogPublicGoods,p2,AIC, -23040.69
PublicGood,EndogPublicGoods,p2,BIC, -22595.27
PublicGood,EndogPublicGoods,p2,loglike,  11583.80
PublicGood,EndogPublicGoods,p3,betap,      0.04
PublicGood,EndogPublicGoods,p3,tstatp,      3.31
PublicGood,EndogPublicGoods,p3,AIC, -15050.45
PublicGood,EndogPublicGoods,p3,BIC, -14910.27
PublicGood,EndogPublicGoods,p3,loglike,   7548.39
PublicGood,EndogPublicGoods,p4,betap,      0.00
PublicGood,EndogPublicGoods,p4,tstatp,      2.59
PublicGood,EndogPublicGoods,p4,AIC, -23041.81
PublicGood,EndogPublicGoods,p4,BIC, -22596.39
PublicGood,EndogPublicGoods,p4,loglike,  11584.37
PublicGood,EndogPublicGoods,p5,betap,      0.00
PublicGood,EndogPublicGoods,p5,tstatp,      1.33
PublicGood,EndogPublicGoods,p5,AIC, -14799.21
PublicGood,EndogPublicGoods,p5,BIC, -14659.31
PublicGood,EndogPublicGoods,p5,loglike,   7422.77
PublicGood,EndogPublicGoods,p6,betap,      0.00
PublicGood,EndogPublicGoods,p6,tstatp,      1.41
PublicGood,EndogPublicGoods,p6,AIC, -14801.43
PublicGood,EndogPublicGoods,p6,BIC, -14661.53
PublicGood,EndogPublicGoods,p6,loglike,   7423.88
PublicGood,EndogPublicGoods,W4+p1,betap,      0.02
PublicGood,EndogPublicGoods,W4+p1,tstatp,      1.66
PublicGood,EndogPublicGoods,W4+p1,AIC, -15304.62
PublicGood,EndogPublicGoods,W4+p1,BIC, -15158.36
PublicGood,EndogPublicGoods,W4+p1,loglike,   7676.49
PublicGood,EndogPublicGoods,W4+p1,betaw,      0.15
PublicGood,EndogPublicGoods,W4+p1,tstatw,      4.32
PublicGood,EndogPublicGoods,W4+p1/W4,betaw,      0.15
PublicGood,EndogPublicGoods,W4+p1/W4,tstatw,      4.31
PublicGood,EndogPublicGoods,W4+p1/W4,AIC, -15293.14
PublicGood,EndogPublicGoods,W4+p1/W4,BIC, -15152.96
PublicGood,EndogPublicGoods,W4+p1/W4,loglike,   7669.74
PublicGood,EndogPublicGoods,W4+p1/p1,betap,      0.02
PublicGood,EndogPublicGoods,W4+p1/p1,tstatp,      1.81
PublicGood,EndogPublicGoods,W4+p1/p1,AIC, -15016.22
PublicGood,EndogPublicGoods,W4+p1/p1,BIC, -14876.04
PublicGood,EndogPublicGoods,W4+p1/p1,loglike,   7531.28
PublicGood,EndogPublicGoods,W4+p2,betap,      0.00
PublicGood,EndogPublicGoods,W4+p2,tstatp,      1.85
PublicGood,EndogPublicGoods,W4+p2,AIC, -24858.08
PublicGood,EndogPublicGoods,W4+p2,BIC, -24405.61
PublicGood,EndogPublicGoods,W4+p2,loglike,  12493.52
PublicGood,EndogPublicGoods,W4+p2,betaw,      0.24
PublicGood,EndogPublicGoods,W4+p2,tstatw,      8.02
PublicGood,EndogPublicGoods,W4+p2/W4,betaw,      0.25
PublicGood,EndogPublicGoods,W4+p2/W4,tstatw,      8.18
PublicGood,EndogPublicGoods,W4+p2/W4,AIC, -24779.39
PublicGood,EndogPublicGoods,W4+p2/W4,BIC, -24333.97
PublicGood,EndogPublicGoods,W4+p2/W4,loglike,  12453.15
PublicGood,EndogPublicGoods,W4+p2/p2,betap,      0.00
PublicGood,EndogPublicGoods,W4+p2/p2,tstatp,      2.58
PublicGood,EndogPublicGoods,W4+p2/p2,AIC, -23040.69
PublicGood,EndogPublicGoods,W4+p2/p2,BIC, -22595.27
PublicGood,EndogPublicGoods,W4+p2/p2,loglike,  11583.80
PublicGood,EndogPublicGoods,W4+p3,betap,      0.03
PublicGood,EndogPublicGoods,W4+p3,tstatp,      2.52
PublicGood,EndogPublicGoods,W4+p3,AIC, -15327.19
PublicGood,EndogPublicGoods,W4+p3,BIC, -15180.93
PublicGood,EndogPublicGoods,W4+p3,loglike,   7687.78
PublicGood,EndogPublicGoods,W4+p3,betaw,      0.15
PublicGood,EndogPublicGoods,W4+p3,tstatw,      4.16
PublicGood,EndogPublicGoods,W4+p3/W4,betaw,      0.15
PublicGood,EndogPublicGoods,W4+p3/W4,tstatw,      4.31
PublicGood,EndogPublicGoods,W4+p3/W4,AIC, -15293.14
PublicGood,EndogPublicGoods,W4+p3/W4,BIC, -15152.96
PublicGood,EndogPublicGoods,W4+p3/W4,loglike,   7669.74
PublicGood,EndogPublicGoods,W4+p3/p3,betap,      0.04
PublicGood,EndogPublicGoods,W4+p3/p3,tstatp,      3.31
PublicGood,EndogPublicGoods,W4+p3/p3,AIC, -15050.45
PublicGood,EndogPublicGoods,W4+p3/p3,BIC, -14910.27
PublicGood,EndogPublicGoods,W4+p3/p3,loglike,   7548.39
PublicGood,EndogPublicGoods,W4+p4,betap,      0.00
PublicGood,EndogPublicGoods,W4+p4,tstatp,      1.85
PublicGood,EndogPublicGoods,W4+p4,AIC, -24857.57
PublicGood,EndogPublicGoods,W4+p4,BIC, -24405.09
PublicGood,EndogPublicGoods,W4+p4,loglike,  12493.26
PublicGood,EndogPublicGoods,W4+p4,betaw,      0.24
PublicGood,EndogPublicGoods,W4+p4,tstatw,      8.01
PublicGood,EndogPublicGoods,W4+p4/W4,betaw,      0.25
PublicGood,EndogPublicGoods,W4+p4/W4,tstatw,      8.18
PublicGood,EndogPublicGoods,W4+p4/W4,AIC, -24779.39
PublicGood,EndogPublicGoods,W4+p4/W4,BIC, -24333.97
PublicGood,EndogPublicGoods,W4+p4/W4,loglike,  12453.15
PublicGood,EndogPublicGoods,W4+p4/p4,betap,      0.00
PublicGood,EndogPublicGoods,W4+p4/p4,tstatp,      2.59
PublicGood,EndogPublicGoods,W4+p4/p4,AIC, -23041.81
PublicGood,EndogPublicGoods,W4+p4/p4,BIC, -22596.39
PublicGood,EndogPublicGoods,W4+p4/p4,loglike,  11584.37
PublicGood,EndogPublicGoods,W4+p5,betap,      0.00
PublicGood,EndogPublicGoods,W4+p5,tstatp,      1.57
PublicGood,EndogPublicGoods,W4+p5,AIC, -15088.38
PublicGood,EndogPublicGoods,W4+p5,BIC, -14942.41
PublicGood,EndogPublicGoods,W4+p5,loglike,   7568.37
PublicGood,EndogPublicGoods,W4+p5,betaw,      0.15
PublicGood,EndogPublicGoods,W4+p5,tstatw,      4.39
PublicGood,EndogPublicGoods,W4+p5/W4,betaw,      0.15
PublicGood,EndogPublicGoods,W4+p5/W4,tstatw,      4.32
PublicGood,EndogPublicGoods,W4+p5/W4,AIC, -15070.57
PublicGood,EndogPublicGoods,W4+p5/W4,BIC, -14930.66
PublicGood,EndogPublicGoods,W4+p5/W4,loglike,   7558.45
PublicGood,EndogPublicGoods,W4+p5/p5,betap,      0.00
PublicGood,EndogPublicGoods,W4+p5/p5,tstatp,      1.33
PublicGood,EndogPublicGoods,W4+p5/p5,AIC, -14799.21
