era,e_migdppcln,logpop,l_pwd_a,Elr,W4,e_peaveduc
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
1,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(0.009000000000000001, 1.494]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(0.009000000000000001, 1.494]"
2,"(0.864, 1.841]",,,,"(0.312, 0.492]","(1.494, 4.015]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(1.494, 4.015]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(1.494, 4.015]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(1.494, 4.015]"
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(1.494, 4.015]"
