gwid,gwgroupid,religion1,rel1_size,religion2,rel2_size,religion3,rel3_size,language1,lang1_size,language2,lang2_size,language3,lang3_size,phenotype1,pheno1_size,phenotype2,pheno2_size,phenotype3,pheno3_size
165,16502000,ARC4,0.55,ARC1,0.27,,0,spa,1,,0,,0,ssa,1,,0,,0
200,20001000,ARC5,0.47,ATH,0.39,,0,eng,1,,0,,0,eur,1,,0,,0
200,20002000,ARC4,0.52,ATH,0.4,,0,eng,1,,0,,0,eur,1,,0,,0
200,20003000,ARH,0.35,ERS,0.32,ARI1,0.27,pan,0.33,hin,0.27,ben,0.18,sas,1,,0,,0
200,20004000,ARC4,0.36,ARC99,0.29,,0,jam,1,,0,,0,ssa,1,,0,,0
200,20005000,ATH,0.4,ARC5,0.36,,0,cym,1,,0,,0,eur,1,,0,,0
200,20006000,ARC1,0.81,ATH,0.1,,0,eng,1,,0,,0,eur,1,,0,,0
200,20007000,ARC5,0.73,ARC1,0.14,,0,eng,1,,0,,0,eur,1,,0,,0
211,21101000,ARC1,0.62,ATH,0.31,,0,vls,1,,0,,0,eur,1,,0,,0
211,21102000,ARC1,0.59,ATH,0.3,,0,fra,1,,0,,0,eur,1,,0,,0
211,21103000,ARC1,0.53,ATH,0.26,,0,deu,1,,0,,0,eur,1,,0,,0
212,21201000,ARC1,0.81,ATH,0.16,,0,ltz,1,,0,,0,eur,1,,0,,0
220,22001000,ARC1,0.63,ATH,0.26,,0,fra,1,,0,,0,eur,1,,0,,0
220,22002000,ARC1,0.7,ATH,0.3,,0,eus,1,,0,,0,eur,1,,0,,0
220,22003000,ARC1,0.85,ATH,0.15,,0,cos,1,,0,,0,eur,1,,0,,0
220,22004000,ATH,0.4,ARC1,0.3,ARC4,0.13,fra,1,,0,,0,eur,0.5,sas,0.5,,0
225,22501000,ARC1,0.39,ARC4,0.33,ATH,0.17,gsw,1,,0,,0,eur,1,,0,,0
225,22502000,ARC4,0.4,ARC1,0.25,ATH,0.19,fra,1,,0,,0,eur,1,,0,,0
225,22503000,ARC1,0.79,ATH,0.19,,0,ita,1,,0,,0,eur,1,,0,,0
230,23001000,ARC1,0.75,ATH,0.22,,0,spa,1,,0,,0,eur,1,,0,,0
230,23002000,ARC1,0.8,ATH,0.18,,0,cat,1,,0,,0,eur,1,,0,,0
230,23003000,ARC1,0.77,ATH,0.18,,0,glg,1,,0,,0,eur,1,,0,,0
230,23004000,ARC1,0.83,ATH,0.15,,0,eus,1,,0,,0,eur,1,,0,,0
230,23005000,ARC1,0.66,ATH,0.18,,0,spa,1,,0,,0,eur,0.5,sas,0.5,,0
290,29001000,ARC1,0.86,ATH,0.1,,0,pol,1,,0,,0,eur,1,,0,,0
290,29002000,ATH,0.36,ARC4,0.31,ARC1,0.3,deu,1,,0,,0,eur,1,,0,,0
290,29003000,ARC2L,0.6,ATH,0.21,ARC1,0.1,ukr,1,,0,,0,eur,1,,0,,0
290,29004000,ARC2G,0.58,ATH,0.29,ARC1,0.1,bel,1,,0,,0,eur,1,,0,,0
290,29005000,ARJ,0.99,,0,,0,pol,1,,0,,0,eur,1,,0,,0
290,29006000,ARC1,0.54,ATH,0.25,,0,rmo,0.42,rml,0.37,rmc,0.14,eur,0.5,sas,0.5,,0
305,30501000,ARC1,0.72,ARC99,0.11,ATH,0.09,bar,1,,0,,0,eur,1,,0,,0
305,30502000,ARC1,0.77,ATH,0.14,,0,slv,1,,0,,0,eur,1,,0,,0
310,31001000,ARC1,0.6,ARC1,0.24,ATH,0.11,hun,1,,0,,0,eur,1,,0,,0
310,31002000,ARC4,0.56,ARC1,0.28,ARC99,0.09,hun,1,,0,,0,eur,0.5,sas,0.5,,0
315,31501000,ATH,0.71,ARC1,0.2,,0,ces,1,,0,,0,eur,1,,0,,0
315,31502000,ARC1,0.82,,0,,0,slk,1,,0,,0,eur,1,,0,,0
315,31503000,ARC1,0.62,ATH,0.09,,0,hun,1,,0,,0,eur,1,,0,,0
315,31504000,ATH,0.52,ARC1,0.36,,0,rmc,1,,0,,0,eur,0.5,sas,0.5,,0
317,31701000,ARC1,0.82,,0,,0,slk,1,,0,,0,eur,1,,0,,0
317,31702000,ARC1,0.62,ATH,0.09,,0,hun,1,,0,,0,eur,1,,0,,0
325,32501000,ARC1,0.83,ATH,0.13,,0,ita,1,,0,,0,eur,1,,0,,0
325,32502000,ARC1,0.58,ATH,0.19,,0,src,0.26,sdc,0.22,sro,0.22,eur,1,,0,,0
325,32503000,ARC1,0.7,ATH,0.17,,0,fur,1,,0,,0,eur,1,,0,,0
325,32504000,ARC1,0.56,ATH,0.17,,0,bar,1,,0,,0,eur,1,,0,,0
325,32505000,ARC1,0.57,ATH,0.39,,0,fra,1,,0,,0,eur,1,,0,,0
325,32506000,ARC1,0.56,ATH,0.3,,0,rmn,1,,0,,0,eur,0.5,sas,0.5,,0
338,33801000,ARC1,0.92,,0,,0,mlt,1,,0,,0,eur,1,,0,,0
339,33901000,ARI1,0.6,ARC2,0.2,ARC1,0.1,als,0.62,aln,0.38,,0,eur,1,,0,,0
339,33902000,ARC2A,1,,0,,0,ell,1,,0,,0,eur,1,,0,,0
339,33903000,ARC2J,1,,0,,0,mkd,1,,0,,0,eur,1,,0,,0
340,34001000,ARC2H,1,,0,,0,srp,1,,0,,0,eur,1,,0,,0
340,34002000,ARC1,0.95,,0,,0,hrv,1,,0,,0,eur,1,,0,,0
340,34004000,ARI1,0.94,,0,,0,bos,1,,0,,0,eur,1,,0,,0
340,34006000,ARI1,0.62,ARC1,0.26,,0,aln,1,,0,,0,eur,1,,0,,0
340,34009000,ARC2I,0.72,ARI1,0.15,,0,srp,1,,0,,0,eur,1,,0,,0
340,34011000,ARC1,0.58,ARC4,0.24,ATH,0.1,hun,1,,0,,0,eur,1,,0,,0
340,34012000,ARC1,0.35,ARI1,0.21,ARI1,0.14,rsb,0.5,rmn,0.41,rmo,0.09,eur,0.5,sas,0.5,,0
340,34013000,ARC2H,0.95,,0,,0,ron,1,,0,,0,eur,1,,0,,0
341,34101000,ARC2I,0.85,ATH,0.1,,0,srp,1,,0,,0,eur,1,,0,,0
341,34102000,ARC2H,0.84,ATH,0.12,,0,srp,1,,0,,0,eur,1,,0,,0
341,34103000,ARI1,1,,0,,0,bos,1,,0,,0,eur,1,,0,,0
341,34104000,ARI1,0.75,ARC1,0.25,,0,aln,1,,0,,0,eur,1,,0,,0
341,34105000,ARC1,1,,0,,0,hrv,1,,0,,0,eur,1,,0,,0
341,34106000,ARC2I,0.7,ARI1,0.3,,0,rmy,0.8,aln,0.1,srp,0.1,eur,0.5,sas,0.5,,0
343,34301000,ARC2J,1,,0,,0,mkd,1,,0,,0,eur,1,,0,,0
343,34302000,ARI1,1,,0,,0,aln,1,,0,,0,eur,1,,0,,0
343,34303000,ARI1,0.75,ARC2J,0.2,,0,rmn,0.9,mkd,0.1,,0,eur,0.5,sas,0.5,,0
343,34304000,ARC2H,1,,0,,0,srp,1,,0,,0,eur,1,,0,,0
343,34305000,ARI1,1,,0,,0,tur,1,,0,,0,eur,1,,0,,0
343,34306000,ARC2J,0.714,ATH,0.16,ARC4,0.126,rup,1,,0,,0,eur,1,,0,,0
343,34307000,ARI1,1,,0,,0,bos,1,,0,,0,eur,1,,0,,0
344,34401000,ARC1,0.93,,0,,0,hrv,1,,0,,0,eur,1,,0,,0
344,34402000,ARC2H,0.79,ATH,0.18,,0,srp,1,,0,,0,eur,1,,0,,0
344,34403000,ARI1,0.95,,0,,0,bos,1,,0,,0,eur,1,,0,,0
344,34404000,ARC1,0.83,ATH,0.17,,0,ita,1,,0,,0,eur,1,,0,,0
344,34405000,ARC1,0.7,ATH,0.1,ARI1,0.2,rmy,1,,0,,0,eur,0.5,sas,0.5,,0
344,34406000,ARC1,0.81,ATH,0.19,,0,hun,1,,0,,0,eur,1,,0,,0
345,34501000,ARC2H,1,,0,,0,srp,1,,0,,0,eur,1,,0,,0
345,34502000,ARC1,1,,0,,0,hrv,1,,0,,0,eur,1,,0,,0
345,34504000,ARI1,1,,0,,0,bos,1,,0,,0,eur,1,,0,,0
345,34506000,ARI1,0.8,ARC1,0.2,,0,aln,1,,0,,0,eur,1,,0,,0
345,34507000,ARC1,0.6,ARC4,0.1,ATH,0.3,slv,1,,0,,0,eur,1,,0,,0
345,34508000,ARC2J,1,,0,,0,mkd,1,,0,,0,eur,1,,0,,0
345,34509000,ARC2H,1,,0,,0,srp,1,,0,,0,eur,1,,0,,0
345,34511000,ARC1,0.8,ARC4,0.2,,0,hun,1,,0,,0,eur,1,,0,,0
345,34512000,ARC2H,0.33,ARI1,0.33,ARC1,0.33,rmn,0.8,rmo,0.2,,0,eur,0.5,sas,0.5,,0
346,34601000,ARI1,1,,0,,0,bos,1,,0,,0,eur,1,,0,,0
346,34602000,ARC2H,1,,0,,0,srp,1,,0,,0,eur,1,,0,,0
346,34603000,ARC1,1,,0,,0,hrv,1,,0,,0,eur,1,,0,,0
346,34604000,ARC1,0.3,ARI1,0.4,ARC2,0.3,rmy,1,,0,,0,eur,0.5,sas,0.5,,0
347,34701000,ARI1,0.7,ARC1,0.3,,0,aln,1,,0,,0,eur,1,,0,,0
347,34702000,ARC2H,0.74,ARI1,0.16,,0,srp,1,,0,,0,eur,1,,0,,0
347,34703000,ARC1,0.6,ARI1,0.4,,0,rmy,1,,0,,0,eur,0.5,sas,0.5,,0
347,34704000,ARI1,0.95,,0,,0,srp,1,,0,,0,eur,1,,0,,0
347,34705000,ARI1,1,,0,,0,tur,1,,0,,0,eur,1,,0,,0
347,34706000,ARI1,0.99,,0,,0,bos,1,,0,,0,eur,1,,0,,0
349,34901000,ARC1,0.54,ATH,0.45,,0,slv,1,,0,,0,eur,1,,0,,0
349,34905000,ARC1,0.68,ARC4,0.27,,0,hun,1,,0,,0,eur,1,,0,,0
349,34906000,ARC1,0.83,ATH,0.15,,0,ita,1,,0,,0,eur,1,,0,,0
349,34908000,ARC99,0.46,ARC4,0.28,ARC1,0.18,rmo,1,,0,,0,eur,0.5,sas,0.5,,0
350,35001000,ARC2A,0.93,,0,,0,ell,1,,0,,0,eur,1,,0,,0
350,35002000,ARI1A,0.95,,0,,0,tur,0.55,bul,0.35,als,0.1,eur,1,,0,,0
350,35003000,ARC2A,0.6,ARI1,0.15,ATH,0.15,ell,0.78,rmn,0.21,ruq,0.005,eur,0.5,sas,0.5,,0
350,35004000,ARC2J,0.62,ARI1A,0.25,ATH,0.1,mkd,1,,0,,0,eur,1,,0,,0
352,35201000,ARC2A,0.9,,0,,0,ell,1,,0,,0,eur,1,,0,,0
352,35202000,ARI1,0.995,,0,,0,tur,1,,0,,0,eur,1,,0,,0
355,35501000,ARC2K,0.95,,0,,0,bul,1,,0,,0,eur,1,,0,,0
355,35502000,ARI1,0.96,,0,,0,tur,1,,0,,0,eur,1,,0,,0
355,35503000,ARC2K,0.5,ARI1,0.3,ATH,0.16,rmn,1,,0,,0,eur,0.5,sas,0.5,,0
355,35504000,ARI1,1,,0,,0,bul,1,,0,,0,eur,1,,0,,0
355,35505000,ARC2J,0.95,,0,,0,mkd,1,,0,,0,eur,1,,0,,0
359,35901000,ARC2C,0.7,ARC2B,0.3,,0,ron,1,,0,,0,eur,1,,0,,0
359,35903000,ARC2F,0.7,ATH,0.3,,0,rus,1,,0,,0,eur,1,,0,,0
359,35904000,ARC2,0.8,,0,,0,gag,0.9,,0,,0,eur,1,,0,,0
359,35905000,ARC2K,1,,0,,0,bul,0.68,ron,0.1,rus,0.22,eur,1,,0,,0
360,36001000,ARC2B,0.94,,0,,0,ron,1,,0,,0,eur,1,,0,,0
360,36002000,ARC4,0.47,ARC1,0.41,,0,hun,1,,0,,0,eur,1,,0,,0
360,36003000,ARC2B,0.82,,0,,0,rmy,1,,0,,0,eur,0.5,sas,0.5,,0
360,36004000,ARC1,0.6,ARC4E,0.11,,0,deu,1,,0,,0,eur,1,,0,,0
365,36501000,ARC2F,0.7,ATH,0.3,,0,rus,1,,0,,0,eur,1,,0,,0
365,36502000,ARC2L,0.26,ATH,0.6,,0,ukr,0.8,rus,0.2,,0,eur,1,,0,,0
365,36503000,ARI1A,0.6,ATH,0.4,,0,tat,1,,0,,0,eur,1,,0,,0
365,36504000,ARC2G,0.48,ATH,0.41,,0,bel,0.41,rus,0.59,,0,eur,1,,0,,0
365,36505000,ARI1A,1,,0,,0,uzn,1,,0,,0,eas,0.5,eur,0.5,,0
365,36506000,ARI1A,1,,0,,0,chv,1,,0,,0,eur,1,,0,,0
365,36507000,ARI1A,0.6,ATH,0.4,,0,bak,1,,0,,0,eur,1,,0,,0
365,36508000,ARC4A,1,,0,,0,hye,1,,0,,0,eur,1,,0,,0
365,36509000,ARI2A,0.79,ARI1A,0.14,,0,azj,1,,0,,0,eur,1,,0,,0
365,36510000,ARC2E,1,,0,,0,kat,1,,0,,0,eur,1,,0,,0
365,36511000,ARJ,1,,0,,0,rus,0.8,ydd,0.1,heb,0.1,eur,1,,0,,0
365,36512000,ARI1B,1,,0,,0,kaz,1,,0,,0,eas,1,,0,,0
365,36513000,ARC1,0.8,ATH,0.1,,0,lit,1,,0,,0,eur,1,,0,,0
365,36514000,ARC2C,0.7,ARC2B,0.3,,0,ron,1,,0,,0,eur,1,,0,,0
365,36516000,ARI1B,0.88,ATH,0.12,,0,che,1,,0,,0,eur,1,,0,,0
365,36517000,ARC4,1,,0,,0,deu,0.49,rus,0.51,,0,eur,1,,0,,0
365,36518000,ARC1,1,,0,,0,pol,1,,0,,0,eur,1,,0,,0
365,36519000,ARI1A,0.95,,0,,0,tgk,1,,0,,0,eur,1,,0,,0
365,36520000,ARC2F,0.65,ATH,0.35,,0,myv,0.5,mdf,0.5,,0,eur,1,,0,,0
365,36521000,ARC4E,0.22,ARC1,0.18,ATH,0.4,lav,1,,0,,0,eur,1,,0,,0
365,36522000,ARI1,1,,0,,0,kir,1,,0,,0,eas,1,,0,,0
365,36523000,ARI1,1,,0,,0,ava,1,,0,,0,eur,1,,0,,0
365,36524000,ATH,0.5,ARC4E,0.3,,0,est,1,,0,,0,eur,1,,0,,0
365,36525000,ARI1,1,,0,,0,tuk,1,,0,,0,eas,0.5,eur,0.5,,0
365,36526000,ARI1B,0,ATH,0.3,,0,dar,1,,0,,0,eur,1,,0,,0
365,36527000,ARC2,0.7,ARI1,0.2,,0,oss,1,,0,,0,eur,1,,0,,0
365,36528000,ARI1,0.9,,0,,0,kbd,1,,0,,0,eur,1,,0,,0
365,36529000,ARC2F,0.6,ANI,0.3,,0,chm,1,,0,,0,eur,1,,0,,0
365,36530000,ARC2F,0.8,ANI,0.1,,0,udm,0.77,rus,0.23,,0,eur,1,,0,,0
365,36532000,ERB7,0.75,ANI2,0.15,,0,bxr,1,,0,,0,eas,1,,0,,0
365,36533000,ARI1B,1,,0,,0,inh,1,,0,,0,eur,1,,0,,0
365,36534000,ARI1A,1,,0,,0,kum,1,,0,,0,eur,1,,0,,0
365,36535000,ARI1B,0.95,,0,,0,lez,1,,0,,0,eur,1,,0,,0
365,36536000,ARC2F,0.6,ANI2,0.4,,0,sah,1,,0,,0,eas,1,,0,,0
365,36537000,ARC2F,0.4,ANI,0.45,ATH,0.15,kom,0.8,rus,0.1,,0,eur,1,,0,,0
365,36538000,ATH,0.4,ARC4,0.45,,0,kor,0.6,rus,0.4,,0,eas,1,,0,,0
365,36539000,ANI2,0.5,ERB7,0.5,,0,tyv,1,,0,,0,eas,1,,0,,0
365,36540000,ARI1A,1,,0,,0,ady,1,,0,,0,eur,1,,0,,0
365,36543000,ARI1D,1,,0,,0,krc,0.97,,0,,0,eur,1,,0,,0
365,36544000,ARI1A,1,,0,,0,kbd,1,,0,,0,eur,1,,0,,0
365,36546000,ARI1,0.16,ARC2,0.6,,0,abk,1,,0,,0,eur,1,,0,,0
365,36547000,ARC2F,0.4,ANI2,0.4,,0,alt,1,,0,,0,eur,1,,0,,0
365,36548000,ANI2,0.7,ARC2F,0.12,ATH,0.11,ckt,0.66,rus,0.33,,0,eas,0.5,ame,0.5,,0
365,36549000,ARI1A,1,,0,,0,crh,0.85,,0,,0,eur,1,,0,,0
365,36550000,ARC4E,1,,0,,0,fin,0.5,rus,0.5,,0,eur,1,,0,,0
365,36551000,ARC2,0.8,,0,,0,gag,0.89,,0,,0,eur,1,,0,,0
365,36552000,ARC2F,0.6,ARI1,0.4,,0,rmy,1,,0,,0,eur,0.5,sas,0.5,,0
365,36553000,ERB7,1,,0,,0,xal,1,,0,,0,eas,1,,0,,0
365,36554000,ARI1,1,,0,,0,krc,0.97,,0,,0,eur,1,,0,,0
365,36555000,ARI1A,0.78,ATH,0.22,,0,kaa,1,,0,,0,eas,1,,0,,0
365,36556000,ARC2F,0.36,ATH,0.4,ARC4E,0.12,krl,0.63,rus,0.37,,0,eur,1,,0,,0
365,36557000,ARC2F,0.5,ANI2,0.5,,0,kjh,0.26,rus,0.74,,0,eas,1,,0,,0
365,36558000,ARC2F,0.7,ANI2,0.1,,0,rus,0.25,koi,0.75,,0,eur,1,,0,,0
365,36559000,ARI1B,1,,0,,0,lbe,0.92,,0,,0,eur,1,,0,,0
365,36561000,ARI1,1,,0,,0,nog,1,,0,,0,eur,1,,0,,0
365,36563000,ARI2B,1,,0,,0,sgh,1,,0,,0,eur,1,,0,,0
365,36565000,ARI1,1,,0,,0,tab,0.96,,0,,0,eur,1,,0,,0
365,36566000,ARI1A,1,,0,,0,uig,0.86,,0,,0,eas,1,,0,,0
366,36601000,ATH,0.7,ARC4E,0.2,,0,est,1,,0,,0,eur,1,,0,,0
366,36602000,ARC2F,0.58,ATH,0.4,,0,rus,0.6,est,0.4,,0,eur,1,,0,,0
366,36603000,ARC2L,0.58,ATH,0.25,,0,ukr,1,,0,,0,eur,1,,0,,0
366,36604000,ARC2F,0.58,ATH,0.29,ARC1,0.11,bel,1,,0,,0,eur,1,,0,,0
367,36701000,ATH,0.5,ARC4E,0.23,ARC1,0.22,lav,1,,0,,0,eur,1,,0,,0
367,36702000,ARC2F,0.75,ATH,0.2,,0,rus,0.5,lav,0.5,,0,eur,1,,0,,0
367,36703000,ARC2,0.6,ATH,0.3,,0,bel,1,,0,,0,eur,1,,0,,0
367,36704000,ARC2,0.6,ATH,0.3,,0,ukr,1,,0,,0,eur,1,,0,,0
368,36801000,ARC1,0.69,ATH,0.24,,0,lit,1,,0,,0,eur,1,,0,,0
368,36802000,ARC1,0.86,ATH,0.1,,0,pol,1,,0,,0,eur,1,,0,,0
368,36803000,ARC2F,0.63,ATH,0.34,,0,rus,1,,0,,0,eur,1,,0,,0
369,36901000,ATH,0.625,ARC2L,0.16,ARC2F,0.11,ukr,0.8,rus,0.2,,0,eur,1,,0,,0
369,36902000,ATH,0.625,ARC2F,0.22,,0,rus,1,,0,,0,eur,1,,0,,0
369,36903000,ATH,0.625,ARC2L,0.16,ARC2F,0.11,ron,1,,0,,0,eur,1,,0,,0
369,36905000,ARI1,1,,0,,0,crh,1,,0,,0,eur,1,,0,,0
369,36907000,ARC1,0.54,ARC4,0.22,ATH,0.22,hun,1,,0,,0,eur,1,,0,,0
369,36908000,ARC2L,0.85,ATH,0.15,,0,rue,0.66,ukr,0.34,,0,eur,1,,0,,0
370,37001000,ARC2F,0.49,ATH,0.4,,0,rus,0.6,bel,0.4,,0,eur,1,,0,,0
370,37002000,ARC2F,0.52,ATH,0.43,,0,rus,1,,0,,0,eur,1,,0,,0
370,37003000,ARC1,0.75,ATH,0.24,,0,pol,1,,0,,0,eur,1,,0,,0
371,37101000,ARC3F,0.79,ATH,0.14,,0,hye,1,,0,,0,eur,1,,0,,0
371,37102000,ARI1,0.945,,0,,0,kmr,1,,0,,0,eur,1,,0,,0
371,37104000,ARC3D,0.87,ATH,0.12,,0,aii,1,,0,,0,eur,1,,0,,0
372,37201000,ARC2E,0.75,ATH,0.2,,0,kat,1,,0,,0,eur,1,,0,,0
372,37202000,ARC3F,0.8,ATH,0.16,,0,hye,1,,0,,0,eur,1,,0,,0
372,37205000,ARI2A,0.75,ATH,0.2,,0,azj,1,,0,,0,eur,1,,0,,0
372,37206000,ARC2E,0.45,ARI1,0.35,ATH,0.1,oss,1,,0,,0,eur,1,,0,,0
372,37207000,ARC2,0.58,ARI1,0.18,ATH,0.1,abk,1,,0,,0,eur,1,,0,,0
373,37301000,ARI2A,0.77,ATH,0.22,,0,azj,1,,0,,0,eur,1,,0,,0
373,37302000,ARI1,0.9,,0,,0,lez,1,,0,,0,eur,1,,0,,0
373,37304000,ARC3F,0.73,ATH,0.26,,0,hye,1,,0,,0,eur,1,,0,,0
373,37305000,ARI2,1,,0,,0,tly,1,,0,,0,eur,1,,0,,0
375,37501000,ARC4E,0.85,ATH,0.15,,0,fin,1,,0,,0,eur,1,,0,,0
375,37502000,ARC4E,0.75,ATH,0.25,,0,swe,1,,0,,0,eur,1,,0,,0
395,39501000,ARC4,0.86,ATH,0.08,,0,isl,1,,0,,0,eur,1,,0,,0
402,40201000,ARC1,0.96,,0,,0,kea,1,,0,,0,ssa,0.5,eur,0.5,,0
404,40401000,ANI1,0.55,ARI1,0.41,ARC1,0.04,ble,1,,0,,0,ssa,1,,0,,0
404,40403000,ANI1,0.78,ARI1,0.19,ARC1,0.02,mfv,1,,0,,0,ssa,1,,0,,0
404,40405000,ANI1,0.6,ARI1,0.26,ARC1,0.1,pbo,1,,0,,0,ssa,1,,0,,0
404,40406000,ARI1,0.42,ARC1,0.36,ARC4,0.08,pov,1,,0,,0,ssa,0.5,eur,0.5,,0
411,41101000,ARC1,0.93,,0,,0,fan,1,,0,,0,ssa,1,,0,,0
411,41102000,ARC1,0.45,ARC4,0.45,,0,nmg,0.37,nui,0.26,bnm,0.23,ssa,1,,0,,0
411,41103000,ARC1,0.87,,0,,0,bvb,1,,0,,0,ssa,1,,0,,0
411,41104000,ARC1,0.74,ARC4,0.15,,0,fpe,1,,0,,0,ssa,1,,0,,0
411,41105000,ARC1,0.8,ARC4,0.1,ARC99,0.1,fab,1,,0,,0,ssa,0.5,eur,0.5,,0
420,42001000,ARI1,0.95,ANI1,0.04,,0,mnk,1,,0,,0,ssa,1,,0,,0
420,42002000,ARI1,0.98,ANI1,0.02,,0,fuc,1,,0,,0,ssa,1,,0,,0
420,42003000,ARI1,1,,0,,0,wof,1,,0,,0,ssa,1,,0,,0
420,42004000,ARI1,0.84,ARC1,0.08,ANI1,0.08,dyo,0.92,krx,0.08,,0,ssa,1,,0,,0
420,42006000,ARC1,0.39,ARC99,0.21,ARI1,0.15,kri,1,,0,,0,ssa,0.5,eur,0.5,,0
432,43201000,ARI1,0.92,ANI1,0.06,ARC1,0.02,bam,0.24,ffm,0.09,myk,0.07,ssa,1,,0,,0
432,43202000,ARI1,1,,0,,0,taq,0.57,ttq,0.43,,0,men,0.5,ssa,0.5,,0
432,43203000,ARI1,1,,0,,0,mey,1,,0,,0,men,1,,0,,0
433,43301000,ARI1,0.99,ARC1,0.01,,0,wol,1,,0,,0,ssa,1,,0,,0
433,43302000,ARI1,1,,0,,0,fuc,0.95,fuf,0.05,,0,ssa,1,,0,,0
433,43303000,ARI1,0.78,ARC1,0.21,ANI1,0.01,srr,0.88,sav,0.09,snf,0.03,ssa,1,,0,,0
433,43304000,ARI1,0.95,ANI1,0.04,ARC1,0.01,mnk,0.73,snk,0.27,,0,ssa,1,,0,,0
433,43305000,ARI1,0.63,ANI1,0.22,ARC1,0.15,dyo,0.63,csk,0.12,bda,0.04,ssa,1,,0,,0
434,43401000,ARC1,0.47,ANI1,0.25,ARC99,0.11,fon,1,,0,,0,ssa,1,,0,,0
434,43402000,ARC1,0.45,ANI1,0.21,ARC99,0.21,yor,0.45,guw,0.31,nqg,0.19,ssa,1,,0,,0
434,43403000,ARI1,0.72,ANI1,0.17,ARC1,0.07,bba,0.42,fue,0.25,tbz,0.11,ssa,1,,0,,0
434,43404000,ARC1,0.27,ANI1,0.3,ARI1,0.24,ajg,1,,0,,0,ssa,1,,0,,0
435,43501000,ARI1C,0.99,,0,,0,mey,1,,0,,0,men,0.5,ssa,0.5,,0
435,43502000,ARI1C,0.99,,0,,0,mey,1,,0,,0,ssa,0.5,ssa,0.5,,0
435,43503000,ARI1,0.96,,0,,0,fuc,0.49,taq,0.19,snk,0.1,ssa,0,,0,,0
435,43504000,ARI1,1,,0,,0,ary,1,,0,,0,men,1,,0,,0
436,43601000,ARI1,0.95,ARI2,0.05,,0,dje,1,,0,,0,ssa,1,,0,,0
436,43602000,ARI1,0.91,ARI2,0.05,ANI1,0.04,hau,1,,0,,0,ssa,1,,0,,0
436,43603000,ARI1,0.95,ARI2,0.05,,0,kby,0.67,knc,0.19,krt,0.1,ssa,1,,0,,0
436,43605000,ARI1,0.95,ARI2,0.05,,0,dzg,0.83,tuq,0.17,,0,ssa,1,,0,,0
436,43606000,ARI1,1,,0,,0,ttq,0.62,thz,0.35,thv,0.03,ssa,1,,0,,0
437,43701000,ARC1,0.3,ARI1C,0.23,ARC4,0.17,bci,1,,0,,0,ssa,1,,0,,0
437,43702000,ARC1,0.16,ARC4,0.12,ANI1,0.08,gxx,0.23,wob,0.12,btg,0.12,ssa,1,,0,,0
437,43703000,ARI1C,0.7,ANI1,0.1,,0,sef,0.37,dyu,0.08,mxx,0.07,ssa,1,,0,,0
437,43704000,ARC1,0.23,ANI1,0.19,ARC4,0.15,any,0.3,ati,0.19,mtb,0.15,ssa,1,,0,,0
437,43705000,ANI1,0.3,ARC1,0.11,ARC4,0.06,daf,0.62,goa,0.26,neb,0.03,ssa,1,,0,,0
438,43801000,ARI1,0.97,ANI1,0.03,,0,emk,0.9,mku,0.06,msc,0.04,ssa,1,,0,,0
438,43802000,ARI1,1,,0,,0,fuf,0.99,fuc,0.01,,0,ssa,1,,0,,0
438,43803000,ARI1,0.96,ANI1,0.04,,0,sus,1,,0,,0,ssa,1,,0,,0
450,45001000,ARC4,0.7,ARC99,0.14,ARC1,0.09,lir,1,,0,,0,ssa,0.5,eur,0.5,,0
450,45003000,ANI1,0.51,ARC4,0.16,ARI1,0.12,xpe,0.44,daf,0.17,mev,0.15,ssa,1,,0,,0
450,45003020,ANI1,0.73,ARC1,0.18,ARC4,0.05,daf,1,,0,,0,ssa,1,,0,,0
450,45003050,ANI1,0.57,ARC4,0.17,ARC1,0.16,kqo,0.5,krw,0.5,,0,ssa,1,,0,,0
450,45003060,ARC1,0.4,ARC4,0.2,ANI1,0.2,klu,1,,0,,0,ssa,1,,0,,0
450,45003070,ARI1,1,,0,,0,mzj,1,,0,,0,ssa,1,,0,,0
450,45003080,ANI1,0.92,ARC99,0.04,ARC4,0.02,mev,1,,0,,0,ssa,1,,0,,0
451,45101000,ARC4,0.27,ANI1,0.26,ARI1,0.23,kri,1,,0,,0,ssa,0.5,eur,0.5,,0
451,45102000,ANI1,0.78,ARI1,0.1,ARC4,0.07,kno,1,,0,,0,ssa,1,,0,,0
451,45104000,ARI1,0.75,ANI1,0.1,ARC4,0.08,men,1,,0,,0,ssa,1,,0,,0
451,45105000,ARI1,0.74,ANI1,0.18,ARC4,0.04,tem,0.79,lia,0.21,,0,ssa,1,,0,,0
451,45105030,ARI1,0.62,ANI1,0.24,ARC4,0.1,lia,1,,0,,0,ssa,1,,0,,0
451,45105060,ARI1,0.77,ANI1,0.16,ARC4,0.02,tem,1,,0,,0,ssa,1,,0,,0
452,45201000,ARI1C,0.29,ARC4,0.28,ARC99,0.28,aka,1,,0,,0,ssa,1,,0,,0
452,45202000,ARC4,0.42,ARC99,0.33,ARC1,0.19,ewe,1,,0,,0,ssa,1,,0,,0
452,45203000,ARC99,0.46,ARC4,0.28,ARC1,0.18,gaa,1,,0,,0,ssa,1,,0,,0
