gwid,gwgroupid,religion1,rel1_size,religion2,rel2_size,religion3,rel3_size,language1,lang1_size,language2,lang2_size,language3,lang3_size,phenotype1,pheno1_size,phenotype2,pheno2_size,phenotype3,pheno3_size
775,77506000,ARC4,0.39,ANI,0.4,ARC1,0.11,ksw,0.37,kjp,0.35,,0,sas,1,,0,,0
775,77507000,ERB1,0.85,ANI,0.1,,0,mnw,1,,0,,0,eas,1,,0,,0
775,77508000,ARI1,1,,0,,0,rhg,1,,0,,0,sas,1,,0,,0
775,77509000,ERB1,0.99,,0,,0,shn,1,,0,,0,eas,1,,0,,0
775,77510000,ANI,0.69,ARC4,0.3,,0,prk,1,,0,,0,eas,1,,0,,0
775,77511000,ARC4,0.66,ANI,0.34,,0,ctd,0.25,cmr,0.18,cfm,0.17,sas,1,,0,,0
775,77512000,ANI,0.51,ARC4,0.31,ERB1,0.18,kyu,0.74,pdu,0.11,,0,sas,1,,0,,0
780,78001000,ERH2,0.9,,0,,0,tam,1,,0,,0,sas,1,,0,,0
780,78002000,ARI1B,1,,0,,0,tam,1,,0,,0,sas,1,,0,,0
780,78003000,ERB1,1,,0,,0,sin,1,,0,,0,sas,1,,0,,0
780,78004000,ERH2,0.8,ARC1,0.15,,0,tam,1,,0,,0,sas,1,,0,,0
781,78101000,ARI1B,0.99,,0,,0,div,1,,0,,0,sas,1,,0,,0
790,79001000,ERH1,0.8,ERB3,0.1,,0,npi,0.86,,0,,0,sas,1,,0,,0
790,79002000,ERH1,0.61,ERB3,0.27,ERS,0.1,npi,0.36,taj,0.15,new,0.09,sas,1,,0,,0
790,79003000,ERH4,0.83,ERB3,0.17,,0,new,0.59,npi,0.38,,0,sas,1,,0,,0
790,79004000,ERH1,0.9,,0,,0,npi,0.8,new,0.1,,0,sas,1,,0,,0
790,79005000,ERH1,0.7,ERB,0.1,,0,mai,0.55,bho,0.34,awa,0.11,sas,1,,0,,0
790,79006000,ARI1,1,,0,,0,npi,0.76,bho,0.15,mai,0.07,sas,1,,0,,0
800,80001000,ARI1,1,,0,,0,mfa,1,,0,,0,sas,1,,0,,0
800,80002000,ERB1,0.75,ANI,0.25,,0,shn,1,,0,,0,sas,1,,0,,0
800,80003000,ERB1,1,,0,,0,tha,1,,0,,0,eas,1,,0,,0
800,80004000,ERB1,0.6,ERB2,0.2,EARC1,0.2,tha,0.8,nan,0.2,,0,eas,1,,0,,0
800,80005000,ANI,1,,0,,0,ksw,0.28,mnw,0.15,ahk,0.08,sas,0.5,eas,0.5,,0
811,81101000,ARI1,1,,0,,0,cja,0.59,khm,0.41,,0,eas,1,,0,,0
811,81102000,ERB2,0.8,ANI,0.2,,0,nan,0.67,yue,0.2,,0,eas,1,,0,,0
811,81103000,ERB99,1,,0,,0,khm,1,,0,,0,eas,1,,0,,0
811,81104000,ERB2,1,,0,,0,vie,0.56,khm,0.44,,0,eas,1,,0,,0
811,81105000,ANI,1,,0,,0,kdt,0.37,tpu,0.31,jra,0.2,eas,0.5,oce,0.5,,0
811,81107000,ERB2,0.57,ANI,0.33,,0,lao,1,,0,,0,eas,0,,0,,0
812,81201000,ANI,1,,0,,0,mww,0.63,hnj,0.27,,0,eas,1,,0,,0
812,81202000,ANI,1,,0,,0,kjg,1,,0,,0,eas,1,,0,,0
812,81203000,ERB1,1,,0,,0,lao,0.95,,0,,0,eas,1,,0,,0
812,81204000,ANI,1,,0,,0,ahk,0.37,pho,0.2,ium,0.11,eas,1,,0,,0
812,81205000,ANI,1,,0,,0,kgd,0.15,sss,0.14,,0,eas,1,,0,,0
812,81209000,ERB1,0.5,ANI,0.5,,0,pht,0.183,khb,0.16,,0,eas,1,,0,,0
816,81601000,ERB2,0.48,ATH,0.33,,0,yue,1,,0,,0,eas,1,,0,,0
816,81602000,ERB2,0.48,ATH,0.33,,0,vie,1,,0,,0,eas,1,,0,,0
816,81603000,ANI,0.84,,0,,0,ium,0.67,mji,0.33,,0,eas,1,,0,,0
816,81610000,ANI,0.65,ARC4,0.18,ARC1,0.12,jra,1,,0,,0,oce,1,,0,,0
816,81611000,ANI,0.58,ARC4,0.32,,0,mww,1,,0,,0,eas,1,,0,,0
816,81613000,ERB1,0.84,,0,,0,khm,1,,0,,0,eas,1,,0,,0
816,81615000,ANI,0.8,ATH,0.19,,0,mtq,1,,0,,0,eas,1,,0,,0
816,81616000,ANI,0.75,ATH,0.24,,0,nut,1,,0,,0,eas,1,,0,,0
816,81617000,ANI,0.52,ERB2,0.39,,0,tyz,1,,0,,0,eas,1,,0,,0
816,81618000,ANI,0.82,,0,,0,blt,0.52,twh,0.21,pht,0.15,eas,1,,0,,0
817,81701000,ERB2,0.9,ARC1,0.1,,0,yue,0.53,nan,0.33,hak,0.08,eas,1,,0,,0
817,81702000,ERB2,0.85,ARC1,0.1,,0,vie,1,,0,,0,eas,0.9,oce,0.1,,0
820,82001000,EARC1,0.3,ERB,0.26,ARI1,0.25,hak,0.4,nan,0.3,yue,0.3,eas,1,,0,,0
820,82002000,ANI,0.52,ARC4,0.26,ARC1,0.13,iba,0.81,bth,0.08,sdo,0.06,oce,1,,0,,0
820,82003000,ERH,0.62,ARI1,0.31,,0,tam,0.8,,0,,0,sas,1,,0,,0
820,82004000,ANI,0.34,ARC1,0.33,ARC4,0.21,dtb,0.38,kjz,0.12,,0,oce,1,,0,,0
820,82005000,ARI1,0.993,,0,,0,zlm,0.57,meo,0.15,,0,oce,1,,0,,0
820,82006000,ANI,0.72,ARI1,0.23,,0,sea,0.3,jak,0.19,tmw,0.16,oce,1,,0,,0
830,83001000,ERB2,0.51,ATH,0.24,,0,nan,0.42,cmn,0.4,yue,0.12,eas,1,,0,,0
830,83002000,ARI1,0.59,ARC1,0.19,,0,zlm,0.64,tgl,0.24,mad,0.04,eas,1,,0,,0
830,83003000,ERH,0.61,ARI1,0.2,,0,tam,0.3,ben,0.2,eng,0.19,sas,1,,0,,0
830,83004000,ERB,0.29,ATH,0.22,ARC1,0.2,eng,0.48,tha,0.18,jpn,0.15,eas,0.53,eur,0.42,mea,0.04
835,83501000,ARI1B,0.95,,0,,0,kxd,0.66,bsb,0.27,ttg,0.07,oce,1,,0,,0
835,83502000,ANI,0.44,ARC4,0.15,ARC99,0.12,bsb,0.54,ttg,0.41,lnd,0.05,oce,1,,0,,0
835,83503000,ANI,0.67,ARC,0.18,ARI1,0.15,iba,0.98,pez,0.02,,0,oce,1,,0,,0
835,83504000,ANI,0.44,ERB,0.39,ARC,0.11,nan,0.26,cmn,0.21,cdo,0.14,eas,1,,0,,0
840,84001000,ARC1,0.85,,0,,0,tgl,0.26,ceb,0.2,ilo,0.09,oce,1,,0,,0
840,84002000,ANI,0.58,ARC4,0.21,ARC1,0.17,bnc,0.2,kne,0.08,syb,0.06,oce,1,,0,,0
840,84003000,ARI1,0.98,,0,,0,mdh,0.26,mrw,0.25,tsg,0.24,oce,1,,0,,0
840,84004000,ARC1,0.7,ARC4,0.13,,0,nan,1,,0,,0,eas,0.6,oce,0.4,,0
850,85001000,ARI1,1,,0,,0,ace,1,,0,,0,eas,0.6,oce,0.4,,0
850,85002000,ARC4,1,,0,,0,abs,1,,0,,0,oce,0.6,eas,0.4,,0
850,85003000,ERH2,0.8,ANI,0.185,,0,ban,1,,0,,0,eas,0.6,oce,0.4,,0
850,85004000,ARC4,0.86,ARI1B,0.14,,0,bbc,0.27,btd,0.23,bts,0.18,eas,0.6,oce,0.4,,0
850,85005000,ERB,0.54,ARC,0.36,,0,cmn,0.38,nan,0.3,hak,0.23,eas,1,,0,,0
850,85006000,ARC1,0.98,,0,,0,mgm,0.18,tet,0.13,mkz,0.13,eas,0.5,oce,0.5,,0
850,85007000,ARI1B,0.98,,0,,0,gor,1,,0,,0,eas,0.6,oce,0.4,,0
850,85008000,ARI1B,0.85,ARC4,0.11,,0,jav,1,,0,,0,eas,0.6,oce,0.4,,0
850,85009000,ARI1B,1,,0,,0,mad,1,,0,,0,eas,0.6,oce,0.4,,0
850,85010000,ARI1B,1,,0,,0,bug,0.76,mak,0.24,,0,eas,0.6,oce,0.4,,0
850,85011000,ARC4,1,,0,,0,tnt,0.6,tom,0.4,,0,eas,0.6,oce,0.4,,0
850,85012000,ARI1B,1,,0,,0,min,1,,0,,0,eas,0.6,oce,0.4,,0
850,85013000,ARI1B,0.99,,0,,0,pmy,1,,0,,0,oce,0.6,eas,0.4,,0
850,85014000,ARI1B,0.94,,0,,0,sun,1,,0,,0,eas,0.6,oce,0.4,,0
850,85015000,ARI1B,1,,0,,0,tft,1,,0,,0,oce,0.6,eas,0.4,,0
850,85016000,ARC4,0.38,ARI1,0.23,ANI,0.11,nij,0.38,xdy,0.23,knx,0.11,eas,0.6,oce,0.4,,0
850,85017000,ARI1B,1,,0,,0,zlm,1,,0,,0,eas,0.6,oce,0.4,,0
900,90001000,ARC1,0.8,ANI,0.15,,0,eng,0.8,,0,,0,oce,1,,0,,0
900,90002000,ERB,0.5,ERH,0.2,ATH,0.1,hin,0.35,yue,0.23,vie,0.18,eas,0.55,sas,0.45,,0
900,90003000,ARC1,0.31,ARC5,0.23,ANI,0.23,eng,1,,0,,0,eur,1,,0,,0
910,91001000,ARC1,0.26,ARC4E,0.18,ARC4I,0.13,tpi,0.75,enq,0.06,med,0.04,oce,1,,0,,0
910,91002000,ARC1,0.72,ARC4,0.18,,0,buo,0.17,hla,0.16,nas,0.11,oce,1,,0,,0
920,92001000,ARC4,0.5,ARC99,0.4,ANI,0.1,eng,0.67,mri,0.33,,0,oce,1,,0,,0
920,92002000,ATH,0.35,ARC5,0.19,ARC1,0.14,eng,1,,0,,0,eur,1,,0,,0
920,92003000,ARC5,0.35,ARC1,0.3,ARC4,0.25,eng,0.5,smo,0.3,rar,0.15,oce,1,,0,,0
920,92004000,ATH,0.28,ERH,0.26,EARC1,0.18,eng,0.7,yue,0.1,,0,eas,0.66,sas,0.33,,0
940,94001000,ARC4,0.47,ARC5,0.24,ARC1,0.2,kwf,0.08,pis,0.06,alu,0.05,oce,1,,0,,0
950,95001000,ARC4F,0.66,ARC1,0.13,,0,fij,0.89,wyy,0.11,,0,oce,1,,0,,0
950,95002000,ERH99,0.74,ARI,0.16,,0,hif,1,,0,,0,sas,1,,0,,0
