year,ISO,ISO_No,Name,PWC_Lat,PWC_Lon,Pop,Density,Area,PWD_A,PWD_G,PWD_M,PWD_P1,PWD_P2,PWD_P3,PWD_P4,PWD_P5,PWD_P6,PWD_P7,PWD_P8,PWD_P9,PWD_P10,PWD_P11,PWD_P12,PWD_P13,PWD_P14,PWD_P15,PWD_P16,PWD_P17,PWD_P18,PWD_P19,PWD_P20,PWD_P21,PWD_P22,PWD_P23,PWD_P24,PWD_P25,PWD_P26,PWD_P27,PWD_P28,PWD_P29,PWD_P30,PWD_P31,PWD_P32,PWD_P33,PWD_P34,PWD_P35,PWD_P36,PWD_P37,PWD_P38,PWD_P39,PWD_P40,PWD_P41,PWD_P42,PWD_P43,PWD_P44,PWD_P45,PWD_P46,PWD_P47,PWD_P48,PWD_P49,PWD_P50,PWD_P51,PWD_P52,PWD_P53,PWD_P54,PWD_P55,PWD_P56,PWD_P57,PWD_P58,PWD_P59,PWD_P60,PWD_P61,PWD_P62,PWD_P63,PWD_P64,PWD_P65,PWD_P66,PWD_P67,PWD_P68,PWD_P69,PWD_P70,PWD_P71,PWD_P72,PWD_P73,PWD_P74,PWD_P75,PWD_P76,PWD_P77,PWD_P78,PWD_P79,PWD_P80,PWD_P81,PWD_P82,PWD_P83,PWD_P84,PWD_P85,PWD_P86,PWD_P87,PWD_P88,PWD_P89,PWD_P90,PWD_P91,PWD_P92,PWD_P93,PWD_P94,PWD_P95,PWD_P96,PWD_P97,PWD_P98,PWD_P99,PWD_P100
2000,RUS,643,Russia,53.8808,54.8599,146404889,8.8,16670601.3,2960,582.1,931.6,0.8,1.9,3,4.4,6,7.8,9.8,12.2,14.8,17.8,21.2,25.1,29.4,34.3,39.7,45.8,52.5,60,68.3,77.2,87,97.5,109,121.2,134.1,147.9,162.7,178.5,195.5,213.1,232.7,252.9,275,298.1,322.9,349,377.1,406.9,437.8,471.6,506.8,543.6,583.4,624.7,669.5,717.4,766.2,817.1,872.7,931.6,992.7,1057.6,1128.7,1204,1284.6,1366.9,1455.2,1547.7,1645,1742.9,1848.1,1966,2079.9,2200.5,2329.8,2461.4,2597.4,2743.9,2892.6,3053,3218,3382.1,3559.5,3748.3,3935.1,4126,4345.9,4563,4772.8,5002.1,5244.7,5482.9,5729.2,5980.6,6276.8,6558,6863,7221.9,7574,7984.1,8429,8985.4,9731.5,10651.5,11827,13471.8,15358.8,17530.7,20852,126216.2
2000,IDN,360,Indonesia,-5.0723,109.7832,211513821,111.3,1901234.1,2651.3,819.2,933.7,8.3,14,19.6,25,30.5,36.3,42.3,48.6,55.4,62.6,70.1,78.2,87,97.1,109.2,124.4,142.5,164.7,190,217.5,246.4,274.8,302.1,328.9,355.5,381.5,406.3,429.7,452.2,473.6,495.1,516.3,537.4,558.2,579.1,600.5,621.5,643.5,665.3,687.5,710.5,733.1,755.7,779.1,802.2,826.9,852.5,879.2,905.5,933.7,962.5,991.5,1021.4,1053.3,1085.6,1119.7,1154.7,1190.9,1231,1272.7,1314.9,1361.5,1410.9,1464.4,1524.1,1588.6,1655.3,1730.6,1813.8,1910.1,2015,2131.4,2264.8,2412.6,2590,2775.9,2980.3,3204.8,3444.6,3708.8,3996.8,4309.4,4611.9,4968.6,5344.6,5839.6,6322.2,6872.8,7498.2,8234.9,8918.6,9760.3,10702.1,11725.9,12643.4,13669.4,14711.6,16903,19750.9,29694
2000,USA,840,United States,37.6973,-91.7076,281710914,30.4,9268586,2131.8,707.7,1058.4,3.8,7.2,10.8,14.6,18.8,23.5,28.7,34.6,41.4,49.2,57.9,67.9,79.1,91.9,106.1,122,139.2,158,178.3,199.6,222.1,245.5,269.4,294.5,320.4,346.7,373.6,400.9,428.4,456.8,485.1,513,541.4,570.8,599.1,628.3,657.2,686.7,715.6,745.6,775,805.2,835.6,866,896.9,928.8,959.7,992.2,1024.5,1058.4,1092.3,1125.9,1159.6,1194.3,1229,1264,1300.2,1337.5,1375.4,1414.5,1453.5,1492.8,1534.3,1577.6,1621.1,1667.7,1713.9,1762.7,1812.7,1866.4,1921,1978.4,2038.6,2101.1,2167.9,2238.4,2311.3,2390.2,2472.8,2563.8,2670.4,2776.9,2895.7,3029.3,3168.7,3331.7,3518.5,3724.4,3996.5,4302.3,4699.5,5171.6,5765.4,6494.5,7454.6,8682.3,10715.6,14832.5,23422.1,63150.9
2000,VIR,850,Virgin_Islands_U_S,18.03984642,-64.84496307,108729,281.8,385.9,737.4,507.1,530.2,35.9,52.3,66.4,77.6,89.9,95.8,103.8,113.9,123,134.5,151.3,166.6,176.9,186.3,199.7,213.4,220.4,234.3,247.1,262.4,272.8,277.1,289.9,321.5,328.9,331.4,338.6,343.1,346.6,350.4,360.9,365.7,368.7,374.2,380.1,386.5,396.1,413.4,432.6,439.7,453,470.6,473.4,480.4,481.6,485.1,494.1,504,513,530.2,534.4,545.4,560.6,562.5,565.7,570.8,575.7,585.2,595.8,604.8,612.2,626.6,634.3,641.1,668.1,675.2,686.4,732,749.9,772.7,991.8,1055.3,1092.8,1148.4,1167.3,1173.2,1184.9,1256.2,1269.7,1345.9,1356.1,1430.4,1480.7,1504.3,1572.7,1583.1,1636.5,1649.4,1656.1,1796.3,1841.9,1841.9,1866.8,2006.4,2006.4,2010.1,2049.6,2049.6,2114.8,2114.8
2000,GRL,304,Greenland,66.15265656,-50.66958237,56177,0,2145763.1,331,253.8,307.7,12.2,21.9,28.3,36.1,42.8,49.4,57.1,63.7,71.7,80.7,87.8,94.5,103.5,114.2,122.3,130.3,136.1,141,148.2,154.6,161.4,169.2,179.8,187.1,195.4,200.5,205.8,210.1,214.1,219.8,223.8,229.4,231.8,238.7,240.7,243.4,250.6,256.1,259.2,261.7,268.1,273.3,277.1,281,283.3,287.7,294.9,296.3,300.8,307.7,316,321.1,327.4,331.6,336.9,341.8,343.1,345,346.1,350.7,353.9,355.8,361.3,367.1,367.9,373.1,377.2,383.1,386.3,389.3,401.4,407,416.3,421.6,430.4,442.3,451.2,458.1,472.7,490.5,494.7,529.2,535.2,550.4,558.6,566.8,605.8,616.6,633.4,642.6,679.5,699.8,706.9,712.2,724.3,747.1,755.9,762.3,767.7,810.6
2000,CHN,156,China,32.4234,113.6822,1290550767,138.4,9324593,4720,1024.8,750.9,17.9,31.9,43.9,55.1,65.9,76.5,87.2,98,108.7,119.6,130.8,142,153.5,165.2,177.2,189.4,201.8,214.4,227.2,240.3,253.6,266.9,280.5,294,307.7,321.5,335.4,349.4,363.6,377.8,392.4,407.2,422.3,437.5,453.2,469.2,485.3,501.9,518.7,536,553.8,571.9,590.9,610.6,631,652.4,674.8,698.6,723.9,750.9,780.1,812,846.5,884,925.5,970.5,1021.6,1080,1145.5,1220.7,1305.8,1401.1,1512.1,1634.1,1773.6,1928.8,2099.5,2290.8,2496.9,2717.7,2958.6,3222.6,3507.7,3809,4140.9,4484.3,4862.8,5280,5704.6,6166.7,6666.4,7208.2,7801.5,8450.4,9142.2,9904.8,10750.2,11681.6,12718.5,13900,15210.4,16796.2,18544.9,20563.2,23424.6,26823.8,31216.4,37768.9,50599.3,130255
2000,AUS,36,Australia,-32.9212,144.7659,18991434,2.5,7665774.5,1705.9,873.6,1520.3,0.9,2.8,6.4,11.7,19.2,29.5,43.5,62.1,83.4,107.9,135.5,165.4,197.8,231.2,267.3,302.4,339.9,376.3,415.5,453,494.8,533.6,571.9,611.2,651.8,692.2,729.8,769.7,807.8,843.6,878.3,914.3,951.8,988.3,1023.3,1062,1094,1130.5,1167.4,1200.8,1234.8,1268,1299.4,1328.8,1359.3,1391.3,1426,1455.2,1486.9,1520.3,1549.1,1579.6,1608.3,1636.2,1664.2,1692.6,1717.9,1744.4,1774.6,1805.2,1834,1860.1,1888.4,1916.7,1949.4,1977.6,2008.5,2043.7,2073,2103.6,2142.8,2175.1,2207.2,2243.1,2278.8,2316.5,2357.7,2397.6,2440.8,2487.4,2530.1,2582.3,2639.9,2695.1,2771.5,2834.6,2911.4,2996.2,3099.8,3231.5,3368,3536.6,3747.7,4119,4517.4,4927.2,5482.6,6223.7,7373.8,15465.4
2000,BRA,76,Brazil,-17.1917,-45.6193,174790338,20.6,8488262.3,5241,1774.1,3326.6,1.9,4.1,6.9,10.3,14.6,20.1,27.1,35.8,46.9,60.9,79.2,103.3,134.3,173.2,218.2,268.9,323.9,384.5,450.3,519,590.7,666.6,746.6,832.3,918.1,1004.1,1090.8,1182.3,1275.3,1363.9,1458.6,1550.2,1642.3,1732.7,1827.9,1924.5,2020.7,2115.7,2214.7,2311.1,2410.4,2511.2,2609.1,2708.3,2810.1,2908,3011.5,3112.3,3221.8,3326.6,3442.3,3556.9,3665.5,3774.4,3891.2,4010.6,4138.7,4262.2,4394.1,4530.5,4663.8,4814.1,4958,5108.7,5263.3,5415.9,5596,5776,5968.2,6158.5,6381.1,6590.6,6829.6,7068.4,7347.6,7595.6,7876.8,8223.3,8550.6,8919.4,9307.7,9687.7,10106.1,10499.7,10919.4,11382.1,11792,12258.4,12733.6,13340.9,13957.5,14581.2,15378.9,16299,17288.2,18535.3,19985.7,22250.8,25668.3,60508.4
2000,CAN,124,Canada,46.7941,-87.1473,30588378,3.2,9681007.4,2564.5,956.4,1875.4,1.6,3.5,5.9,8.8,12.2,16.4,21.3,27,33.8,41.9,51.5,63.2,76.9,93.9,113.9,137.1,164.4,195.7,232.7,271.7,312.9,359.8,407.6,456.3,509.9,564.1,619.3,678.6,736,794.9,850.5,907.8,960.6,1019,1076.7,1133.3,1195.7,1247,1305.5,1365.1,1416.3,1472.6,1526.4,1575.4,1624.3,1675.3,1728.8,1779.9,1825.4,1875.4,1924.3,1972.6,2021.7,2066.9,2113.8,2159.6,2205.6,2254.3,2302.1,2347.7,2392.1,2443.7,2494.6,2546.8,2603.6,2659.7,2717.3,2781,2848.8,2914.4,2982.2,3049.7,3122.2,3201.9,3283.6,3365.9,3456.3,3554.5,3674.8,3791.2,3923.1,4071.1,4209.9,4363.1,4539.7,4747.8,4952.4,5218.1,5520.9,5814.9,6184.6,6698.4,7215.6,7984.4,8559.6,9315,10342.4,11590.7,14069.9,27924.4
2000,CHL,152,Chile,-34.1805687,-71.33852386,15342350,20.3,756229.5,3950.2,1082.2,2024.5,1.5,3.5,5.4,7.4,10,13.6,19.1,27.4,37,46.8,56,65.2,74.8,84.6,94.4,105.5,118.4,133.1,150.2,169.7,191.2,215.1,240.9,270.5,302.3,332.1,365.8,403.7,443.2,486.3,531.5,580.1,631,682.5,745.8,806.1,866.2,927.6,994.1,1070.5,1150.3,1254.4,1345.2,1443,1549.4,1642.3,1731.8,1817.5,1916.8,2024.5,2108.7,2225.3,2344.1,2449,2568.4,2664.2,2772.2,2913.2,3041,3196.4,3338.6,3494.9,3635.6,3802.6,3912.2,4095.5,4321.1,4552.4,4737.9,4924,5189.6,5460.1,5720.9,6186.9,6498.9,6732.7,7073,7435.4,7731.6,8167.3,8546.1,8856.9,9149.6,9438,9747.7,10024.6,10238.7,10457.8,10840,11124,11463.7,11868.1,12533.3,12908.5,13784.2,14442.9,15071.3,16175.5,17258.7,19474.8
