"year","ISO","ISO_No","Name","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_P1","PWD_P2","PWD_P3","PWD_P4","PWD_P5","PWD_P6","PWD_P7","PWD_P8","PWD_P9","PWD_P10","PWD_P11","PWD_P12","PWD_P13","PWD_P14","PWD_P15","PWD_P16","PWD_P17","PWD_P18","PWD_P19","PWD_P20","PWD_P21","PWD_P22","PWD_P23","PWD_P24","PWD_P25","PWD_P26","PWD_P27","PWD_P28","PWD_P29","PWD_P30","PWD_P31","PWD_P32","PWD_P33","PWD_P34","PWD_P35","PWD_P36","PWD_P37","PWD_P38","PWD_P39","PWD_P40","PWD_P41","PWD_P42","PWD_P43","PWD_P44","PWD_P45","PWD_P46","PWD_P47","PWD_P48","PWD_P49","PWD_P50","PWD_P51","PWD_P52","PWD_P53","PWD_P54","PWD_P55","PWD_P56","PWD_P57","PWD_P58","PWD_P59","PWD_P60","PWD_P61","PWD_P62","PWD_P63","PWD_P64","PWD_P65","PWD_P66","PWD_P67","PWD_P68","PWD_P69","PWD_P70","PWD_P71","PWD_P72","PWD_P73","PWD_P74","PWD_P75","PWD_P76","PWD_P77","PWD_P78","PWD_P79","PWD_P80","PWD_P81","PWD_P82","PWD_P83","PWD_P84","PWD_P85","PWD_P86","PWD_P87","PWD_P88","PWD_P89","PWD_P90","PWD_P91","PWD_P92","PWD_P93","PWD_P94","PWD_P95","PWD_P96","PWD_P97","PWD_P98","PWD_P99","PWD_P100"
"2015","RUS","643","Russia","53.7924","54.0147","144985058","8.7","16670601.2","3595.1","658.6","1038.5","0.8","1.6","2.6","3.8","5.2","6.9","9.0","11.5","14.6","18.2","22.6","27.6","33.4","40.0","47.4","55.5","64.3","73.7","83.7","94.2","105.4","117.0","129.3","142.2","155.8","170.2","185.4","201.3","218.4","236.5","255.7","276.3","298.1","321.7","346.7","373.7","402.8","434.3","468.2","502.7","541.4","583.5","628.1","675.8","727.2","780.5","840.4","902.3","968.4","1038.5","1114.6","1191.0","1275.3","1358.5","1452.3","1546.1","1648.5","1756.9","1872.3","1989.6","2117.8","2249.6","2385.1","2541.1","2698.2","2855.5","3030.8","3209.2","3391.6","3575.0","3779.8","3988.4","4197.4","4426.7","4655.3","4894.2","5139.6","5394.5","5617.2","5894.6","6155.3","6423.3","6684.6","6960.5","7270.2","7576.3","7924.2","8356.2","8903.9","9587.3","10557.6","11812.9","13044.2","14658.9","16341.4","18065.9","19968.4","22759.9","27048.9","106713.1"
"2015","IDN","360","Indonesia","-4.9011","110.1959","258383257","135.9","1901231.7","3299.2","943.0","1098.3","9.5","16.2","22.8","29.6","36.2","43.1","50.2","57.5","65.2","73.1","81.2","89.8","98.9","108.7","119.3","130.5","142.5","155.4","169.3","184.5","200.7","218.4","237.2","257.1","278.5","301.6","325.6","351.6","379.0","408.0","439.5","470.2","502.6","534.8","567.5","599.7","632.0","665.2","698.8","731.6","765.4","799.7","835.0","869.9","906.9","942.8","980.5","1019.2","1057.8","1098.3","1140.8","1182.9","1227.6","1271.7","1317.1","1367.5","1420.1","1476.9","1535.0","1595.9","1665.1","1737.2","1816.7","1902.2","2000.4","2109.8","2228.7","2366.2","2510.5","2677.5","2852.2","3042.9","3260.6","3478.9","3712.1","3966.9","4250.7","4548.0","4865.5","5206.0","5588.5","6030.2","6454.2","6933.7","7454.0","8006.3","8561.5","9191.0","9822.1","10560.0","11331.5","12146.6","13023.7","13948.8","14851.2","15820.2","17020.6","19029.9","23895.0","34410.1"
"2015","USA","840","United States","37.42","-92.2836","320878312","34.6","9268586.0","2219.2","812.7","1221.1","4.5","8.9","13.5","18.5","23.9","30.0","36.9","44.7","53.5","63.4","74.5","87.3","101.8","117.7","135.2","154.6","175.9","198.4","222.2","247.2","273.3","300.3","328.2","357.4","386.7","417.1","447.7","478.9","510.6","542.2","574.1","606.5","638.9","671.2","704.2","737.2","770.3","804.0","837.0","870.8","904.8","938.7","973.5","1007.8","1042.0","1077.2","1112.7","1149.2","1184.9","1221.1","1257.7","1295.3","1333.8","1372.8","1412.4","1451.0","1492.3","1533.4","1575.4","1617.4","1661.5","1705.9","1752.6","1800.0","1849.1","1898.4","1947.3","2000.8","2054.1","2110.0","2168.5","2231.6","2293.1","2360.9","2430.4","2502.4","2576.4","2652.3","2737.1","2824.6","2917.3","3019.9","3134.1","3257.9","3388.1","3541.5","3710.5","3894.3","4121.2","4381.5","4715.1","5125.5","5651.2","6301.7","7154.2","8337.7","10125.7","13808.8","22554.7","65180.1"
"2015","VIR","850","Virgin_Islands_U_S","18.0531902313232","-64.8476104736328","104949","272.0","385.9","694.6","494.7","515.5","27.8","42.7","53.3","69.0","82.0","91.1","111.9","130.2","155.8","169.6","178.7","192.7","198.8","201.8","211.7","218.9","225.6","249.3","256.8","272.9","279.8","282.5","301.8","306.3","316.0","320.6","341.9","351.3","356.5","364.4","383.1","387.0","395.8","412.3","416.9","419.3","423.8","429.7","437.2","448.0","453.6","458.5","464.8","479.8","485.9","495.4","504.6","509.3","513.1","515.5","523.2","531.2","547.4","551.4","566.0","572.4","589.2","592.6","598.7","607.0","611.3","627.8","631.2","668.3","674.4","686.9","691.6","699.4","711.2","742.1","772.3","813.5","866.0","927.1","967.5","1034.1","1045.7","1137.1","1264.3","1310.2","1332.7","1344.4","1383.6","1390.5","1397.1","1433.0","1452.4","1482.1","1528.5","1546.3","1554.4","1668.1","1712.8","1712.8","1785.2","1910.6","1910.6","1914.6","2036.8","2036.8"
"2015","GRL","304","Greenland","66.0321807861328","-50.6681861877441","56378","0.0","2145763.1","403.9","291.4","347.9","12.7","20.6","27.1","34.6","43.5","49.8","59.4","65.8","73.7","84.2","92.5","102.3","110.8","115.8","123.0","132.3","137.5","149.3","153.8","159.4","164.6","171.9","178.2","182.6","187.2","193.6","198.7","204.2","210.0","215.8","218.6","221.7","227.7","235.4","237.9","252.0","259.1","267.7","269.9","274.2","279.2","289.3","291.7","299.9","305.7","309.0","315.9","334.5","344.4","347.9","354.3","371.4","378.6","389.0","400.8","412.3","416.9","421.9","425.8","431.0","441.7","456.1","466.1","472.4","481.4","492.6","503.5","520.8","526.0","541.2","549.6","569.1","587.4","590.9","596.9","606.3","620.0","632.6","632.6","646.9","666.8","697.6","758.5","761.0","764.6","770.2","777.3","794.4","814.4","820.5","828.2","839.4","866.0","873.7","882.0","901.5","937.9","960.5","981.0","1018.1"
"2015","CHN","156","China","32.3543","113.7837","1406847868","150.9","9324516.6","6478.1","1367.4","1116.2","17.3","31.3","44.0","56.2","68.4","80.8","93.6","107.0","120.8","134.9","149.3","164.0","178.9","194.1","209.6","225.3","241.0","257.0","273.2","289.7","306.1","322.8","339.6","356.6","374.0","391.8","410.0","428.6","447.4","466.6","486.4","506.8","527.9","549.7","572.4","595.9","620.6","646.3","673.5","701.7","731.4","763.1","797.0","832.9","871.6","913.4","958.2","1006.1","1058.9","1116.2","1178.5","1246.3","1320.4","1401.7","1490.3","1589.7","1697.1","1811.8","1936.5","2074.5","2222.1","2384.6","2559.4","2748.5","2956.0","3174.5","3406.3","3657.7","3925.4","4203.7","4506.1","4829.7","5174.5","5532.5","5925.9","6347.1","6793.9","7258.0","7780.3","8338.7","8951.7","9612.0","10342.8","11138.6","12083.7","13059.9","14214.1","15476.8","16964.5","18634.5","20462.5","22547.2","25135.2","28190.6","31967.5","36528.8","42591.5","51260.9","66977.2","284980.3"
"2015","AUS","36","Australia","-32.9208","144.7654","23932499","3.1","7665636.0","2165.2","1120.1","1933.6","1.4","4.5","9.1","15.2","23.9","36.1","53.2","75.0","102.9","133.9","170.0","211.2","254.2","300.7","348.5","395.9","442.8","490.2","538.7","586.2","638.1","692.0","739.0","792.5","841.6","890.9","937.7","987.7","1032.0","1076.3","1126.2","1170.8","1219.3","1267.4","1315.1","1358.5","1403.7","1444.6","1488.5","1528.3","1574.1","1620.3","1661.0","1699.3","1735.4","1771.7","1811.1","1850.2","1889.7","1933.6","1973.2","2007.9","2043.3","2078.5","2117.0","2154.2","2189.5","2227.0","2259.0","2291.2","2327.9","2363.0","2401.4","2440.7","2479.5","2521.2","2555.1","2597.3","2631.0","2667.1","2713.5","2754.8","2802.6","2842.8","2882.2","2936.9","2984.9","3033.5","3089.7","3153.5","3210.3","3274.7","3347.9","3417.2","3500.6","3594.2","3703.1","3786.4","3919.7","4058.8","4256.1","4465.1","4734.7","5180.7","5720.1","6224.2","6861.9","7924.1","9383.2","19482.6"
"2015","BRA","76","Brazil","-16.9214","-45.7423","204471759","24.1","8488262.3","6042.9","2141.9","4034.4","1.7","3.6","6.2","9.6","14.6","21.6","31.5","45.1","63.7","88.4","119.8","159.0","205.2","260.1","320.6","386.2","458.1","537.2","621.3","708.0","801.4","896.9","996.3","1095.9","1200.2","1305.7","1407.2","1511.7","1622.8","1728.6","1838.7","1948.4","2054.5","2162.6","2269.4","2384.5","2495.9","2612.5","2725.4","2843.5","2961.3","3074.1","3190.6","3307.5","3426.9","3537.8","3657.4","3775.5","3912.1","4034.4","4159.6","4289.2","4426.7","4561.3","4701.7","4838.5","4990.5","5145.8","5310.3","5469.9","5635.0","5796.8","5959.0","6147.9","6327.4","6521.6","6723.7","6930.2","7142.2","7352.7","7597.9","7838.2","8119.1","8383.7","8685.4","8987.7","9312.3","9638.8","9955.5","10302.3","10653.3","11033.5","11456.9","11932.9","12323.9","12782.6","13291.2","13778.5","14315.5","14916.9","15605.7","16261.3","17100.2","18006.0","19075.8","20408.6","21919.4","24223.8","27890.8","66216.9"
"2015","CAN","124","Canada","46.8683","-87.9775","36026667","3.7","9681007.4","3105.8","1217.9","2380.5","1.7","3.9","6.6","10.1","14.5","19.9","26.7","34.9","45.2","57.9","73.2","91.5","113.6","140.3","170.3","205.9","247.0","292.5","342.1","396.7","452.8","514.1","573.9","639.6","705.7","770.4","838.1","905.8","977.0","1049.6","1118.5","1186.9","1252.8","1324.2","1398.1","1465.7","1534.3","1604.6","1674.4","1742.8","1804.8","1872.9","1933.3","2001.2","2062.3","2125.7","2204.6","2263.1","2324.2","2380.5","2444.6","2501.8","2558.8","2609.6","2671.1","2723.7","2772.9","2836.9","2897.9","2961.4","3026.3","3098.9","3162.9","3230.7","3300.1","3374.5","3446.1","3521.3","3593.6","3675.5","3758.0","3845.1","3948.1","4035.7","4149.8","4253.3","4357.3","4470.2","4595.9","4737.6","4897.7","5049.9","5250.6","5420.9","5631.3","5857.8","6080.3","6328.4","6676.3","6945.3","7277.9","7736.0","8214.5","8804.4","9452.4","10355.5","11445.1","12968.3","15376.6","31608.6"
"2015","CHL","152","Chile","-34.0827","-71.3234","17969355","23.8","756229.5","4248.4","1282.8","2576.8","1.4","3.5","6.2","9.3","13.1","17.8","23.3","29.9","37.6","46.4","56.3","67.8","81.2","96.6","115.0","135.4","159.1","187.3","217.0","252.3","287.7","326.4","368.2","411.1","458.0","504.3","551.6","598.9","659.0","711.4","770.5","829.7","893.1","964.4","1038.2","1117.6","1198.7","1286.1","1389.0","1485.7","1592.7","1694.1","1810.9","1912.5","2031.8","2140.8","2258.5","2360.4","2465.4","2576.8","2686.2","2796.3","2887.9","2990.6","3098.1","3219.7","3341.2","3446.5","3552.5","3694.4","3821.8","3956.2","4079.3","4229.2","4399.4","4613.2","4835.5","5052.7","5196.5","5356.7","5564.9","5737.5","5974.4","6229.7","6377.8","6580.2","6786.2","6959.3","7146.9","7451.1","7762.3","8073.1","8404.8","8722.0","9040.8","9429.6","9876.7","10429.9","11057.6","11984.6","12279.6","12703.6","13167.8","14269.8","15203.5","16180.6","17124.6","18162.1","20187.5","22208.0"
