"year","ISO","ISO_No","Name","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_P1","PWD_P2","PWD_P3","PWD_P4","PWD_P5","PWD_P6","PWD_P7","PWD_P8","PWD_P9","PWD_P10","PWD_P11","PWD_P12","PWD_P13","PWD_P14","PWD_P15","PWD_P16","PWD_P17","PWD_P18","PWD_P19","PWD_P20","PWD_P21","PWD_P22","PWD_P23","PWD_P24","PWD_P25","PWD_P26","PWD_P27","PWD_P28","PWD_P29","PWD_P30","PWD_P31","PWD_P32","PWD_P33","PWD_P34","PWD_P35","PWD_P36","PWD_P37","PWD_P38","PWD_P39","PWD_P40","PWD_P41","PWD_P42","PWD_P43","PWD_P44","PWD_P45","PWD_P46","PWD_P47","PWD_P48","PWD_P49","PWD_P50","PWD_P51","PWD_P52","PWD_P53","PWD_P54","PWD_P55","PWD_P56","PWD_P57","PWD_P58","PWD_P59","PWD_P60","PWD_P61","PWD_P62","PWD_P63","PWD_P64","PWD_P65","PWD_P66","PWD_P67","PWD_P68","PWD_P69","PWD_P70","PWD_P71","PWD_P72","PWD_P73","PWD_P74","PWD_P75","PWD_P76","PWD_P77","PWD_P78","PWD_P79","PWD_P80","PWD_P81","PWD_P82","PWD_P83","PWD_P84","PWD_P85","PWD_P86","PWD_P87","PWD_P88","PWD_P89","PWD_P90","PWD_P91","PWD_P92","PWD_P93","PWD_P94","PWD_P95","PWD_P96","PWD_P97","PWD_P98","PWD_P99","PWD_P100"
"2010","RUS","643","Russia","53.8207","54.307","143479272","8.6","16670601.3","3257.1","613.1","985.6","0.8","1.9","3.1","4.6","6.3","8.3","10.5","13.1","16.0","19.4","23.1","27.2","31.9","37.0","42.7","48.9","55.6","62.9","70.8","79.3","88.4","98.2","108.6","119.8","131.9","144.8","158.6","173.7","189.8","207.4","226.3","246.5","268.3","292.1","317.4","345.3","374.7","405.8","439.5","476.1","513.5","553.7","598.1","645.3","694.7","747.3","800.1","859.4","920.8","985.6","1054.1","1126.6","1202.3","1281.3","1361.3","1446.8","1536.4","1633.0","1731.4","1830.1","1940.8","2052.7","2181.6","2316.0","2446.5","2589.6","2744.1","2903.5","3063.8","3233.8","3413.6","3603.8","3794.6","3998.1","4209.1","4439.8","4657.6","4871.5","5098.4","5350.2","5615.9","5875.6","6118.5","6387.0","6672.1","7006.2","7352.1","7719.3","8199.1","8744.4","9416.7","10299.5","11465.1","12941.0","14540.3","16201.4","18178.5","20465.3","24335.3","93012.4"
"2010","IDN","360","Indonesia","-4.9658","110.0158","241834226","127.2","1901234.1","2948.5","883.0","974.0","8.9","15.3","21.3","27.6","34.2","41.1","48.2","55.5","63.2","71.3","80.0","89.6","100.0","111.6","124.4","138.9","155.1","173.8","194.5","218.0","242.4","268.7","295.4","321.9","348.5","374.3","400.0","424.7","449.5","473.6","497.2","520.9","544.1","567.2","589.9","612.9","636.2","659.5","683.9","708.4","732.8","758.1","783.2","808.7","834.8","860.3","887.6","915.1","943.6","974.0","1003.8","1035.9","1069.0","1102.9","1138.1","1174.9","1212.9","1254.6","1300.1","1346.6","1395.9","1447.0","1506.6","1569.8","1638.3","1712.8","1795.6","1888.5","1990.2","2104.5","2227.4","2364.9","2520.7","2699.6","2902.9","3133.1","3376.8","3624.0","3935.2","4260.2","4601.8","4995.4","5391.9","5854.7","6349.3","6859.4","7427.5","8056.5","8725.8","9401.2","10202.3","11019.1","11930.2","12746.8","13779.7","14897.1","16255.6","18359.0","22500.3","32936.9"
"2010","USA","840","United States","37.5175","-92.0897","309011468","33.3","9268586.0","2197.7","777.1","1170.0","4.3","8.1","12.1","16.5","21.3","26.7","32.9","40.0","48.2","57.4","67.9","79.8","93.4","108.5","125.3","143.8","164.1","185.6","208.5","232.6","257.8","283.8","311.2","338.9","367.1","396.3","425.5","455.6","486.4","516.6","547.5","578.3","609.7","641.1","672.9","704.5","736.3","767.9","800.3","833.0","865.7","898.6","931.4","964.8","996.8","1029.8","1064.5","1099.6","1134.4","1170.0","1206.3","1241.1","1278.3","1315.9","1352.7","1391.2","1431.3","1471.1","1511.6","1553.3","1593.9","1636.6","1681.8","1727.4","1773.2","1821.1","1870.5","1921.6","1973.2","2026.8","2083.7","2143.5","2205.6","2271.1","2337.1","2408.1","2483.7","2560.5","2641.9","2728.3","2821.8","2928.1","3042.9","3168.2","3300.8","3461.3","3630.6","3824.6","4062.7","4345.6","4696.0","5151.0","5708.1","6373.5","7308.3","8525.9","10411.3","14211.2","23121.3","65146.6"
"2010","VIR","850","Virgin_Islands_U_S","18.0485992431641","-64.8469085693359","106085","274.9","385.9","693.2","486.1","501.6","32.5","50.2","63.4","74.7","85.3","95.5","110.5","118.7","138.6","149.1","160.5","172.6","181.9","188.8","194.4","201.2","207.0","214.6","226.7","234.5","252.6","276.6","286.8","293.8","303.1","313.2","316.3","326.1","343.2","359.8","368.3","371.0","381.0","385.5","397.5","402.9","410.9","420.0","425.7","427.1","437.1","444.9","455.2","459.8","469.6","472.1","479.8","489.6","497.0","501.6","523.6","528.0","537.4","552.1","557.5","563.2","566.1","576.8","580.1","587.1","589.3","601.1","604.6","621.6","631.6","655.2","665.6","668.5","726.3","783.1","802.5","853.5","885.8","1011.0","1059.1","1067.4","1115.3","1178.4","1243.5","1317.2","1360.2","1381.9","1395.7","1413.0","1429.8","1457.0","1527.2","1527.2","1570.1","1570.1","1678.7","1703.6","1720.0","1778.2","1780.0","1871.6","1871.6","1946.5","1987.2","1987.2"
"2010","GRL","304","Greenland","66.0708160400391","-50.6657371520996","56637","0.0","2145763.1","370.0","274.7","340.5","13.6","21.9","28.0","34.7","40.5","52.3","60.2","66.7","75.0","80.7","87.9","95.0","107.9","115.6","126.6","137.4","143.9","149.1","155.3","159.1","164.6","171.4","181.1","184.5","196.2","201.2","206.0","212.5","219.2","225.1","229.7","235.2","238.1","240.3","246.4","249.4","255.5","260.9","267.1","280.9","288.1","292.0","294.9","300.5","304.2","317.2","322.6","329.3","332.5","340.5","345.1","349.8","353.2","359.9","362.9","366.5","369.8","374.6","377.5","383.4","389.1","394.0","397.0","401.3","405.3","407.0","411.2","420.0","423.3","437.1","445.5","462.3","473.5","480.1","494.3","503.3","512.2","525.4","557.1","572.4","581.3","594.1","599.7","615.8","647.6","693.0","694.7","729.4","744.4","765.3","771.1","804.5","833.2","841.6","846.3","875.4","906.2","918.6","934.0","966.0"
"2010","CHN","156","China","32.3798","113.7501","1368810603","146.8","9324593.0","5729.2","1247.8","973.7","18.2","32.9","45.8","58.2","70.5","82.9","95.7","108.7","122.1","135.9","149.8","164.0","178.3","192.7","207.2","221.8","236.6","251.5","266.3","281.4","296.5","311.8","327.2","342.8","358.4","374.3","390.4","406.8","423.5","440.5","457.9","475.6","493.9","512.6","531.9","552.0","572.8","594.4","616.9","640.4","665.4","691.7","719.1","748.5","779.4","812.8","848.6","887.0","928.8","973.7","1022.6","1077.1","1135.6","1200.3","1270.5","1345.9","1430.0","1523.5","1626.7","1739.3","1863.5","1999.9","2148.3","2310.0","2483.5","2673.5","2877.3","3097.6","3341.1","3595.6","3866.9","4157.1","4467.2","4812.7","5164.6","5541.5","5958.0","6400.0","6874.8","7377.5","7940.9","8546.0","9208.3","9962.5","10763.5","11669.0","12703.8","13807.0","15090.2","16529.7","18165.0","20056.0","22195.2","24917.3","28376.2","32426.8","37893.4","45853.0","60066.9","223142.8"
"2010","AUS","36","Australia","-32.921","144.7655","22154686","2.9","7665636.0","1997.1","1039.7","1778.8","1.4","4.5","9.0","15.3","24.0","35.9","52.7","74.0","99.7","128.6","161.2","198.1","238.6","280.5","322.3","366.3","409.0","451.7","496.5","540.8","587.4","635.3","682.6","728.2","774.7","821.5","865.2","907.6","952.5","993.4","1036.1","1077.7","1122.3","1168.8","1212.4","1249.7","1289.2","1330.4","1371.1","1411.2","1450.0","1488.5","1525.5","1563.6","1595.2","1631.8","1668.4","1702.7","1740.7","1778.8","1811.7","1847.3","1882.1","1913.0","1945.6","1981.6","2012.6","2046.3","2077.8","2109.9","2142.1","2177.3","2212.4","2250.5","2284.0","2316.9","2352.6","2387.2","2424.3","2457.9","2493.6","2533.7","2574.8","2618.9","2659.4","2708.9","2749.7","2797.5","2851.8","2908.8","2958.4","3017.9","3080.9","3156.1","3238.4","3315.8","3402.1","3516.5","3628.0","3786.9","3939.7","4137.7","4387.6","4785.5","5288.0","5755.1","6351.0","7159.5","8589.2","18058.5"
"2010","BRA","76","Brazil","-17.0203","-45.6943","195713636","23.1","8488262.3","5810.0","2017.7","3812.0","1.8","3.8","6.4","9.8","14.3","20.3","28.3","38.9","53.3","72.9","99.2","133.0","174.7","224.5","280.4","342.9","409.9","482.7","561.5","642.7","729.8","821.9","914.0","1011.8","1110.5","1210.5","1310.7","1413.2","1517.1","1620.2","1720.3","1826.4","1928.6","2032.0","2135.8","2245.7","2353.6","2464.5","2570.3","2681.9","2793.5","2902.1","3015.4","3128.5","3242.6","3355.0","3466.6","3579.5","3697.8","3812.0","3943.7","4068.0","4188.1","4312.1","4447.5","4581.4","4723.0","4865.8","5027.0","5178.1","5333.4","5494.9","5658.1","5815.3","5993.2","6175.6","6370.3","6571.0","6764.1","6984.6","7199.6","7448.7","7709.3","7987.7","8272.6","8584.9","8889.2","9188.8","9542.9","9847.3","10246.4","10625.2","11049.2","11520.7","11954.5","12402.9","12903.9","13385.8","13894.5","14464.6","15155.2","15766.4","16643.5","17568.5","18575.5","19909.0","21495.6","23760.1","27419.3","64994.7"
"2010","CAN","124","Canada","46.8427","-87.7036","34147565","3.5","9681007.4","2914.1","1122.9","2215.1","1.6","3.7","6.2","9.4","13.2","18.0","23.9","31.0","39.7","50.3","63.3","79.1","97.8","120.4","148.0","179.3","216.8","257.8","303.0","353.8","406.9","462.8","520.0","580.3","640.5","704.6","768.2","836.0","901.9","965.4","1029.8","1094.6","1161.8","1227.5","1290.4","1356.2","1424.8","1491.1","1555.1","1613.0","1672.7","1739.1","1799.0","1857.7","1916.4","1978.1","2040.8","2100.6","2159.3","2215.1","2269.1","2322.1","2375.2","2426.9","2477.7","2526.6","2577.3","2632.4","2683.6","2740.1","2799.7","2857.1","2919.1","2987.5","3052.5","3113.7","3196.2","3257.3","3326.3","3395.6","3473.4","3563.3","3640.0","3727.3","3823.0","3925.4","4038.1","4142.6","4274.8","4391.8","4540.1","4697.9","4859.0","5044.1","5241.7","5449.4","5671.0","5960.6","6225.1","6529.6","6871.7","7340.6","7828.0","8479.3","9170.9","9996.9","11043.3","12470.3","14659.8","30380.0"
"2010","CHL","152","Chile","-34.1259956359863","-71.3337020874023","17062531","22.6","756229.5","3833.7","1229.1","2336.9","1.6","3.6","6.3","15.6","27.4","36.6","44.6","51.5","57.5","63.3","69.2","75.7","82.8","91.3","101.1","112.1","126.3","145.1","166.9","193.0","225.4","263.2","302.6","345.4","390.1","436.2","486.1","536.9","592.8","653.7","717.4","783.5","846.3","917.4","994.8","1074.9","1151.5","1241.3","1333.8","1423.7","1510.6","1598.1","1686.7","1767.4","1852.5","1936.5","2046.9","2147.3","2242.4","2336.9","2430.0","2538.0","2619.1","2720.4","2811.9","2916.1","3012.4","3134.2","3234.3","3378.0","3505.5","3639.4","3760.9","3897.2","4084.9","4264.4","4444.0","4630.5","4757.9","5011.6","5267.1","5530.9","5791.1","5984.5","6168.8","6403.0","6656.6","6915.1","7153.2","7461.3","7642.3","7899.6","8091.5","8322.0","8558.5","8858.9","9267.4","9702.3","10019.5","10472.1","10948.3","11325.4","11861.7","12722.4","13107.7","13670.5","13962.2","14429.0","14974.9","16287.1"
"2010","AFG","4","Afghanistan","34.6275367736816","67.5535354614258","29185510","45.4","643567.0","2278.7","231.8","147.2","4.6","7.2","9.4","11.1","12.7","14.2","15.6","17.1","18.5","19.9","21.3","22.7","24.1","25.6","27.3","28.9","30.5","32.1","33.8","35.6","37.5","39.4","41.5","43.6","45.7","48.0","50.4","52.8","55.4","58.1","60.9","64.0","67.1","70.5","73.9","77.5","81.2","85.0","89.0","93.2","97.5","102.1","106.7","111.7","117.0","122.5","128.1","134.0","140.5","147.2","154.4","161.9","170.0","178.4","187.6","197.4","207.8","219.3","232.0","245.9","259.9","275.1","292.6","314.7","338.9","367.9","400.2","438.2","477.9","527.3","580.7","642.2","713.9","795.4","889.5","998.3","1123.1","1253.8","1409.0","1586.3","1826.3","2207.1","2700.8","3326.7","3989.1","5645.2","7665.5","9936.7","11190.9","12327.8","13125.0","13714.5","14206.3","14774.8","15504.4","16133.0","16690.5","17256.8","17861.7","18699.9"
"2010","ALB","8","Albania","41.1830558776855","19.8860397338867","2948029","103.6","28458.6","2999.9","725.4","765.4","7.6","10.9","14.1","17.4","21.0","24.9","29.5","34.3","39.4","44.7","49.9","55.0","60.7","66.4","72.5","78.6","85.1","91.7","99.2","106.5","114.3","122.4","130.6","140.0","149.7","159.4","171.0","182.7","195.4","208.1","220.6","237.2","252.6","269.4","286.5","306.3","326.3","348.0","371.7","395.2","423.7","453.2","479.5","518.9","560.1","590.6","627.9","670.0","712.4","765.4","820.6","870.3","929.1","1037.9","1139.4","1263.6","1370.5","1483.2","1636.5","1794.0","1984.7","2152.5","2313.2","2417.4","2599.9","2811.4","2980.3","3203.9","3427.9","3668.5","3805.9","4051.1","4149.8","4306.5","4513.3","4613.6","4867.8","5021.0","5298.2","5597.2","5755.2","5953.0","6584.4","6871.0","7100.2","7325.1","7984.9","8699.7","9744.7","10323.0","11214.0","11891.1","12231.7","12788.2","13259.4","13895.7","14147.1","14367.9","14690.5","15281.7"
"2010","DZA","12","Algeria","35.5802","3.5508","35977451","15.6","2310046.8","2742.9","677.2","791.4","1.5","4.6","8.7","13.8","19.4","25.5","32.5","39.6","46.8","53.9","61.1","68.4","75.8","83.4","91.3","99.3","107.5","115.9","124.7","133.8","143.6","153.4","163.9","174.9","186.1","198.6","211.1","224.1","237.8","252.6","267.2","283.0","300.0","317.5","335.9","354.8","374.5","395.9","418.4","442.6","468.7","495.8","524.8","556.4","590.7","624.6","660.9","701.3","745.1","791.4","842.1","898.3","951.4","1010.6","1072.7","1137.3","1207.7","1277.9","1356.3","1444.2","1532.1","1616.4","1714.0","1807.3","1914.6","2026.4","2151.2","2271.0","2399.3","2581.4","2731.6","2878.9","3044.7","3210.1","3390.8","3599.2","3802.1","4002.8","4235.8","4454.0","4720.1","4980.6","5297.8","5576.6","5888.8","6254.9","6589.5","7027.2","7483.1","7886.8","8299.8","8830.2","9374.8","10085.2","10911.8","12665.1","14983.9","17258.4","21365.0","45591.0"
"2010","ASM","16","American Samoa","-14.3080129623413","-170.697128295898","56083","235.9","237.8","712.5","519.7","690.5","19.7","41.8","60.2","73.7","84.8","108.8","124.9","133.4","139.7","151.7","167.8","174.9","182.9","204.3","217.4","219.8","231.5","237.2","242.3","255.9","257.8","290.9","303.6","309.4","315.4","322.1","347.1","373.6","382.7","395.0","399.3","403.6","422.4","425.1","449.8","476.8","492.3","502.0","515.4","540.5","562.3","562.4","571.9","587.5","595.9","603.4","654.7","668.5","686.5","690.5","692.3","693.4","693.7","697.7","733.4","741.1","744.6","748.8","758.3","764.8","767.1","776.4","776.4","809.0","815.9","862.4","870.8","873.1","873.3","874.6","881.2","887.1","927.6","968.7","968.7","1013.5","1013.7","1013.7","1042.5","1085.4","1085.4","1107.4","1140.9","1140.9","1161.7","1161.7","1179.6","1179.6","1250.4","1283.6","1283.6","1509.3","1509.3","1509.3","1837.9","1837.9","2152.6","2152.6","2152.6","2152.6"
"2010","AND","20","Andorra","42.5172424316406","1.5448933839798","84453","188.1","449.1","2154.9","858.3","1153.2","14.4","20.7","29.4","39.4","50.8","61.6","76.0","82.0","90.9","98.7","112.1","123.1","129.8","140.9","146.7","155.6","161.5","168.7","182.3","194.4","213.6","227.6","233.0","251.3","259.3","273.7","279.2","303.1","312.1","330.8","348.7","362.9","374.2","444.0","455.0","491.6","516.1","570.5","605.1","654.1","755.9","771.5","815.4","826.9","864.3","864.4","918.1","976.2","1012.3","1153.2","1240.1","1258.9","1302.0","1304.1","1326.3","1342.8","1439.6","1463.6","1608.7","1608.7","1639.0","1740.6","1885.2","1942.7","1942.7","2079.9","2079.9","2834.7","2834.7","3086.1","3086.1","3157.6","3157.6","3221.7","3221.7","3221.7","3545.0","3545.0","3757.8","3757.8","3757.8","3903.4","3903.4","3903.4","5466.9","5466.9","5466.9","5466.9","5945.9","5945.9","5945.9","5945.9","5945.9","9104.5","9104.5","9104.5","9104.5","9104.5","9104.5","9104.5"
"2010","AGO","24","Angola","-10.9947","15.247","23356247","18.7","1252166.5","1473.9","157.0","98.2","1.4","2.2","3.1","3.8","4.6","5.3","6.1","6.9","7.8","8.8","9.7","10.7","11.7","12.6","13.6","14.6","15.7","16.8","18.0","19.2","20.5","21.9","23.3","24.7","26.0","27.4","28.8","30.2","31.6","33.0","34.5","36.0","37.6","39.3","41.0","42.8","44.7","46.7","48.8","51.1","53.6","56.4","59.5","63.0","67.0","71.4","76.8","82.9","90.1","98.2","106.6","116.4","128.6","144.4","161.5","180.0","201.4","226.6","256.7","290.8","330.6","374.4","423.6","474.5","527.2","588.2","650.5","720.1","785.5","855.3","929.8","995.3","1073.3","1158.9","1252.9","1359.2","1472.1","1585.7","1690.4","1823.1","1934.1","2065.6","2210.0","2383.8","2587.2","2815.8","3046.4","3263.4","3505.7","3773.2","4553.6","5556.6","6357.4","8440.6","10319.9","11014.4","12238.6","13577.4","16528.6","18276.5"
