Outcome,OutcomeCategory,Model,Stat,Result
PublicGood,EndogPublicGoods,W4,betaw,      0.25
PublicGood,EndogPublicGoods,W4,tstatw,      8.28
PublicGood,EndogPublicGoods,W4,AIC, -24833.32
PublicGood,EndogPublicGoods,W4,BIC, -24383.35
PublicGood,EndogPublicGoods,W4,loglike,  12480.09
PublicGood,EndogPublicGoods,support,betaw,      0.36
PublicGood,EndogPublicGoods,support,tstatw,      6.66
PublicGood,EndogPublicGoods,support,AIC, -24991.10
PublicGood,EndogPublicGoods,support,BIC, -24541.99
PublicGood,EndogPublicGoods,support,loglike,  12558.99
PublicGood,EndogPublicGoods,W_old,betaw,      0.11
PublicGood,EndogPublicGoods,W_old,tstatw,      5.44
PublicGood,EndogPublicGoods,W_old,AIC, -23795.23
PublicGood,EndogPublicGoods,W_old,BIC, -23345.26
PublicGood,EndogPublicGoods,W_old,loglike,  11961.04
PublicGood,EndogPublicGoods,normpolity,betaw,      0.14
PublicGood,EndogPublicGoods,normpolity,tstatw,      7.60
PublicGood,EndogPublicGoods,normpolity,AIC, -23241.26
PublicGood,EndogPublicGoods,normpolity,BIC, -22806.56
PublicGood,EndogPublicGoods,normpolity,loglike,  11683.11
PublicGood,EndogPublicGoods,Dem6,betaw,      0.10
PublicGood,EndogPublicGoods,Dem6,tstatw,      7.31
PublicGood,EndogPublicGoods,Dem6,AIC, -23345.74
PublicGood,EndogPublicGoods,Dem6,BIC, -22911.03
PublicGood,EndogPublicGoods,Dem6,loglike,  11735.34
PublicGood,EndogPublicGoods,e_boix_regime,betaw,      0.10
PublicGood,EndogPublicGoods,e_boix_regime,tstatw,      6.95
PublicGood,EndogPublicGoods,e_boix_regime,AIC, -23533.60
PublicGood,EndogPublicGoods,e_boix_regime,BIC, -23119.59
PublicGood,EndogPublicGoods,e_boix_regime,loglike,  11826.22
PublicGood,EndogPublicGoods,Przeworski,betaw,      0.09
PublicGood,EndogPublicGoods,Przeworski,tstatw,      6.27
PublicGood,EndogPublicGoods,Przeworski,AIC, -20237.41
PublicGood,EndogPublicGoods,Przeworski,BIC, -19880.65
PublicGood,EndogPublicGoods,Przeworski,loglike,  10171.09
PublicGood,EndogPublicGoods,gwf_party,betaw,     -0.04
PublicGood,EndogPublicGoods,gwf_party,tstatw,     -2.27
PublicGood,EndogPublicGoods,gwf_party,AIC, -17197.07
PublicGood,EndogPublicGoods,gwf_party,BIC, -16831.43
PublicGood,EndogPublicGoods,gwf_party,loglike,   8652.99
PublicGood,EndogPublicGoods,gwf_military,betaw,     -0.04
PublicGood,EndogPublicGoods,gwf_military,tstatw,     -2.58
PublicGood,EndogPublicGoods,gwf_military,AIC, -17102.42
PublicGood,EndogPublicGoods,gwf_military,BIC, -16736.79
PublicGood,EndogPublicGoods,gwf_military,loglike,   8605.67
PublicGood,EndogPublicGoods,gwf_monarchy,betaw,     -0.00
PublicGood,EndogPublicGoods,gwf_monarchy,tstatw,     -0.02
PublicGood,EndogPublicGoods,gwf_monarchy,AIC, -17014.03
PublicGood,EndogPublicGoods,gwf_monarchy,BIC, -16648.39
PublicGood,EndogPublicGoods,gwf_monarchy,loglike,   8561.47
PublicGood,EndogPublicGoods,gwf_personal,betaw,     -0.04
PublicGood,EndogPublicGoods,gwf_personal,tstatw,     -2.36
PublicGood,EndogPublicGoods,gwf_personal,AIC, -17184.00
PublicGood,EndogPublicGoods,gwf_personal,BIC, -16818.36
PublicGood,EndogPublicGoods,gwf_personal,loglike,   8646.46
PublicGood,EndogPublicGoods,gwf_demo,betaw,      0.10
PublicGood,EndogPublicGoods,gwf_demo,tstatw,      6.38
PublicGood,EndogPublicGoods,gwf_demo,AIC, -18231.72
PublicGood,EndogPublicGoods,gwf_demo,BIC, -17866.09
PublicGood,EndogPublicGoods,gwf_demo,loglike,   9170.32
PublicGood,EndogPublicGoods,ln_pwd_a,betaw,      0.11
PublicGood,EndogPublicGoods,ln_pwd_a,tstatw,      2.01
PublicGood,EndogPublicGoods,ln_pwd_a,AIC, -15363.80
PublicGood,EndogPublicGoods,ln_pwd_a,BIC, -15223.14
PublicGood,EndogPublicGoods,ln_pwd_a,loglike,   7705.06
PublicGood,EndogPublicGoods,ln_pwd_g,betaw,      0.12
PublicGood,EndogPublicGoods,ln_pwd_g,tstatw,      1.15
PublicGood,EndogPublicGoods,ln_pwd_g,AIC, -15356.79
PublicGood,EndogPublicGoods,ln_pwd_g,BIC, -15216.13
PublicGood,EndogPublicGoods,ln_pwd_g,loglike,   7701.56
PublicGood,EndogPublicGoods,ln_pwd_m,betaw,      0.11
PublicGood,EndogPublicGoods,ln_pwd_m,tstatw,      1.66
PublicGood,EndogPublicGoods,ln_pwd_m,AIC, -15365.98
PublicGood,EndogPublicGoods,ln_pwd_m,BIC, -15225.32
PublicGood,EndogPublicGoods,ln_pwd_m,loglike,   7706.15
PublicGood,EndogPublicGoods,wb_urbpop,betaw,      0.00
PublicGood,EndogPublicGoods,wb_urbpop,tstatw,      2.63
PublicGood,EndogPublicGoods,wb_urbpop,AIC, -22971.01
PublicGood,EndogPublicGoods,wb_urbpop,BIC, -22521.85
PublicGood,EndogPublicGoods,wb_urbpop,loglike,  11548.94
PublicGood,EndogPublicGoods,l_res_norm,betaw,     -0.19
PublicGood,EndogPublicGoods,l_res_norm,tstatw,     -1.41
PublicGood,EndogPublicGoods,l_res_norm,AIC, -23465.02
PublicGood,EndogPublicGoods,l_res_norm,BIC, -23018.85
PublicGood,EndogPublicGoods,l_res_norm,loglike,  11795.97
PublicGood,EndogPublicGoods,p_res_norm,betaw,      0.06
PublicGood,EndogPublicGoods,p_res_norm,tstatw,      1.18
PublicGood,EndogPublicGoods,p_res_norm,AIC, -23291.40
PublicGood,EndogPublicGoods,p_res_norm,BIC, -22845.22
PublicGood,EndogPublicGoods,p_res_norm,loglike,  11709.16
PublicGood,EndogPublicGoods,r_res_norm,betaw,     -0.08
PublicGood,EndogPublicGoods,r_res_norm,tstatw,     -1.05
PublicGood,EndogPublicGoods,r_res_norm,AIC, -23283.43
PublicGood,EndogPublicGoods,r_res_norm,BIC, -22837.25
PublicGood,EndogPublicGoods,r_res_norm,loglike,  11705.17
PublicGood,EndogPublicGoods,g_res_norm,betaw,      0.12
PublicGood,EndogPublicGoods,g_res_norm,tstatw,      1.70
PublicGood,EndogPublicGoods,g_res_norm,AIC, -23316.23
PublicGood,EndogPublicGoods,g_res_norm,BIC, -22870.06
PublicGood,EndogPublicGoods,g_res_norm,loglike,  11721.57
PublicGood,EndogPublicGoods,e_peaveduc,betaw,     -0.00
PublicGood,EndogPublicGoods,e_peaveduc,tstatw,     -0.43
PublicGood,EndogPublicGoods,e_peaveduc,AIC, -17701.21
PublicGood,EndogPublicGoods,e_peaveduc,BIC, -17267.56
PublicGood,EndogPublicGoods,e_peaveduc,loglike,   8914.16
GoodsRatio,EndogPublicGoods,W4,betaw,      0.11
GoodsRatio,EndogPublicGoods,W4,tstatw,      4.30
GoodsRatio,EndogPublicGoods,W4,AIC, -29522.84
GoodsRatio,EndogPublicGoods,W4,BIC, -29073.15
GoodsRatio,EndogPublicGoods,W4,loglike,  14824.85
GoodsRatio,EndogPublicGoods,support,betaw,      0.23
GoodsRatio,EndogPublicGoods,support,tstatw,      5.83
GoodsRatio,EndogPublicGoods,support,AIC, -30147.97
GoodsRatio,EndogPublicGoods,support,BIC, -29699.14
GoodsRatio,EndogPublicGoods,support,loglike,  15137.42
GoodsRatio,EndogPublicGoods,W_old,betaw,      0.05
GoodsRatio,EndogPublicGoods,W_old,tstatw,      4.30
