Outcome,OutcomeCategory,Model,Stat,Result
GoodsRatio,EndogPublicGoods,p_res_norm,beta,      0.08
GoodsRatio,EndogPublicGoods,p_res_norm,tstat,      2.33
GoodsRatio,EndogPublicGoods,p_res_norm,AIC, -29050.60
GoodsRatio,EndogPublicGoods,p_res_norm,loglike,  14588.76
GoodsRatio,EndogPublicGoods,r_res_norm,beta,     -0.08
GoodsRatio,EndogPublicGoods,r_res_norm,tstat,     -1.41
GoodsRatio,EndogPublicGoods,r_res_norm,AIC, -28970.02
GoodsRatio,EndogPublicGoods,r_res_norm,loglike,  14548.46
GoodsRatio,EndogPublicGoods,g_res_norm,beta,      0.04
GoodsRatio,EndogPublicGoods,g_res_norm,tstat,      0.79
GoodsRatio,EndogPublicGoods,g_res_norm,AIC, -28930.58
GoodsRatio,EndogPublicGoods,g_res_norm,loglike,  14528.75
GoodsRatio,EndogPublicGoods,W4+l_pwd_a,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+l_pwd_a,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+l_pwd_a,AIC, -17391.53
GoodsRatio,EndogPublicGoods,W4+l_pwd_a,loglike,   8719.94
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,AIC, -17388.18
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,loglike,   8718.27
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,AIC, -17388.97
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,loglike,   8718.66
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,AIC, -29204.46
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,loglike,  14666.68
GoodsRatio,EndogPublicGoods,W4+l_res_norm,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+l_res_norm,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+l_res_norm,AIC, -29626.32
GoodsRatio,EndogPublicGoods,W4+l_res_norm,loglike,  14877.63
GoodsRatio,EndogPublicGoods,W4+p_res_norm,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+p_res_norm,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+p_res_norm,AIC, -29667.09
GoodsRatio,EndogPublicGoods,W4+p_res_norm,loglike,  14898.02
GoodsRatio,EndogPublicGoods,W4+r_res_norm,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+r_res_norm,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+r_res_norm,AIC, -29622.79
GoodsRatio,EndogPublicGoods,W4+r_res_norm,loglike,  14875.86
GoodsRatio,EndogPublicGoods,W4+g_res_norm,beta,      0.04
GoodsRatio,EndogPublicGoods,W4+g_res_norm,tstat,      0.79
GoodsRatio,EndogPublicGoods,W4+g_res_norm,AIC, -29593.72
GoodsRatio,EndogPublicGoods,W4+g_res_norm,loglike,  14861.33
PrivateorPublicGoods,EndogPublicGoods,W4,beta,      0.98
PrivateorPublicGoods,EndogPublicGoods,W4,tstat,      2.98
PrivateorPublicGoods,EndogPublicGoods,W4,AIC,  17849.42
PrivateorPublicGoods,EndogPublicGoods,W4,loglike,  -8861.28
PrivateorPublicGoods,EndogPublicGoods,l_pwd_a,beta,     -0.04
PrivateorPublicGoods,EndogPublicGoods,l_pwd_a,tstat,     -0.41
PrivateorPublicGoods,EndogPublicGoods,l_pwd_a,AIC,   2420.35
PrivateorPublicGoods,EndogPublicGoods,l_pwd_a,loglike,  -1187.01
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_g,beta,     -1.57
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_g,tstat,     -0.94
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_g,AIC,   2412.98
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_g,loglike,  -1183.33
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_m,beta,     -0.86
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_m,tstat,     -0.78
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_m,AIC,   2415.68
PrivateorPublicGoods,EndogPublicGoods,ln_pwd_m,loglike,  -1184.68
PrivateorPublicGoods,EndogPublicGoods,wb_urbpop,beta,      0.00
PrivateorPublicGoods,EndogPublicGoods,wb_urbpop,tstat,      0.56
PrivateorPublicGoods,EndogPublicGoods,wb_urbpop,AIC,  17677.55
PrivateorPublicGoods,EndogPublicGoods,wb_urbpop,loglike,  -8775.34
PrivateorPublicGoods,EndogPublicGoods,l_res_norm,beta,     -1.23
PrivateorPublicGoods,EndogPublicGoods,l_res_norm,tstat,     -1.70
PrivateorPublicGoods,EndogPublicGoods,l_res_norm,AIC,  15713.55
PrivateorPublicGoods,EndogPublicGoods,l_res_norm,loglike,  -7793.32
PrivateorPublicGoods,EndogPublicGoods,p_res_norm,beta,      0.29
PrivateorPublicGoods,EndogPublicGoods,p_res_norm,tstat,      0.79
PrivateorPublicGoods,EndogPublicGoods,p_res_norm,AIC,  15817.62
PrivateorPublicGoods,EndogPublicGoods,p_res_norm,loglike,  -7845.36
PrivateorPublicGoods,EndogPublicGoods,r_res_norm,beta,     -0.18
PrivateorPublicGoods,EndogPublicGoods,r_res_norm,tstat,     -0.33
PrivateorPublicGoods,EndogPublicGoods,r_res_norm,AIC,  15828.43
PrivateorPublicGoods,EndogPublicGoods,r_res_norm,loglike,  -7850.76
PrivateorPublicGoods,EndogPublicGoods,g_res_norm,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,g_res_norm,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,g_res_norm,AIC,  15821.73
PrivateorPublicGoods,EndogPublicGoods,g_res_norm,loglike,  -7847.41
PrivateorPublicGoods,EndogPublicGoods,W4+l_pwd_a,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+l_pwd_a,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+l_pwd_a,AIC,   1973.28
PrivateorPublicGoods,EndogPublicGoods,W4+l_pwd_a,loglike,   -962.46
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,AIC,   1959.45
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,loglike,   -955.55
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,AIC,   1960.37
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,loglike,   -956.00
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,AIC,  17371.26
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,loglike,  -8621.18
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,AIC,  15415.31
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,loglike,  -7643.19
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,AIC,  15501.43
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,loglike,  -7686.25
PrivateorPublicGoods,EndogPublicGoods,W4+r_res_norm,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+r_res_norm,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+r_res_norm,AIC,  15503.62
PrivateorPublicGoods,EndogPublicGoods,W4+r_res_norm,loglike,  -7687.34
PrivateorPublicGoods,EndogPublicGoods,W4+g_res_norm,beta,      0.39
PrivateorPublicGoods,EndogPublicGoods,W4+g_res_norm,tstat,      0.59
PrivateorPublicGoods,EndogPublicGoods,W4+g_res_norm,AIC,  15498.71
PrivateorPublicGoods,EndogPublicGoods,W4+g_res_norm,loglike,  -7684.89
EliteWantCommonGood,EndogPublicGoods,W4,beta,      1.90
EliteWantCommonGood,EndogPublicGoods,W4,tstat,      6.52
EliteWantCommonGood,EndogPublicGoods,W4,AIC,  16922.68
EliteWantCommonGood,EndogPublicGoods,W4,loglike,  -8397.91
