Outcome,OutcomeCategory,Model,Stat,Result
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,BIC, -24642.07
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,loglike,  12607.58
PublicGood,EndogPublicGoods,W4+l_res_norm/l_res_norm,betap,     -0.19
PublicGood,EndogPublicGoods,W4+l_res_norm/l_res_norm,tstatp,     -1.41
PublicGood,EndogPublicGoods,W4+l_res_norm/l_res_norm,AIC, -23465.02
PublicGood,EndogPublicGoods,W4+l_res_norm/l_res_norm,BIC, -23018.85
PublicGood,EndogPublicGoods,W4+l_res_norm/l_res_norm,loglike,  11795.97
PublicGood,EndogPublicGoods,W4+p_res_norm,betap,      0.01
PublicGood,EndogPublicGoods,W4+p_res_norm,tstatp,      0.38
PublicGood,EndogPublicGoods,W4+p_res_norm,AIC, -25088.94
PublicGood,EndogPublicGoods,W4+p_res_norm,BIC, -24635.70
PublicGood,EndogPublicGoods,W4+p_res_norm,loglike,  12608.94
PublicGood,EndogPublicGoods,W4+p_res_norm/W4,betaw,      0.24
PublicGood,EndogPublicGoods,W4+p_res_norm/W4,tstatw,      7.96
PublicGood,EndogPublicGoods,W4+p_res_norm/W4,AIC, -25088.24
PublicGood,EndogPublicGoods,W4+p_res_norm/W4,BIC, -24642.07
PublicGood,EndogPublicGoods,W4+p_res_norm/W4,loglike,  12607.58
PublicGood,EndogPublicGoods,W4+p_res_norm/p_res_norm,betap,      0.06
PublicGood,EndogPublicGoods,W4+p_res_norm/p_res_norm,tstatp,      1.18
PublicGood,EndogPublicGoods,W4+p_res_norm/p_res_norm,AIC, -23291.40
PublicGood,EndogPublicGoods,W4+p_res_norm/p_res_norm,BIC, -22845.22
PublicGood,EndogPublicGoods,W4+p_res_norm/p_res_norm,loglike,  11709.16
PublicGood,EndogPublicGoods,W4+r_res_norm,betap,     -0.05
PublicGood,EndogPublicGoods,W4+r_res_norm,tstatp,     -0.68
PublicGood,EndogPublicGoods,W4+r_res_norm,AIC, -25098.44
PublicGood,EndogPublicGoods,W4+r_res_norm,BIC, -24645.20
PublicGood,EndogPublicGoods,W4+r_res_norm,loglike,  12613.69
PublicGood,EndogPublicGoods,W4+r_res_norm/W4,betaw,      0.24
PublicGood,EndogPublicGoods,W4+r_res_norm/W4,tstatw,      7.96
PublicGood,EndogPublicGoods,W4+r_res_norm/W4,AIC, -25088.24
PublicGood,EndogPublicGoods,W4+r_res_norm/W4,BIC, -24642.07
PublicGood,EndogPublicGoods,W4+r_res_norm/W4,loglike,  12607.58
PublicGood,EndogPublicGoods,W4+r_res_norm/r_res_norm,betap,     -0.08
PublicGood,EndogPublicGoods,W4+r_res_norm/r_res_norm,tstatp,     -1.05
PublicGood,EndogPublicGoods,W4+r_res_norm/r_res_norm,AIC, -23283.43
