Outcome,OutcomeCategory,Stat,Dem6+e_peaveduc,Dem6+e_peaveduc/Dem6,Dem6+e_peaveduc/e_peaveduc,Dem6+g_res_norm,Dem6+g_res_norm/Dem6,Dem6+g_res_norm/g_res_norm,Dem6+l_res_norm,Dem6+l_res_norm/Dem6,Dem6+l_res_norm/l_res_norm,Dem6+ln_pwd_a,Dem6+ln_pwd_a/Dem6,Dem6+ln_pwd_a/ln_pwd_a,Dem6+ln_pwd_g,Dem6+ln_pwd_g/Dem6,Dem6+ln_pwd_g/ln_pwd_g,Dem6+ln_pwd_m,Dem6+ln_pwd_m/Dem6,Dem6+ln_pwd_m/ln_pwd_m,Dem6+p_res_norm,Dem6+p_res_norm/Dem6,Dem6+p_res_norm/p_res_norm,Dem6+r_res_norm,Dem6+r_res_norm/Dem6,Dem6+r_res_norm/r_res_norm,Dem6+wb_urbpop,Dem6+wb_urbpop/Dem6,Dem6+wb_urbpop/wb_urbpop,Przeworski+e_peaveduc,Przeworski+e_peaveduc/Przeworski,Przeworski+e_peaveduc/e_peaveduc,Przeworski+g_res_norm,Przeworski+g_res_norm/Przeworski,Przeworski+g_res_norm/g_res_norm,Przeworski+l_res_norm,Przeworski+l_res_norm/Przeworski,Przeworski+l_res_norm/l_res_norm,Przeworski+ln_pwd_a,Przeworski+ln_pwd_a/Przeworski,Przeworski+ln_pwd_a/ln_pwd_a,Przeworski+ln_pwd_g,Przeworski+ln_pwd_g/Przeworski,Przeworski+ln_pwd_g/ln_pwd_g,Przeworski+ln_pwd_m,Przeworski+ln_pwd_m/Przeworski,Przeworski+ln_pwd_m/ln_pwd_m,Przeworski+p_res_norm,Przeworski+p_res_norm/Przeworski,Przeworski+p_res_norm/p_res_norm,Przeworski+r_res_norm,Przeworski+r_res_norm/Przeworski,Przeworski+r_res_norm/r_res_norm,Przeworski+wb_urbpop,Przeworski+wb_urbpop/Przeworski,Przeworski+wb_urbpop/wb_urbpop,W4+e_peaveduc,W4+e_peaveduc/W4,W4+e_peaveduc/e_peaveduc,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop,W_old+e_peaveduc,W_old+e_peaveduc/W_old,W_old+e_peaveduc/e_peaveduc,W_old+g_res_norm,W_old+g_res_norm/W_old,W_old+g_res_norm/g_res_norm,W_old+l_res_norm,W_old+l_res_norm/W_old,W_old+l_res_norm/l_res_norm,W_old+ln_pwd_a,W_old+ln_pwd_a/W_old,W_old+ln_pwd_a/ln_pwd_a,W_old+ln_pwd_g,W_old+ln_pwd_g/W_old,W_old+ln_pwd_g/ln_pwd_g,W_old+ln_pwd_m,W_old+ln_pwd_m/W_old,W_old+ln_pwd_m/ln_pwd_m,W_old+p_res_norm,W_old+p_res_norm/W_old,W_old+p_res_norm/p_res_norm,W_old+r_res_norm,W_old+r_res_norm/W_old,W_old+r_res_norm/r_res_norm,W_old+wb_urbpop,W_old+wb_urbpop/W_old,W_old+wb_urbpop/wb_urbpop,e_boix_regime+e_peaveduc,e_boix_regime+e_peaveduc/e_boix_regime,e_boix_regime+e_peaveduc/e_peaveduc,e_boix_regime+g_res_norm,e_boix_regime+g_res_norm/e_boix_regime,e_boix_regime+g_res_norm/g_res_norm,e_boix_regime+l_res_norm,e_boix_regime+l_res_norm/e_boix_regime,e_boix_regime+l_res_norm/l_res_norm,e_boix_regime+ln_pwd_a,e_boix_regime+ln_pwd_a/e_boix_regime,e_boix_regime+ln_pwd_a/ln_pwd_a,e_boix_regime+ln_pwd_g,e_boix_regime+ln_pwd_g/e_boix_regime,e_boix_regime+ln_pwd_g/ln_pwd_g,e_boix_regime+ln_pwd_m,e_boix_regime+ln_pwd_m/e_boix_regime,e_boix_regime+ln_pwd_m/ln_pwd_m,e_boix_regime+p_res_norm,e_boix_regime+p_res_norm/e_boix_regime,e_boix_regime+p_res_norm/p_res_norm,e_boix_regime+r_res_norm,e_boix_regime+r_res_norm/e_boix_regime,e_boix_regime+r_res_norm/r_res_norm,e_boix_regime+wb_urbpop,e_boix_regime+wb_urbpop/e_boix_regime,e_boix_regime+wb_urbpop/wb_urbpop,gwf_party+e_peaveduc,gwf_party+e_peaveduc/e_peaveduc,gwf_party+e_peaveduc/gwf_party,gwf_party+g_res_norm,gwf_party+g_res_norm/g_res_norm,gwf_party+g_res_norm/gwf_party,gwf_party+l_res_norm,gwf_party+l_res_norm/gwf_party,gwf_party+l_res_norm/l_res_norm,gwf_party+ln_pwd_a,gwf_party+ln_pwd_a/gwf_party,gwf_party+ln_pwd_a/ln_pwd_a,gwf_party+ln_pwd_g,gwf_party+ln_pwd_g/gwf_party,gwf_party+ln_pwd_g/ln_pwd_g,gwf_party+ln_pwd_m,gwf_party+ln_pwd_m/gwf_party,gwf_party+ln_pwd_m/ln_pwd_m,gwf_party+p_res_norm,gwf_party+p_res_norm/gwf_party,gwf_party+p_res_norm/p_res_norm,gwf_party+r_res_norm,gwf_party+r_res_norm/gwf_party,gwf_party+r_res_norm/r_res_norm,gwf_party+wb_urbpop,gwf_party+wb_urbpop/gwf_party,gwf_party+wb_urbpop/wb_urbpop,normpolity+e_peaveduc,normpolity+e_peaveduc/e_peaveduc,normpolity+e_peaveduc/normpolity,normpolity+g_res_norm,normpolity+g_res_norm/g_res_norm,normpolity+g_res_norm/normpolity,normpolity+l_res_norm,normpolity+l_res_norm/l_res_norm,normpolity+l_res_norm/normpolity,normpolity+ln_pwd_a,normpolity+ln_pwd_a/ln_pwd_a,normpolity+ln_pwd_a/normpolity,normpolity+ln_pwd_g,normpolity+ln_pwd_g/ln_pwd_g,normpolity+ln_pwd_g/normpolity,normpolity+ln_pwd_m,normpolity+ln_pwd_m/ln_pwd_m,normpolity+ln_pwd_m/normpolity,normpolity+p_res_norm,normpolity+p_res_norm/normpolity,normpolity+p_res_norm/p_res_norm,normpolity+r_res_norm,normpolity+r_res_norm/normpolity,normpolity+r_res_norm/r_res_norm,normpolity+wb_urbpop,normpolity+wb_urbpop/normpolity,normpolity+wb_urbpop/wb_urbpop,support+e_peaveduc,support+e_peaveduc/e_peaveduc,support+e_peaveduc/support,support+g_res_norm,support+g_res_norm/g_res_norm,support+g_res_norm/support,support+l_res_norm,support+l_res_norm/l_res_norm,support+l_res_norm/support,support+ln_pwd_a,support+ln_pwd_a/ln_pwd_a,support+ln_pwd_a/support,support+ln_pwd_g,support+ln_pwd_g/ln_pwd_g,support+ln_pwd_g/support,support+ln_pwd_m,support+ln_pwd_m/ln_pwd_m,support+ln_pwd_m/support,support+p_res_norm,support+p_res_norm/p_res_norm,support+p_res_norm/support,support+r_res_norm,support+r_res_norm/r_res_norm,support+r_res_norm/support,support+wb_urbpop,support+wb_urbpop/support,support+wb_urbpop/wb_urbpop
GoodsRatio,EndogPublicGoods,loglike,10097.67,11494.95,10769.87,13973.81,13968.19,14528.75,13990.47,13968.19,14556.8,7575.77,7575.57,8532.14,7575.58,7575.57,8530.67,7577.0,7575.57,8532.26,14007.29,13968.19,14588.76,13978.26,13968.19,14548.46,13746.12,13726.1,14391.8,9238.9,9777.04,10769.87,11953.81,11951.47,14528.75,11982.32,11951.47,14556.8,4317.48,4316.06,8532.14,4318.42,4316.06,8530.67,4316.08,4316.06,8532.26,11982.38,11951.47,14588.76,11970.26,11951.47,14548.46,12010.24,11996.31,14391.8,10721.16,11533.68,10769.87,14861.31,14857.02,14528.75,14877.61,14857.02,14556.8,8719.93,8718.25,8532.14,8718.25,8718.25,8530.67,8718.65,8718.25,8532.26,14898.0,14857.02,14588.76,14875.85,14857.02,14548.46,14666.66,14647.51,14391.8,10769.83,11304.05,10769.87,14682.39,14675.46,14528.75,14704.57,14675.46,14556.8,8544.47,8542.48,8532.14,8543.03,8542.48,8530.67,8544.92,8542.48,8532.26,14734.69,14675.46,14588.76,14701.74,14675.46,14548.46,14532.56,14494.88,14391.8,10370.84,11304.31,10769.87,13894.88,13890.66,14528.75,13906.13,13890.66,14556.8,7111.07,7110.21,8532.14,7110.93,7110.21,8530.67,7111.4,7110.21,8532.26,13926.74,13890.66,14588.76,13902.53,13890.66,14548.46,13979.77,13954.47,14391.8,8841.51,10769.87,9154.91,10645.16,14528.75,10642.68,10676.42,10642.68,14556.8,4399.39,4397.9,8532.14,4399.73,4397.9,8530.67,4398.08,4397.9,8532.26,10688.37,10642.68,14588.76,10666.81,10642.68,14548.46,10561.15,10542.73,14391.8,10375.31,10769.87,11309.82,13777.76,14528.75,13774.66,13796.67,14556.8,13774.66,7636.42,8532.14,7635.97,7636.19,8530.67,7635.97,7637.52,8532.26,7635.97,13821.7,13774.66,14588.76,13785.28,13774.66,14548.46,13550.25,13535.36,14391.8,10878.34,10769.87,11804.14,14988.45,14528.75,14982.04,14985.69,14556.8,14982.04,8538.96,8532.14,8537.95,8538.3,8530.67,8537.95,8541.38,8532.26,8537.95,15045.26,14588.76,14982.04,14999.11,14548.46,14982.04,14998.01,14964.98,14391.8
PrivateorPublicGoods,EndogPublicGoods,betaw,,0.44,,0.45,0.45,,0.44,0.45,,0.3,0.3,,0.3,0.3,,0.3,0.3,,0.44,0.45,,0.45,0.45,,0.46,0.46,,,0.39,,0.41,0.41,,0.4,0.41,,0.37,0.38,,0.38,0.38,,0.38,0.38,,0.41,0.41,,0.41,0.41,,0.42,0.41,,,0.8,,0.94,0.94,,0.9,0.94,,2.49,2.49,,2.5,2.49,,2.51,2.49,,0.94,0.94,,0.94,0.94,,0.96,0.96,,,0.61,,0.63,0.63,,0.61,0.63,,0.53,0.53,,0.52,0.53,,0.53,0.53,,0.63,0.63,,0.63,0.63,,0.66,0.66,,,0.45,,0.45,0.45,,0.43,0.45,,0.38,0.38,,0.38,0.38,,0.38,0.38,,0.45,0.45,,0.45,0.45,,0.45,0.45,,,,0.37,0.29,,0.29,0.31,0.29,,-0.35,-0.34,,-0.35,-0.34,,-0.34,-0.34,,0.29,0.29,,0.29,0.29,,0.29,0.29,,,,0.54,0.61,,0.61,0.6,,0.61,1.11,,1.11,1.11,,1.11,1.11,,1.11,0.6,0.61,,0.61,0.61,,0.61,0.61,,,,2.84,2.51,,2.51,2.44,,2.51,2.48,,2.46,2.46,,2.46,2.45,,2.46,2.5,,2.51,2.51,,2.51,2.58,2.58,
PrivateorPublicGoods,EndogPublicGoods,betap,0.33,,0.3,0.45,,0.39,-0.78,,-1.23,-0.54,,-0.36,-1.71,,-1.57,-0.97,,-0.86,0.33,,0.29,-0.02,,-0.18,0.0,,0.0,0.16,,0.3,0.17,,0.39,-1.41,,-1.23,5.82,,-0.36,4.74,,-1.57,1.06,,-0.86,0.06,,0.29,-0.07,,-0.18,-0.01,,0.0,0.32,,0.3,0.29,,0.39,-1.06,,-1.23,-0.42,,-0.36,-2.0,,-1.57,-1.3,,-0.86,0.12,,0.29,-0.04,,-0.18,0.0,,0.0,0.3,,0.3,0.37,,0.39,-1.13,,-1.23,-0.25,,-0.36,-1.19,,-1.57,-0.65,,-0.86,0.21,,0.29,-0.15,,-0.18,0.0,,0.0,0.24,,0.3,0.17,,0.39,-1.04,,-1.23,0.49,,-0.36,-0.02,,-1.57,-0.33,,-0.86,0.09,,0.29,-0.03,,-0.18,-0.0,,0.0,0.16,0.3,,0.36,0.39,,-1.66,,-1.23,4.28,,-0.36,3.9,,-1.57,0.91,,-0.86,0.08,,0.29,-0.13,,-0.18,0.0,,0.0,0.24,0.3,,0.36,0.39,,-0.78,-1.23,,-0.43,-0.36,,-1.4,-1.57,,-0.94,-0.86,,0.38,,0.29,-0.03,,-0.18,-0.0,,0.0,0.07,0.3,,0.31,0.39,,-0.61,-1.23,,-0.58,-0.36,,-1.6,-1.57,,-0.65,-0.86,,0.21,0.29,,0.06,-0.18,,0.0,,0.0
PrivateorPublicGoods,EndogPublicGoods,tstatw,,4.0,,4.56,4.52,,4.54,4.52,,2.65,2.64,,2.64,2.64,,2.62,2.64,,4.52,4.52,,4.53,4.52,,4.57,4.57,,,3.0,,3.7,3.71,,3.57,3.71,,2.34,2.37,,2.32,2.37,,2.36,2.37,,3.74,3.71,,3.69,3.71,,3.78,3.72,,,2.03,,2.86,2.85,,2.71,2.85,,5.47,5.48,,5.45,5.48,,5.43,5.48,,2.84,2.85,,2.83,2.85,,2.86,2.86,,,3.77,,4.4,4.39,,4.26,4.39,,3.59,3.58,,3.57,3.58,,3.57,3.58,,4.42,4.39,,4.39,4.39,,4.67,4.66,,,3.72,,4.29,4.27,,4.16,4.27,,3.28,3.29,,3.31,3.29,,3.3,3.29,,4.32,4.27,,4.28,4.27,,4.27,4.26,,,,1.77,1.61,,1.57,1.8,1.57,,-1.76,-1.78,,-1.8,-1.78,,-1.8,-1.78,,1.56,1.57,,1.56,1.57,,1.58,1.55,,,,2.75,3.69,,3.68,3.57,,3.68,4.19,,4.2,4.19,,4.2,4.18,,4.2,3.62,3.68,,3.66,3.68,,3.66,3.64,,,,7.26,6.22,,6.19,6.19,,6.19,4.99,,4.98,5.01,,4.98,4.98,,4.98,6.19,,6.19,6.14,,6.19,7.51,7.53,
PrivateorPublicGoods,EndogPublicGoods,tstatp,1.45,,1.51,0.81,,0.59,-1.23,,-1.7,-0.65,,-0.41,-1.08,,-0.94,-0.87,,-0.78,0.9,,0.79,-0.03,,-0.33,0.04,,0.56,0.82,,1.51,0.32,,0.59,-1.92,,-1.7,3.91,,-0.41,1.5,,-0.94,0.47,,-0.78,0.19,,0.79,-0.12,,-0.33,-0.88,,0.56,1.57,,1.51,0.49,,0.59,-1.42,,-1.7,-0.5,,-0.41,-1.24,,-0.94,-1.35,,-0.78,0.35,,0.79,-0.08,,-0.33,0.03,,0.56,1.51,,1.51,0.6,,0.59,-1.48,,-1.7,-0.3,,-0.41,-0.75,,-0.94,-0.62,,-0.78,0.59,,0.79,-0.27,,-0.33,0.59,,0.56,1.18,,1.51,0.32,,0.59,-1.49,,-1.7,0.62,,-0.41,-0.01,,-0.94,-0.28,,-0.78,0.27,,0.79,-0.06,,-0.33,-0.08,,0.56,0.81,1.51,,0.64,0.59,,-2.24,,-1.7,3.52,,-0.41,1.33,,-0.94,0.4,,-0.78,0.2,,0.79,-0.19,,-0.33,0.5,,0.56,1.14,1.51,,0.62,0.59,,-1.05,-1.7,,-0.53,-0.41,,-0.96,-0.94,,-0.94,-0.78,,1.0,,0.79,-0.06,,-0.33,-0.12,,0.56,0.38,1.51,,0.53,0.59,,-1.02,-1.7,,-0.7,-0.41,,-0.98,-0.94,,-0.62,-0.78,,0.62,0.79,,0.12,-0.33,,0.28,,0.56
PrivateorPublicGoods,EndogPublicGoods,AIC,12866.8,11999.47,14453.45,14173.43,14182.41,15821.73,14140.2,14182.41,15713.55,1807.47,1807.39,2420.35,1800.58,1807.39,2412.98,1803.42,1807.39,2415.68,14169.55,14182.41,15817.62,14184.42,14182.41,15828.43,14035.38,14033.37,17677.55,10111.8,9848.89,14453.45,11563.9,11563.17,15821.73,11444.12,11563.17,15713.55,-378.9,-340.28,2420.35,-348.37,-340.28,2412.98,-339.33,-340.28,2415.68,11564.71,11563.17,15817.62,11565.0,11563.17,15828.43,11570.32,11577.56,17677.55,14493.93,13799.94,14453.45,15498.75,15501.72,15821.73,15415.34,15501.72,15713.55,1973.3,1972.76,2420.35,1959.47,1972.76,2412.98,1960.39,1972.76,2415.68,15501.47,15501.72,15817.62,15503.66,15501.72,15828.43,17371.3,17369.28,17677.55,14453.52,13751.28,14453.45,15517.48,15523.18,15821.73,15424.09,15523.18,15713.55,2317.33,2315.77,2420.35,2312.97,2315.77,2412.98,2314.54,2315.77,2415.68,15518.05,15523.18,15817.62,15523.97,15523.18,15828.43,17363.55,17366.08,17677.55,12168.92,11623.39,14453.45,13826.01,13825.54,15821.73,13746.23,13825.54,15713.55,833.76,833.04,2420.35,835.07,833.04,2412.98,834.57,833.04,2415.68,13826.46,13825.54,15817.62,13827.53,13825.54,15828.43,13820.98,13819.03,17677.55,10201.7,14453.45,9989.37,11391.45,15821.73,11395.15,11236.49,11395.15,15713.55,-199.63,-169.94,2420.35,-177.26,-169.94,2412.98,-168.88,-169.94,2415.68,11396.51,11395.15,15817.62,11396.6,11395.15,15828.43,11350.17,11351.06,17677.55,12652.13,14453.45,12148.57,14277.58,15821.73,14282.73,14241.6,15713.55,14282.73,1635.06,2420.35,1634.34,1630.14,2412.98,1634.34,1630.4,2415.68,1634.34,14265.6,14282.73,15817.62,14284.71,14282.73,15828.43,14155.01,14153.16,17677.55,13697.3,14453.45,12323.61,14271.19,15821.73,14275.24,14246.13,15713.55,14275.24,1884.87,2420.35,1885.7,1877.92,2412.98,1885.7,1884.15,2415.68,1885.7,14269.45,15817.62,14275.24,14277.0,15828.43,14275.24,15862.21,15861.35,17677.55
PrivateorPublicGoods,EndogPublicGoods,BIC,13274.97,12421.22,14873.37,14615.14,14617.12,16267.97,14581.92,14617.12,16159.79,1945.08,1939.03,2561.0,1938.18,1939.03,2553.64,1941.02,1939.03,2556.34,14611.26,14617.12,16263.86,14626.13,14617.12,16274.67,14476.35,14467.36,18127.0,10443.58,10193.9,14873.37,11926.83,11919.27,16267.97,11807.06,11919.27,16159.79,-309.96,-276.62,2561.0,-279.43,-276.62,2553.64,-270.39,-276.62,2556.34,11927.64,11919.27,16263.86,11927.94,11919.27,16274.67,11933.36,11933.77,18127.0,14913.85,14233.59,14873.37,15952.06,15947.96,16267.97,15868.65,15947.96,16159.79,2120.06,2113.42,2561.0,2106.23,2113.42,2553.64,2107.15,2113.42,2556.34,15954.77,15947.96,16263.86,15956.97,15947.96,16274.67,17827.86,17818.72,18127.0,14873.44,14184.93,14873.37,15970.79,15969.42,16267.97,15877.4,15969.42,16159.79,2464.08,2456.43,2561.0,2459.73,2456.43,2553.64,2461.3,2456.43,2556.34,15971.36,15969.42,16263.86,15977.28,15969.42,16274.67,17820.11,17815.52,18127.0,12555.57,12023.57,14873.37,14246.22,14238.76,16267.97,14166.44,14238.76,16159.79,951.43,944.84,2561.0,952.74,944.84,2553.64,952.24,944.84,2556.34,14246.67,14238.76,16263.86,14247.74,14238.76,16274.67,14241.34,14232.41,18127.0,10545.51,14873.37,10346.37,11763.85,16267.97,11760.78,11608.88,11760.78,16159.79,-119.25,-94.9,2561.0,-96.87,-94.9,2553.64,-88.5,-94.9,2556.34,11768.9,11760.78,16263.86,11768.99,11760.78,16274.67,11722.13,11716.28,18127.0,13060.31,14873.37,12570.31,14719.29,16267.97,14717.44,14683.31,16159.79,14717.44,1772.66,2561.0,1765.97,1767.75,2553.64,1765.97,1768.0,2556.34,1765.97,14707.31,14717.44,16263.86,14726.42,14717.44,16274.67,14595.98,14587.15,18127.0,14116.23,14873.37,12756.24,14723.59,16267.97,14720.59,14698.53,16159.79,14720.59,2031.28,2561.0,2026.03,2024.33,2553.64,2026.03,2030.56,2556.34,2026.03,14721.85,16263.86,14720.59,14729.4,16274.67,14720.59,16317.9,16309.93,18127.0
PrivateorPublicGoods,EndogPublicGoods,loglike,-6372.85,-5937.15,-7165.2,-7023.23,-7028.73,-7847.41,-7006.61,-7028.73,-7793.32,-880.55,-881.52,-1187.01,-877.1,-881.52,-1183.33,-878.52,-881.52,-1184.68,-7021.29,-7028.73,-7845.36,-7028.72,-7028.73,-7850.76,-6954.19,-6954.21,-8775.34,-5005.45,-4871.96,-7165.2,-5728.54,-5729.19,-7847.41,-5668.65,-5729.19,-7793.32,202.57,182.24,-1187.01,187.31,182.24,-1183.33,182.79,182.24,-1184.68,-5728.95,-5729.19,-7845.36,-5729.09,-5729.19,-7850.76,-5731.75,-5736.39,-8775.34,-7185.44,-6836.41,-7165.2,-7684.9,-7687.4,-7847.41,-7643.2,-7687.4,-7793.32,-962.47,-963.22,-1187.01,-955.56,-963.22,-1183.33,-956.02,-963.22,-1184.68,-7686.26,-7687.4,-7845.36,-7687.36,-7687.4,-7850.76,-8621.2,-8621.21,-8775.34,-7165.24,-6812.09,-7165.2,-7694.27,-7698.13,-7847.41,-7647.58,-7698.13,-7793.32,-1134.49,-1134.72,-1187.01,-1132.31,-1134.72,-1183.33,-1133.09,-1134.72,-1184.68,-7694.56,-7698.13,-7845.36,-7697.52,-7698.13,-7850.76,-8617.33,-8619.61,-8775.34,-6026.96,-5752.16,-7165.2,-6852.56,-6853.34,-7847.41,-6812.67,-6853.34,-7793.32,-396.72,-397.38,-1187.01,-397.38,-397.38,-1183.33,-397.13,-397.38,-1184.68,-6852.78,-6853.34,-7845.36,-6853.32,-6853.34,-7850.76,-6850.04,-6850.08,-8775.34,-5048.35,-7165.2,-4940.15,-5640.25,-7847.41,-5643.12,-5562.77,-5643.12,-7793.32,114.97,99.1,-1187.01,103.78,99.1,-1183.33,99.59,99.1,-1184.68,-5642.78,-5643.12,-7845.36,-5642.83,-5643.12,-7850.76,-5619.61,-5621.07,-8775.34,-6265.52,-7165.2,-6011.7,-7075.3,-7847.41,-7078.89,-7057.31,-7793.32,-7078.89,-794.34,-1187.01,-795.0,-791.88,-1183.33,-795.0,-792.01,-1184.68,-795.0,-7069.31,-7078.89,-7845.36,-7078.87,-7078.89,-7850.76,-7014.01,-7014.1,-8775.34,-6787.12,-7165.2,-6098.24,-7071.12,-7847.41,-7074.16,-7058.59,-7793.32,-7074.16,-918.25,-1187.01,-919.69,-914.78,-1183.33,-919.69,-917.9,-1184.68,-919.69,-7070.25,-7845.36,-7074.16,-7074.02,-7850.76,-7074.16,-7866.66,-7867.23,-8775.34
PublicGood,EndogPublicGoods,betaw,,0.1,,0.1,0.1,,0.09,0.1,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.1,0.1,,0.1,0.1,,0.1,0.1,,,0.09,,0.09,0.09,,0.09,0.09,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.09,0.09,,0.09,0.09,,0.09,0.09,,,0.26,,0.24,0.24,,0.23,0.24,,0.15,0.15,,0.15,0.15,,0.15,0.15,,0.24,0.24,,0.24,0.24,,0.24,0.25,,,0.1,,0.1,0.1,,0.1,0.1,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.1,0.1,,0.1,0.1,,0.11,0.11,,,0.1,,0.1,0.1,,0.09,0.1,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.1,0.1,,0.1,0.1,,0.1,0.1,,,,-0.04,-0.04,,-0.04,-0.04,-0.04,,-0.07,-0.07,,-0.07,-0.07,,-0.07,-0.07,,-0.04,-0.04,,-0.04,-0.04,,-0.04,-0.04,,,,0.14,0.14,,0.14,0.14,,0.14,0.08,,0.08,0.08,,0.08,0.08,,0.08,0.14,0.14,,0.14,0.14,,0.14,0.15,,,,0.41,0.33,,0.33,0.31,,0.33,0.11,,0.11,0.11,,0.11,0.12,,0.11,0.32,,0.33,0.32,,0.33,0.36,0.36,
PublicGood,EndogPublicGoods,betap,0.07,,0.04,0.1,,0.12,-0.19,,-0.19,0.08,,0.11,0.09,,0.12,0.1,,0.11,0.01,,0.06,-0.06,,-0.08,0.0,,0.0,0.03,,0.04,0.09,,0.12,-0.17,,-0.19,0.18,,0.11,0.11,,0.12,-0.11,,0.11,0.02,,0.06,-0.08,,-0.08,0.0,,0.0,0.05,,0.04,0.09,,0.12,-0.14,,-0.19,0.1,,0.11,0.09,,0.12,0.09,,0.11,0.01,,0.06,-0.05,,-0.08,0.0,,0.0,0.04,,0.04,0.11,,0.12,-0.17,,-0.19,0.11,,0.11,0.13,,0.12,0.12,,0.11,0.04,,0.06,-0.08,,-0.08,0.0,,0.0,0.05,,0.04,0.1,,0.12,-0.14,,-0.19,0.13,,0.11,0.14,,0.12,0.1,,0.11,0.02,,0.06,-0.05,,-0.08,0.0,,0.0,0.03,0.04,,0.1,0.12,,-0.19,,-0.19,0.26,,0.11,0.17,,0.12,-0.06,,0.11,0.04,,0.06,-0.1,,-0.08,0.0,,0.0,0.05,0.04,,0.08,0.12,,-0.18,-0.19,,0.09,0.11,,0.11,0.12,,0.1,0.11,,0.02,,0.06,-0.06,,-0.08,0.0,,0.0,0.01,0.04,,0.11,0.12,,-0.11,-0.19,,0.09,0.11,,0.11,0.12,,0.12,0.11,,0.04,0.06,,-0.05,-0.08,,0.0,,0.0
PublicGood,EndogPublicGoods,tstatw,,6.72,,7.38,7.3,,7.59,7.3,,3.16,3.16,,3.18,3.16,,3.21,3.16,,7.35,7.3,,7.33,7.3,,7.44,7.4,,,5.52,,6.16,6.15,,6.07,6.15,,2.24,2.29,,2.28,2.29,,2.28,2.29,,6.18,6.15,,6.1,6.15,,6.31,6.34,,,7.68,,8.05,7.96,,7.77,7.96,,4.33,4.32,,4.28,4.32,,4.29,4.32,,7.98,7.96,,7.93,7.96,,8.11,8.32,,,4.59,,5.11,5.09,,4.95,5.09,,2.44,2.36,,2.46,2.36,,2.46,2.36,,5.11,5.09,,5.06,5.09,,5.41,5.39,,,6.21,,6.86,6.82,,7.17,6.82,,2.57,2.58,,2.6,2.58,,2.58,2.58,,6.87,6.82,,6.89,6.82,,6.99,7.03,,,,-2.1,-2.21,,-2.27,-2.32,-2.27,,-2.55,-2.46,,-2.48,-2.46,,-2.44,-2.46,,-2.27,-2.27,,-2.31,-2.27,,-2.12,-2.25,,,,6.75,7.61,,7.59,7.5,,7.59,4.65,,4.6,4.66,,4.6,4.67,,4.6,7.61,7.59,,7.56,7.59,,7.67,7.71,,,,7.17,5.7,,5.67,6.12,,5.67,4.35,,4.42,4.41,,4.42,4.46,,4.42,5.68,,5.67,5.74,,5.67,6.51,6.57,
PublicGood,EndogPublicGoods,tstatp,2.33,,1.69,1.84,,1.7,-1.53,,-1.41,1.26,,2.01,0.75,,1.15,1.39,,1.66,0.34,,1.18,-0.75,,-1.05,2.17,,2.63,1.22,,1.69,1.48,,1.7,-1.17,,-1.41,1.1,,2.01,0.42,,1.15,-0.69,,1.66,0.56,,1.18,-0.9,,-1.05,1.91,,2.63,1.81,,1.69,1.88,,1.7,-1.12,,-1.41,1.83,,2.01,0.89,,1.15,1.43,,1.66,0.38,,1.18,-0.68,,-1.05,1.87,,2.63,1.69,,1.69,1.8,,1.7,-1.22,,-1.41,2.15,,2.01,1.36,,1.15,1.84,,1.66,1.0,,1.18,-0.99,,-1.05,2.76,,2.63,1.88,,1.69,1.78,,1.7,-1.13,,-1.41,1.8,,2.01,0.97,,1.15,1.04,,1.66,0.6,,1.18,-0.74,,-1.05,2.42,,2.63,1.37,1.69,,1.56,1.7,,-1.42,,-1.41,1.66,,2.01,0.51,,1.15,-0.31,,1.66,0.8,,1.18,-1.03,,-1.05,1.46,,2.63,1.96,1.69,,1.35,1.7,,-1.3,-1.41,,1.4,2.01,,1.01,1.15,,1.52,1.66,,0.52,,1.18,-0.71,,-1.05,1.67,,2.63,0.35,1.69,,2.1,1.7,,-0.94,-1.41,,1.66,2.01,,1.11,1.15,,1.88,1.66,,1.06,1.18,,-0.73,-1.05,,2.59,,2.63
