Outcome,OutcomeCategory,Stat,W4,W4+p1,W4+p1/W4,W4+p1/p1,W4+p2,W4+p2/W4,W4+p2/p2,W4+p3,W4+p3/W4,W4+p3/p3,W4+p4,W4+p4/W4,W4+p4/p4,W4+p5,W4+p5/W4,W4+p5/p5,W4+p6,W4+p6/W4,W4+p6/p6,p1,p2,p3,p4,p5,p6
Torture,Abuse,betap,,-0.1,,-0.12,-0.01,,-0.04,-0.19,,-0.36,-0.01,,-0.04,0.02,,0.02,0.02,,0.02,-0.12,-0.04,-0.36,-0.04,0.02,0.02
Torture,Abuse,tstatw,-15.31,-6.88,-6.87,,-15.48,-15.62,,-6.82,-6.87,,-15.47,-15.62,,-6.88,-6.87,,-6.89,-6.87,,,,,,,
Torture,Abuse,tstatp,,-0.49,,-0.5,-0.96,,-2.04,-1.17,,-1.77,-0.96,,-2.06,0.64,,0.75,0.6,,0.66,-0.5,-2.04,-1.77,-2.06,0.75,0.66
Torture,Abuse,AIC,17516.41,2365.79,2364.99,3180.99,15498.83,15514.2,20488.36,2361.48,2364.99,3166.91,15498.87,15514.2,20486.32,2353.7,2354.16,3163.8,2353.98,2354.16,3164.57,3180.99,20488.36,3166.91,20486.32,3163.8,3164.57
Torture,Abuse,BIC,17966.66,2512.06,2505.17,3321.17,15951.37,15959.68,20933.85,2507.75,2505.17,3307.1,15951.41,15959.68,20931.81,2499.67,2494.06,3303.7,2499.95,2494.06,3304.47,3321.17,20933.85,3307.1,20931.81,3303.7,3304.47
Torture,Abuse,loglike,-8694.78,-1158.71,-1159.33,-1567.33,-7684.94,-7693.64,-10180.72,-1156.56,-1159.33,-1560.29,-7684.96,-7693.64,-10179.7,-1152.67,-1153.91,-1558.73,-1152.8,-1153.91,-1559.12,-1567.33,-10180.72,-1560.29,-10179.7,-1558.73,-1559.12
AcademicFreedom,EndogPublicEducation,betaw,0.94,0.8,0.8,,0.95,0.96,,0.79,0.8,,0.95,0.96,,0.79,0.8,,0.79,0.8,,,,,,,
AcademicFreedom,EndogPublicEducation,betap,,0.03,,0.03,0.0,,0.01,0.07,,0.09,0.0,,0.01,-0.0,,-0.01,-0.0,,-0.01,0.03,0.01,0.09,0.01,-0.01,-0.01
AcademicFreedom,EndogPublicEducation,tstatw,19.16,8.84,8.82,,18.89,18.99,,8.78,8.82,,18.88,18.99,,8.84,8.82,,8.84,8.82,,,,,,,
AcademicFreedom,EndogPublicEducation,tstatp,,0.91,,0.59,0.87,,2.11,2.32,,2.38,0.88,,2.14,-0.76,,-1.09,-0.67,,-0.97,0.59,2.11,2.38,2.14,-1.09,-0.97
AcademicFreedom,EndogPublicEducation,AIC,-17437.64,-11085.16,-11078.23,-9398.51,-16837.94,-16825.83,-8967.01,-11115.5,-11078.23,-9436.24,-16837.93,-16825.83,-8969.73,-10912.42,-10908.44,-9256.81,-10911.17,-10908.44,-9254.23,-9398.51,-8967.01,-9436.24,-8969.73,-9256.81,-9254.23
AcademicFreedom,EndogPublicEducation,BIC,-16991.28,-10939.06,-10938.21,-9258.48,-16387.43,-16382.34,-8523.53,-10969.4,-10938.21,-9296.22,-16387.42,-16382.34,-8526.25,-10766.62,-10768.7,-9117.07,-10765.37,-10768.7,-9114.49,-9258.48,-8523.53,-9296.22,-8526.25,-9117.07,-9114.49
AcademicFreedom,EndogPublicEducation,loglike,8782.27,5566.76,5562.28,4722.42,8483.46,8476.39,4546.98,5581.93,5562.28,4741.29,8483.45,8476.39,4548.34,5480.4,5477.39,4651.57,5479.77,5477.39,4650.29,4722.42,4546.98,4741.29,4548.34,4651.57,4650.29
CampusFree,EndogPublicEducation,betaw,4.16,3.76,3.76,,4.17,4.2,,3.74,3.76,,4.17,4.2,,3.75,3.76,,3.75,3.76,,,,,,,
CampusFree,EndogPublicEducation,betap,,0.16,,0.13,0.01,,0.04,0.31,,0.42,0.01,,0.04,-0.01,,-0.03,-0.02,,-0.03,0.13,0.04,0.42,0.04,-0.03,-0.03
CampusFree,EndogPublicEducation,tstatw,15.5,7.32,7.31,,15.17,15.31,,7.32,7.31,,15.16,15.31,,7.29,7.3,,7.29,7.3,,,,,,,
CampusFree,EndogPublicEducation,tstatp,,0.81,,0.6,1.02,,2.11,1.75,,2.03,1.01,,2.14,-0.63,,-0.98,-0.55,,-0.88,0.6,2.11,2.03,2.14,-0.98,-0.88
CampusFree,EndogPublicEducation,AIC,13468.36,347.73,351.98,1611.34,12805.45,12826.73,18163.63,327.45,351.98,1582.19,12806.01,12826.73,18162.07,364.33,366.08,1608.21,365.16,366.08,1610.2,1611.34,18163.63,1582.19,18162.07,1608.21,1610.2
CampusFree,EndogPublicEducation,BIC,13913.95,493.83,492.0,1751.37,13255.18,13269.44,18606.35,473.54,492.0,1722.21,13255.74,13269.44,18604.79,510.13,505.82,1747.95,510.95,505.82,1749.94,1751.37,18606.35,1722.21,18604.79,1747.95,1749.94
CampusFree,EndogPublicEducation,loglike,-6670.72,-149.68,-152.82,-782.5,-6338.23,-6349.88,-9018.33,-139.54,-152.82,-767.93,-6338.51,-6349.88,-9017.55,-157.98,-159.87,-780.94,-158.39,-159.87,-781.93,-782.5,-9018.33,-767.93,-9017.55,-780.94,-781.93
SecondarySchool,EndogPublicEducation,betaw,-9.39,-7.19,-6.66,,-12.66,-10.54,,-7.71,-6.66,,-12.7,-10.54,,-6.19,-6.86,,-6.26,-6.86,,,,,,,
SecondarySchool,EndogPublicEducation,betap,,11.86,,11.71,1.15,,1.07,14.19,,13.94,1.16,,1.08,3.08,,3.08,4.13,,4.14,11.71,1.07,13.94,1.08,3.08,4.14
SecondarySchool,EndogPublicEducation,tstatw,-2.15,-0.6,-0.55,,-3.04,-2.6,,-0.65,-0.55,,-3.05,-2.6,,-0.61,-0.56,,-0.62,-0.56,,,,,,,
SecondarySchool,EndogPublicEducation,tstatp,,1.92,,1.92,3.74,,3.33,2.52,,2.55,3.77,,3.35,3.51,,3.5,3.55,,3.54,1.92,3.33,2.55,3.35,3.5,3.54
SecondarySchool,EndogPublicEducation,AIC,40408.83,14968.48,14997.45,14971.96,38291.87,38605.11,38431.47,14949.61,14997.45,14953.96,38286.62,38605.11,38427.33,14664.84,14836.95,14667.13,14662.04,14836.95,14664.45,14971.96,38431.47,14953.96,38427.33,14667.13,14664.45
SecondarySchool,EndogPublicEducation,BIC,40759.02,15105.77,15129.04,15103.55,38646.68,38953.37,38779.73,15086.9,15129.04,15085.55,38641.43,38953.37,38775.59,14801.85,14968.28,14798.46,14799.05,14968.28,14795.78,15103.55,38779.73,15085.55,38775.59,14798.46,14795.78
SecondarySchool,EndogPublicEducation,loglike,-20150.9,-7459.98,-7475.48,-7462.74,-19091.38,-19249.02,-19162.2,-7450.54,-7475.48,-7453.74,-19088.75,-19249.02,-19160.13,-7308.15,-7395.23,-7310.32,-7306.75,-7395.23,-7308.98,-7462.74,-19162.2,-7453.74,-19160.13,-7310.32,-7308.98
EliteWantCommonGood,EndogPublicGoods,betaw,1.9,2.45,2.45,,1.75,1.78,,2.45,2.45,,1.75,1.78,,2.45,2.45,,2.45,2.45,,,,,,,
EliteWantCommonGood,EndogPublicGoods,betap,,-0.16,,-0.15,0.02,,0.03,-0.01,,0.1,0.02,,0.03,-0.01,,-0.02,-0.01,,-0.02,-0.15,0.03,0.1,0.03,-0.02,-0.02
EliteWantCommonGood,EndogPublicGoods,tstatw,6.52,4.59,4.62,,6.02,6.11,,4.64,4.62,,6.01,6.11,,4.62,4.63,,4.62,4.63,,,,,,,
EliteWantCommonGood,EndogPublicGoods,tstatp,,-0.87,,-0.71,1.33,,1.93,-0.06,,0.47,1.37,,1.97,-0.5,,-0.57,-0.45,,-0.49,-0.71,1.93,0.47,1.97,-0.57,-0.49
EliteWantCommonGood,EndogPublicGoods,AIC,16922.78,2414.86,2416.25,2784.85,13584.52,13621.43,14849.74,2418.27,2416.25,2786.02,13582.47,13621.43,14845.7,2313.82,2313.41,2691.06,2314.11,2313.41,2691.67,2784.85,14849.74,2786.02,14845.7,2691.06,2691.67
EliteWantCommonGood,EndogPublicGoods,BIC,17373.04,2561.13,2556.44,2925.03,14037.06,14066.92,15295.22,2564.53,2556.44,2926.21,14035.01,14066.92,15291.19,2459.79,2453.31,2830.96,2460.08,2453.31,2831.57,2925.03,15295.22,2926.21,15291.19,2830.96,2831.57
EliteWantCommonGood,EndogPublicGoods,loglike,-8397.97,-1183.25,-1184.96,-1369.26,-6727.79,-6747.26,-7361.41,-1184.95,-1184.96,-1369.85,-6726.76,-6747.26,-7359.39,-1132.73,-1133.54,-1322.36,-1132.87,-1133.54,-1322.66,-1369.26,-7361.41,-1369.85,-7359.39,-1322.36,-1322.66
GoodsRatio,EndogPublicGoods,betaw,0.11,0.13,0.13,,0.11,0.11,,0.13,0.13,,0.11,0.11,,0.13,0.13,,0.13,0.13,,,,,,,
GoodsRatio,EndogPublicGoods,betap,,0.01,,0.01,0.0,,0.0,0.01,,0.02,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.01,0.0,0.02,0.0,0.0,0.0
GoodsRatio,EndogPublicGoods,tstatw,4.3,4.58,4.57,,4.13,4.22,,4.49,4.57,,4.12,4.22,,4.57,4.58,,4.57,4.58,,,,,,,
GoodsRatio,EndogPublicGoods,tstatp,,0.75,,0.74,1.48,,1.95,1.37,,1.8,1.51,,1.99,1.07,,0.88,1.12,,0.97,0.74,1.95,1.8,1.99,0.88,0.97
GoodsRatio,EndogPublicGoods,AIC,-29522.84,-16999.72,-16998.0,-16636.98,-29205.55,-29164.58,-28575.35,-17007.37,-16998.0,-16653.09,-29207.33,-29164.58,-28578.45,-16764.03,-16759.22,-16402.01,-16764.67,-16759.22,-16402.96,-16636.98,-28575.35,-16653.09,-28578.45,-16402.01,-16402.96
GoodsRatio,EndogPublicGoods,BIC,-29073.15,-16853.45,-16857.81,-16496.8,-28753.07,-28719.16,-28129.93,-16861.1,-16857.81,-16512.91,-28754.85,-28719.16,-28133.03,-16618.06,-16619.32,-16262.1,-16618.7,-16619.32,-16263.06,-16496.8,-28129.93,-16512.91,-28133.03,-16262.1,-16263.06
GoodsRatio,EndogPublicGoods,loglike,14824.85,8524.04,8522.17,8341.66,14667.25,14645.75,14351.13,8527.87,8522.17,8349.71,14668.14,14645.75,14352.68,8406.2,8402.78,8224.17,8406.52,8402.78,8224.65,8341.66,14351.13,8349.71,14352.68,8224.17,8224.65
PrivateorPublicGoods,EndogPublicGoods,betaw,0.98,2.57,2.57,,0.96,0.95,,2.57,2.57,,0.96,0.95,,2.57,2.57,,2.57,2.57,,,,,,,
PrivateorPublicGoods,EndogPublicGoods,betap,,-0.06,,-0.05,-0.0,,0.0,0.02,,0.13,-0.0,,0.0,-0.02,,-0.02,-0.03,,-0.03,-0.05,0.0,0.13,0.0,-0.02,-0.03
PrivateorPublicGoods,EndogPublicGoods,tstatw,2.98,5.6,5.61,,2.85,2.82,,5.63,5.61,,2.85,2.82,,5.61,5.61,,5.61,5.61,,,,,,,
PrivateorPublicGoods,EndogPublicGoods,tstatp,,-0.34,,-0.26,-0.22,,0.27,0.09,,0.68,-0.22,,0.28,-0.89,,-0.97,-0.86,,-0.9,-0.26,0.27,0.68,0.28,-0.97,-0.9
PrivateorPublicGoods,EndogPublicGoods,AIC,17849.46,1936.18,1934.77,2401.61,15332.0,15330.69,15658.12,1936.75,1934.77,2399.24,15331.99,15330.69,15658.05,1751.86,1754.8,2237.42,1752.27,1754.8,2238.36,2401.61,15658.12,2399.24,15658.05,2237.42,2238.36
PrivateorPublicGoods,EndogPublicGoods,BIC,18299.72,2082.45,2074.95,2541.79,15784.54,15776.18,16103.6,2083.02,2074.95,2539.43,15784.54,15776.18,16103.54,1897.83,1894.7,2377.32,1898.24,1894.7,2378.26,2541.79,16103.6,2539.43,16103.54,2377.32,2378.26
