Outcome,OutcomeCategory,Stat,W4,W4+p1,W4+p1/W4,W4+p1/p1,W4+p2,W4+p2/W4,W4+p2/p2,W4+p3,W4+p3/W4,W4+p3/p3,W4+p4,W4+p4/W4,W4+p4/p4,W4+p5,W4+p5/W4,W4+p5/p5,W4+p6,W4+p6/W4,W4+p6/p6,p1,p2,p3,p4,p5,p6
PolRights,Freedoms,AIC,16815.87,4826.6,4832.1,5901.05,16077.39,16108.04,21121.05,4829.65,4832.1,5892.54,16077.36,16108.04,21120.56,4732.67,4730.73,5814.82,4732.66,4730.73,5815.04,5901.05,21121.05,5892.54,21120.56,5814.82,5815.04
PolRights,Freedoms,BIC,17161.11,4972.86,4972.29,6041.23,16427.94,16451.73,21464.74,4975.92,4972.29,6032.72,16427.91,16451.73,21464.25,4878.64,4870.64,5954.72,4878.63,4870.64,5954.94,6041.23,21464.74,6032.72,21464.25,5954.72,5954.94
PolRights,Freedoms,loglike,-8357.59,-2389.12,-2392.88,-2927.36,-7987.33,-8003.67,-10510.17,-2390.65,-2392.88,-2923.1,-7987.31,-8003.67,-10509.93,-2342.15,-2342.2,-2884.24,-2342.15,-2342.2,-2884.35,-2927.36,-10510.17,-2923.1,-10509.93,-2884.24,-2884.35
PropertyRights,Freedoms,betaw,0.49,0.19,0.19,,0.48,0.48,,0.18,0.19,,0.48,0.48,,0.19,0.19,,0.19,0.19,,,,,,,
PropertyRights,Freedoms,betap,,0.0,,0.0,0.0,,0.0,0.02,,0.03,0.0,,0.01,0.0,,0.0,0.0,,0.0,0.0,0.0,0.03,0.01,0.0,0.0
PropertyRights,Freedoms,tstatw,7.66,2.49,2.49,,7.14,7.17,,2.48,2.49,,7.13,7.17,,2.49,2.49,,2.48,2.49,,,,,,,
PropertyRights,Freedoms,tstatp,,0.01,,0.05,1.18,,2.09,0.73,,1.08,1.2,,2.12,0.26,,0.16,0.34,,0.26,0.05,2.09,1.08,2.12,0.16,0.26
PropertyRights,Freedoms,AIC,-16783.81,-12132.66,-12134.68,-11959.0,-16663.51,-16638.02,-13982.33,-12137.13,-12134.68,-11967.74,-16664.05,-16638.02,-13984.81,-11952.39,-11953.97,-11780.32,-11952.67,-11953.97,-11780.59,-11959.0,-13982.33,-11967.74,-13984.81,-11780.32,-11780.59
PropertyRights,Freedoms,BIC,-16333.56,-11986.39,-11994.5,-11818.82,-16210.97,-16192.53,-13536.84,-11990.86,-11994.5,-11827.55,-16211.51,-16192.53,-13539.33,-11806.42,-11814.06,-11640.41,-11806.7,-11814.06,-11640.69,-11818.82,-13536.84,-11827.55,-13539.33,-11640.41,-11640.69
PropertyRights,Freedoms,loglike,8455.33,6090.51,6090.51,6002.67,8396.23,8382.47,7054.62,6092.75,6090.51,6007.04,8396.5,8382.47,7055.87,6000.38,6000.15,5913.33,6000.52,6000.15,5913.46,6002.67,7054.62,6007.04,7055.87,5913.33,5913.46
ReligiousFreedom,Freedoms,betaw,2.98,1.64,1.63,,2.98,3.03,,1.64,1.63,,2.97,3.03,,1.64,1.64,,1.64,1.64,,,,,,,
ReligiousFreedom,Freedoms,betap,,-0.16,,-0.15,0.03,,0.04,-0.04,,0.04,0.03,,0.04,0.02,,0.01,0.02,,0.02,-0.15,0.04,0.04,0.04,0.01,0.02
ReligiousFreedom,Freedoms,tstatw,9.32,3.42,3.42,,8.88,8.97,,3.41,3.42,,8.87,8.97,,3.4,3.41,,3.4,3.41,,,,,,,
ReligiousFreedom,Freedoms,tstatp,,-1.13,,-0.99,2.15,,2.91,-0.23,,0.23,2.17,,2.96,0.73,,0.63,0.78,,0.72,-0.99,2.91,0.23,2.96,0.63,0.72
ReligiousFreedom,Freedoms,AIC,15506.09,1006.89,1010.1,1263.35,13273.55,13402.07,16614.94,1011.84,1010.1,1267.32,13272.13,13402.07,16610.57,1028.93,1030.8,1283.26,1028.4,1030.8,1282.55,1263.35,16614.94,1267.32,16610.57,1283.26,1282.55
ReligiousFreedom,Freedoms,BIC,15956.34,1153.16,1150.28,1403.53,13726.09,13847.55,17060.43,1158.11,1150.28,1407.51,13724.67,13847.55,17056.06,1174.9,1170.71,1423.17,1174.37,1170.71,1422.45,1403.53,17060.43,1407.51,17056.06,1423.17,1422.45
ReligiousFreedom,Freedoms,loglike,-7689.62,-479.26,-481.88,-608.51,-6572.3,-6637.57,-8244.01,-481.74,-481.88,-610.49,-6571.59,-6637.57,-8241.83,-490.28,-492.23,-618.46,-490.02,-492.23,-618.11,-608.51,-8244.01,-610.49,-8241.83,-618.46,-618.11
RespectConstitution,Freedoms,betaw,3.64,4.94,4.94,,3.76,3.75,,4.93,4.94,,3.77,3.75,,4.95,4.96,,4.95,4.96,,,,,,,
RespectConstitution,Freedoms,betap,,0.08,,0.11,-0.01,,0.01,0.17,,0.39,-0.01,,0.01,-0.02,,-0.02,-0.02,,-0.03,0.11,0.01,0.39,0.01,-0.02,-0.03
RespectConstitution,Freedoms,tstatw,11.67,7.27,7.27,,11.52,11.53,,7.22,7.27,,11.52,11.53,,7.29,7.28,,7.29,7.28,,,,,,,
RespectConstitution,Freedoms,tstatp,,0.49,,0.5,-0.77,,0.84,1.05,,1.56,-0.77,,0.86,-0.77,,-0.97,-0.71,,-0.84,0.5,0.84,1.56,0.86,-0.97,-0.84
RespectConstitution,Freedoms,AIC,15956.37,1317.86,1317.09,3024.67,13964.77,13973.44,18550.69,1313.16,1317.09,3006.56,13964.67,13973.44,18549.97,1246.55,1248.52,2974.86,1247.15,1248.52,2976.13,3024.67,18550.69,3006.56,18549.97,2974.86,2976.13
RespectConstitution,Freedoms,BIC,16406.35,1464.13,1457.28,3164.86,14417.31,14418.93,18996.18,1459.43,1457.28,3146.74,14417.22,14418.93,18995.46,1392.52,1388.42,3114.76,1393.12,1388.42,3116.03,3164.86,18996.18,3146.74,18995.46,3114.76,3116.03
RespectConstitution,Freedoms,loglike,-7914.76,-634.75,-635.38,-1489.17,-6917.91,-6923.26,-9211.89,-632.4,-635.38,-1480.11,-6917.86,-6923.26,-9211.52,-599.09,-601.09,-1464.26,-599.39,-601.09,-1464.89,-1489.17,-9211.89,-1480.11,-9211.52,-1464.26,-1464.89
RuleofLaw,Freedoms,betaw,0.53,0.74,0.74,,0.53,0.53,,0.74,0.74,,0.53,0.53,,0.74,0.74,,0.74,0.74,,,,,,,
RuleofLaw,Freedoms,betap,,0.01,,0.02,0.0,,0.0,0.0,,0.04,0.0,,0.0,-0.0,,-0.0,-0.0,,-0.0,0.02,0.0,0.04,0.0,-0.0,-0.0
RuleofLaw,Freedoms,tstatw,11.62,5.93,5.93,,11.42,11.46,,5.9,5.93,,11.42,11.46,,5.94,5.94,,5.95,5.94,,,,,,,
RuleofLaw,Freedoms,tstatp,,0.36,,0.39,0.04,,1.13,0.14,,0.95,0.05,,1.16,-0.75,,-0.86,-0.76,,-0.79,0.39,1.13,0.95,1.16,-0.86,-0.79
RuleofLaw,Freedoms,AIC,-17837.51,-10286.64,-10287.81,-8961.78,-17748.99,-17750.98,-14254.33,-10285.94,-10287.81,-8967.56,-17749.03,-17750.98,-14256.16,-10143.1,-10142.0,-8826.74,-10143.11,-10142.0,-8826.08,-8961.78,-14254.33,-8967.56,-14256.16,-8826.74,-8826.08
RuleofLaw,Freedoms,BIC,-17387.37,-10140.37,-10147.62,-8821.6,-17296.45,-17305.49,-13808.85,-10139.68,-10147.62,-8827.38,-17296.48,-17305.49,-13810.67,-9997.13,-10002.1,-8686.83,-9997.14,-10002.1,-8686.18,-8821.6,-13808.85,-8827.38,-13810.67,-8686.83,-8686.18
RuleofLaw,Freedoms,loglike,8982.18,5167.5,5167.07,4504.06,8938.97,8938.95,7190.63,5167.15,5167.07,4506.95,8938.99,8938.95,7191.54,5095.73,5094.17,4436.54,5095.74,5094.17,4436.21,4504.06,7190.63,4506.95,7191.54,4436.54,4436.21
JudgeCorrupt,KeyCorruptions,betaw,-0.41,-0.87,-0.87,,-0.41,-0.4,,-0.85,-0.87,,-0.41,-0.4,,-0.87,-0.87,,-0.87,-0.87,,,,,,,
JudgeCorrupt,KeyCorruptions,betap,,-0.23,,-0.23,0.0,,0.0,-0.25,,-0.29,0.0,,0.0,0.01,,0.01,0.01,,0.01,-0.23,0.0,-0.29,0.0,0.01,0.01
JudgeCorrupt,KeyCorruptions,tstatw,-1.46,-2.57,-2.56,,-1.4,-1.37,,-2.51,-2.56,,-1.4,-1.37,,-2.56,-2.56,,-2.57,-2.56,,,,,,,
JudgeCorrupt,KeyCorruptions,tstatp,,-1.14,,-1.19,0.28,,0.08,-1.35,,-1.56,0.26,,0.05,0.47,,0.55,0.44,,0.5,-1.19,0.08,-1.56,0.05,0.55,0.5
JudgeCorrupt,KeyCorruptions,AIC,13345.63,368.27,378.79,456.68,11550.19,11550.11,11639.95,364.08,378.79,447.5,11550.55,11550.11,11640.05,395.72,394.92,483.65,395.85,394.92,483.91,456.68,11639.95,447.5,11640.05,483.65,483.91
JudgeCorrupt,KeyCorruptions,BIC,13795.47,514.5,518.94,596.83,12002.49,11995.35,12085.19,510.31,518.94,587.65,12002.84,11995.35,12085.28,541.66,534.79,623.51,541.78,534.79,623.77,596.83,12085.19,587.65,12085.28,623.51,623.77
JudgeCorrupt,KeyCorruptions,loglike,-6609.39,-159.95,-166.23,-205.17,-5710.62,-5711.59,-5756.51,-157.86,-166.23,-200.58,-5710.8,-5711.59,-5756.56,-173.68,-174.29,-218.65,-173.74,-174.29,-218.78,-205.17,-5756.51,-200.58,-5756.56,-218.65,-218.78
StateOwnsEconomy,KeyCorruptions,betaw,-2.32,-1.67,-1.67,,-2.4,-2.38,,-1.67,-1.67,,-2.4,-2.38,,-1.66,-1.67,,-1.66,-1.67,,,,,,,
StateOwnsEconomy,KeyCorruptions,betap,,0.04,,0.03,0.01,,-0.0,0.06,,-0.02,0.01,,-0.0,0.01,,0.01,0.02,,0.02,0.03,-0.0,-0.02,-0.0,0.01,0.02
StateOwnsEconomy,KeyCorruptions,tstatw,-6.23,-3.33,-3.33,,-6.24,-6.15,,-3.34,-3.33,,-6.24,-6.15,,-3.33,-3.33,,-3.33,-3.33,,,,,,,
StateOwnsEconomy,KeyCorruptions,tstatp,,0.38,,0.25,0.8,,-0.24,0.5,,-0.15,0.81,,-0.24,0.63,,0.74,0.63,,0.7,0.25,-0.24,-0.15,-0.24,0.74,0.7
StateOwnsEconomy,KeyCorruptions,AIC,18087.7,-256.2,-257.68,126.39,15759.15,15769.34,17557.21,-256.68,-257.68,126.56,15758.92,15769.34,17557.12,-217.88,-216.98,158.99,-217.89,-216.98,159.36,126.39,17557.21,126.56,17557.12,158.99,159.36
StateOwnsEconomy,KeyCorruptions,BIC,18537.96,-109.93,-117.5,266.58,16211.69,16214.82,18002.7,-110.42,-117.5,266.75,16211.46,16214.82,18002.61,-71.91,-77.08,298.9,-71.92,-77.08,299.26,266.58,18002.7,266.75,18002.61,298.9,299.26
StateOwnsEconomy,KeyCorruptions,loglike,-8980.42,152.28,152.01,-40.03,-7815.1,-7821.21,-8715.15,152.52,152.01,-40.11,-7814.98,-7821.21,-8715.1,133.12,131.66,-56.33,133.13,131.66,-56.51,-40.03,-8715.15,-40.11,-8715.1,-56.33,-56.51
FreeExpression,KeyPublicGoods,betaw,1.11,1.16,1.16,,1.12,1.13,,1.15,1.16,,1.12,1.13,,1.16,1.16,,1.16,1.16,,,,,,,
FreeExpression,KeyPublicGoods,betap,,0.04,,0.05,0.0,,0.01,0.05,,0.1,0.0,,0.01,-0.0,,-0.01,-0.0,,-0.01,0.05,0.01,0.1,0.01,-0.01,-0.01
FreeExpression,KeyPublicGoods,tstatw,26.8,11.24,11.21,,26.59,26.9,,11.17,11.21,,26.58,26.9,,11.23,11.19,,11.23,11.19,,,,,,,
FreeExpression,KeyPublicGoods,tstatp,,0.77,,0.77,1.44,,2.52,1.04,,1.93,1.43,,2.55,-0.77,,-0.82,-0.74,,-0.72,0.77,2.52,1.93,2.55,-0.82,-0.72
FreeExpression,KeyPublicGoods,AIC,-16851.8,-9355.51,-9349.94,-7202.81,-16604.41,-16562.88,-7098.8,-9360.97,-9349.94,-7226.24,-16603.77,-16562.88,-7101.35,-9210.47,-9207.43,-7082.32,-9210.05,-9207.43,-7081.11,-7202.81,-7098.8,-7226.24,-7101.35,-7082.32,-7081.11
FreeExpression,KeyPublicGoods,BIC,-16401.55,-9209.25,-9209.76,-7062.63,-16151.87,-16117.39,-6653.31,-9214.7,-9209.76,-7086.06,-16151.23,-16117.39,-6655.86,-9064.5,-9067.52,-6942.42,-9064.08,-9067.52,-6941.21,-7062.63,-6653.31,-7086.06,-6655.86,-6942.42,-6941.21
FreeExpression,KeyPublicGoods,loglike,8489.33,4701.94,4698.14,3624.57,8366.68,8344.9,3612.86,4704.67,4698.14,3636.29,8366.36,8344.9,3614.13,4629.42,4626.88,3564.33,4629.21,4626.88,3563.72,3624.57,3612.86,3636.29,3614.13,3564.33,3563.72
JudicialIndep,KeyPublicGoods,betaw,2.77,3.87,3.87,,2.87,2.91,,3.89,3.87,,2.87,2.91,,3.87,3.87,,3.87,3.87,,,,,,,
JudicialIndep,KeyPublicGoods,betap,,-0.14,,-0.12,0.02,,0.03,-0.18,,-0.0,0.02,,0.03,-0.01,,-0.01,-0.01,,-0.02,-0.12,0.03,-0.0,0.03,-0.01,-0.02
JudicialIndep,KeyPublicGoods,tstatw,10.56,9.83,9.83,,10.66,10.85,,9.83,9.83,,10.66,10.85,,9.85,9.83,,9.85,9.83,,,,,,,
JudicialIndep,KeyPublicGoods,tstatp,,-0.97,,-0.63,1.53,,2.57,-1.32,,-0.0,1.52,,2.58,-0.29,,-0.4,-0.31,,-0.37,-0.63,2.57,-0.0,2.58,-0.4,-0.37
JudicialIndep,KeyPublicGoods,AIC,15375.72,2084.94,2085.71,3022.66,13293.78,13337.37,16423.42,2082.49,2085.71,3024.17,13294.57,13337.37,16422.48,2052.76,2051.63,2991.2,2052.65,2051.63,2991.46,3022.66,16423.42,3024.17,16422.48,2991.2,2991.46
JudicialIndep,KeyPublicGoods,BIC,15825.68,2231.19,2225.88,3162.83,13746.1,13782.63,16868.68,2228.74,2225.88,3164.34,13746.88,13782.63,16867.74,2198.71,2191.52,3131.08,2198.61,2191.52,3131.34,3162.83,16868.68,3164.34,16867.74,3131.08,3131.34
JudicialIndep,KeyPublicGoods,loglike,-7624.43,-1018.29,-1019.69,-1488.16,-6582.42,-6605.23,-8148.25,-1017.06,-1019.69,-1488.92,-6582.81,-6605.23,-8147.78,-1002.19,-1002.64,-1472.43,-1002.14,-1002.64,-1472.56,-1488.16,-8148.25,-1488.92,-8147.78,-1472.43,-1472.56
TransparentLaws,KeyPublicGoods,betaw,3.12,2.98,2.98,,3.17,3.15,,2.97,2.98,,3.17,3.15,,2.98,2.98,,2.98,2.98,,,,,,,
TransparentLaws,KeyPublicGoods,betap,,0.03,,0.04,-0.01,,0.01,0.11,,0.25,-0.01,,0.01,-0.01,,-0.01,-0.01,,-0.01,0.04,0.01,0.25,0.01,-0.01,-0.01
TransparentLaws,KeyPublicGoods,tstatw,13.8,5.92,5.92,,13.25,13.33,,5.9,5.92,,13.24,13.33,,5.94,5.93,,5.94,5.93,,,,,,,
TransparentLaws,KeyPublicGoods,tstatp,,0.14,,0.22,-0.72,,0.65,0.67,,1.4,-0.71,,0.68,-0.35,,-0.45,-0.32,,-0.38,0.22,0.65,1.4,0.68,-0.45,-0.38
TransparentLaws,KeyPublicGoods,AIC,14127.51,1210.19,1208.31,1954.32,12281.8,12293.21,16333.89,1207.57,1208.31,1943.93,12282.44,12293.21,16332.8,1207.2,1206.13,1947.97,1207.4,1206.13,1948.53,1954.32,16333.89,1943.93,16332.8,1947.97,1948.53
TransparentLaws,KeyPublicGoods,BIC,14577.76,1356.46,1348.49,2094.51,12734.34,12738.69,16779.37,1353.83,1348.49,2084.11,12734.98,12738.69,16778.28,1353.17,1346.04,2087.87,1353.37,1346.04,2088.43,2094.51,16779.37,2084.11,16778.28,2087.87,2088.43
TransparentLaws,KeyPublicGoods,loglike,-7000.33,-580.91,-580.99,-953.99,-6076.42,-6083.14,-8103.48,-579.6,-580.99,-948.8,-6076.75,-6083.14,-8102.94,-579.41,-579.9,-950.81,-579.51,-579.9,-951.09,-953.99,-8103.48,-948.8,-8102.94,-950.81,-951.09
CleanWater,OtherMeasures,betaw,1.88,2.39,1.9,,1.12,1.89,,3.3,1.9,,1.07,1.89,,1.16,1.89,,1.11,1.89,,,,,,,
CleanWater,OtherMeasures,betap,,-7.12,,-7.0,0.48,,0.49,-7.19,,-6.78,0.48,,0.49,0.66,,0.67,0.87,,0.89,-7.0,0.49,-6.78,0.49,0.67,0.89
CleanWater,OtherMeasures,tstatw,0.51,0.64,0.51,,0.28,0.51,,0.82,0.51,,0.27,0.51,,0.3,0.51,,0.28,0.51,,,,,,,
CleanWater,OtherMeasures,tstatp,,-1.49,,-1.49,1.31,,1.33,-1.6,,-1.53,1.28,,1.31,1.18,,1.21,1.17,,1.2,-1.49,1.33,-1.53,1.31,1.21,1.2
CleanWater,OtherMeasures,AIC,10105.67,9990.95,10026.5,9992.1,9896.1,9931.81,9894.75,9984.48,10026.5,9988.42,9896.96,9931.81,9895.55,9902.26,9931.81,9900.96,9902.59,9931.81,9901.23,9992.1,9894.75,9988.42,9895.55,9900.96,9901.23
CleanWater,OtherMeasures,BIC,10234.5,10125.12,10155.1,10120.7,10030.02,10060.18,10023.12,10118.65,10155.1,10117.02,10030.88,10060.18,10023.91,10036.19,10060.18,10029.33,10036.52,10060.18,10029.6,10120.7,10023.12,10117.02,10023.91,10029.33,10029.6
CleanWater,OtherMeasures,loglike,-5029.56,-4971.18,-4989.97,-4972.78,-4923.75,-4942.63,-4924.1,-4967.94,-4989.97,-4970.93,-4924.18,-4942.63,-4924.49,-4926.83,-4942.63,-4927.2,-4926.99,-4942.63,-4927.34,-4972.78,-4924.1,-4970.93,-4924.49,-4927.2,-4927.34
ElectricAccess,OtherMeasures,betaw,11.31,7.43,7.72,,8.31,10.87,,6.86,7.72,,8.26,10.87,,7.63,7.67,,7.55,7.67,,,,,,,
ElectricAccess,OtherMeasures,betap,,13.01,,13.09,1.76,,1.79,12.93,,13.13,1.76,,1.79,2.26,,2.26,3.03,,3.03,13.09,1.79,13.13,1.79,2.26,3.03
ElectricAccess,OtherMeasures,tstatw,1.44,0.72,0.74,,1.16,1.35,,0.66,0.74,,1.16,1.35,,0.79,0.74,,0.78,0.74,,,,,,,
ElectricAccess,OtherMeasures,tstatp,,1.49,,1.48,4.32,,4.35,1.67,,1.66,4.36,,4.38,3.34,,3.27,3.36,,3.29,1.48,4.35,1.66,4.38,3.27,3.29
ElectricAccess,OtherMeasures,AIC,27740.99,20167.5,20240.12,20177.64,26494.81,26914.92,26515.45,20158.31,20240.12,20166.68,26492.72,26914.92,26513.11,19827.2,20004.19,19838.41,19825.64,20004.19,19836.59,20177.64,26515.45,20166.68,26513.11,19838.41,19836.59
ElectricAccess,OtherMeasures,BIC,27950.09,20312.71,20379.3,20316.81,26709.19,27123.01,26723.53,20303.52,20379.3,20305.86,26707.09,27123.01,26721.2,19972.11,20143.08,19977.3,19970.56,20143.08,19975.49,20316.81,26723.53,20305.86,26721.2,19977.3,19975.49
ElectricAccess,OtherMeasures,loglike,-13837.23,-10059.56,-10096.89,-10065.64,-13213.11,-13424.18,-13224.45,-10054.97,-10096.89,-10060.17,-13212.07,-13424.18,-13223.28,-9889.41,-9978.92,-9896.03,-9888.63,-9978.92,-9895.12,-10065.64,-13224.45,-10060.17,-13223.28,-9896.03,-9895.12
FoodConsumption,OtherMeasures,betaw,-0.29,-1.1,-0.61,,-0.43,-0.63,,-1.47,-0.61,,-0.45,-0.63,,-0.37,-0.63,,-0.39,-0.63,,,,,,,
FoodConsumption,OtherMeasures,betap,,8.13,,8.1,0.12,,0.12,6.31,,6.25,0.11,,0.12,0.25,,0.25,0.32,,0.32,8.1,0.12,6.25,0.12,0.25,0.32
FoodConsumption,OtherMeasures,tstatw,-0.06,-0.22,-0.13,,-0.09,-0.13,,-0.3,-0.13,,-0.09,-0.13,,-0.08,-0.13,,-0.08,-0.13,,,,,,,
FoodConsumption,OtherMeasures,tstatp,,2.0,,1.99,0.44,,0.45,1.53,,1.52,0.42,,0.43,0.59,,0.6,0.58,,0.59,1.99,0.45,1.52,0.43,0.6,0.59
FoodConsumption,OtherMeasures,AIC,15352.36,15094.03,15143.14,15092.37,15058.02,15057.64,15056.04,15110.31,15143.14,15108.93,15058.21,15057.64,15056.23,15056.47,15057.64,15054.47,15056.61,15057.64,15054.62,15092.37,15056.04,15108.93,15056.23,15054.47,15054.62
FoodConsumption,OtherMeasures,BIC,15476.41,15223.67,15266.9,15216.13,15187.51,15181.25,15179.66,15239.94,15266.9,15232.69,15187.69,15181.25,15179.85,15185.95,15181.25,15178.09,15186.09,15181.25,15178.24,15216.13,15179.66,15232.69,15179.85,15178.09,15178.24
FoodConsumption,OtherMeasures,loglike,-7655.01,-7524.83,-7550.4,-7525.01,-7506.82,-7507.65,-7506.85,-7532.97,-7550.4,-7533.3,-7506.91,-7507.65,-7506.94,-7506.04,-7507.65,-7506.07,-7506.12,-7507.65,-7506.14,-7525.01,-7506.85,-7533.3,-7506.94,-7506.07,-7506.14
HealthCare,OtherMeasures,betaw,0.22,0.67,0.67,,0.21,0.24,,0.66,0.67,,0.21,0.24,,0.67,0.67,,0.67,0.67,,,,,,,
HealthCare,OtherMeasures,betap,,-0.07,,-0.07,0.01,,0.02,0.07,,0.1,0.02,,0.02,0.03,,0.03,0.04,,0.04,-0.07,0.02,0.1,0.02,0.03,0.04
HealthCare,OtherMeasures,tstatw,0.89,2.32,2.32,,0.87,0.99,,2.3,2.32,,0.86,0.99,,2.32,2.31,,2.31,2.31,,,,,,,
HealthCare,OtherMeasures,tstatp,,-0.47,,-0.47,1.28,,1.37,0.53,,0.75,1.29,,1.38,1.61,,1.51,1.66,,1.58,-0.47,1.37,0.75,1.38,1.51,1.58
HealthCare,OtherMeasures,AIC,14338.21,-296.1,-296.49,-231.73,12113.05,12154.02,12134.64,-296.23,-296.49,-233.8,12112.51,12154.02,12133.94,-278.93,-264.39,-214.41,-280.12,-264.39,-215.89,-231.73,12134.64,-233.8,12133.94,-214.41,-215.89
HealthCare,OtherMeasures,BIC,14788.46,-149.84,-156.31,-91.55,12565.59,12599.5,12580.12,-149.97,-156.31,-93.61,12565.05,12599.5,12579.42,-132.96,-124.48,-74.51,-134.15,-124.48,-75.99,-91.55,12580.12,-93.61,12579.42,-74.51,-75.99
HealthCare,OtherMeasures,loglike,-7105.68,172.23,171.41,139.03,-5992.05,-6013.55,-6003.86,172.3,171.41,140.06,-5991.78,-6013.55,-6003.51,163.65,155.36,130.38,164.24,155.36,131.11,139.03,-6003.86,140.06,-6003.51,130.38,131.11
Hygiene,OtherMeasures,betaw,-1.54,-1.63,-1.55,,-1.81,-1.5,,-1.8,-1.55,,-1.83,-1.5,,-1.84,-1.5,,-1.85,-1.5,,,,,,,
Hygiene,OtherMeasures,betap,,1.35,,1.29,0.31,,0.3,3.21,,3.12,0.33,,0.31,0.48,,0.46,0.65,,0.63,1.29,0.3,3.12,0.31,0.46,0.63
Hygiene,OtherMeasures,tstatw,-0.34,-0.36,-0.34,,-0.4,-0.33,,-0.4,-0.34,,-0.4,-0.33,,-0.4,-0.33,,-0.4,-0.33,,,,,,,
Hygiene,OtherMeasures,tstatp,,0.29,,0.28,0.5,,0.48,0.73,,0.71,0.52,,0.51,0.52,,0.51,0.53,,0.52,0.28,0.48,0.71,0.51,0.51,0.52
Hygiene,OtherMeasures,AIC,5232.13,5130.25,5129.05,5129.03,5069.77,5072.48,5068.75,5125.68,5129.05,5124.67,5069.18,5072.48,5068.19,5069.15,5072.48,5068.16,5069.01,5072.48,5068.04,5129.03,5068.75,5124.67,5068.19,5068.16,5068.04
Hygiene,OtherMeasures,BIC,5345.95,5248.49,5242.41,5242.39,5187.68,5185.52,5181.79,5243.92,5242.41,5238.03,5187.09,5185.52,5181.23,5187.05,5185.52,5181.2,5186.92,5185.52,5181.08,5242.39,5181.79,5238.03,5181.23,5181.2,5181.08
Hygiene,OtherMeasures,loglike,-2592.55,-2540.55,-2541.0,-2540.99,-2510.3,-2512.7,-2510.84,-2538.27,-2541.0,-2538.81,-2510.01,-2512.7,-2510.56,-2509.99,-2512.7,-2510.55,-2509.92,-2512.7,-2510.48,-2540.99,-2510.84,-2538.81,-2510.56,-2510.55,-2510.48
InfantMortality,OtherMeasures,betaw,-42.79,-11.15,-11.56,,-41.96,-45.45,,-7.94,-11.56,,-41.89,-45.45,,-12.16,-11.65,,-12.01,-11.65,,,,,,,
InfantMortality,OtherMeasures,betap,,-36.19,,-36.26,-1.73,,-1.96,-34.77,,-35.13,-1.74,,-1.97,-2.32,,-2.3,-3.13,,-3.11,-36.26,-1.96,-35.13,-1.97,-2.3,-3.11
InfantMortality,OtherMeasures,tstatw,-3.83,-1.15,-1.2,,-3.74,-4.04,,-0.8,-1.2,,-3.74,-4.04,,-1.24,-1.21,,-1.23,-1.21,,,,,,,
InfantMortality,OtherMeasures,tstatp,,-4.3,,-4.39,-2.07,,-2.32,-4.68,,-4.81,-2.09,,-2.34,-1.86,,-1.84,-1.88,,-1.86,-4.39,-2.32,-4.81,-2.34,-1.84,-1.86
InfantMortality,OtherMeasures,AIC,89059.22,24518.58,24730.12,24527.16,81871.58,82080.46,82204.5,24505.11,24730.12,24508.45,81869.58,82080.46,82201.27,24385.97,24451.96,24395.93,24384.36,24451.96,24394.04,24527.16,82204.5,24508.45,82201.27,24395.93,24394.04
InfantMortality,OtherMeasures,BIC,89509.47,24664.84,24870.31,24667.34,82324.12,82525.94,82649.98,24651.37,24870.31,24648.63,82322.12,82525.94,82646.76,24531.94,24591.86,24535.83,24530.33,24591.86,24533.94,24667.34,82649.98,24648.63,82646.76,24535.83,24533.94
InfantMortality,OtherMeasures,loglike,-44466.18,-12235.11,-12341.89,-12240.41,-40871.32,-40976.77,-41038.79,-12228.37,-12341.89,-12231.06,-40870.32,-40976.77,-41037.18,-12168.8,-12202.81,-12174.79,-12168.0,-12202.81,-12173.85,-12240.41,-41038.79,-12231.06,-41037.18,-12174.79,-12173.85
LifeExpect,OtherMeasures,betaw,1.53,-0.11,-0.08,,1.03,1.38,,-0.42,-0.08,,1.02,1.38,,0.0,-0.07,,-0.02,-0.07,,,,,,,
LifeExpect,OtherMeasures,betap,,3.41,,3.41,0.17,,0.18,3.31,,3.29,0.17,,0.18,0.33,,0.33,0.44,,0.44,3.41,0.18,3.29,0.18,0.33,0.44
LifeExpect,OtherMeasures,tstatw,1.37,-0.08,-0.06,,0.92,1.26,,-0.3,-0.06,,0.91,1.26,,0.0,-0.05,,-0.01,-0.05,,,,,,,
LifeExpect,OtherMeasures,tstatp,,3.68,,3.68,2.2,,2.31,4.18,,4.19,2.23,,2.35,1.65,,1.65,1.68,,1.68,3.68,2.31,4.19,2.35,1.65,1.68
LifeExpect,OtherMeasures,AIC,47263.56,11534.66,11623.53,11532.67,43235.14,43382.25,43247.93,11526.55,11623.53,11525.23,43231.3,43382.25,43243.81,11446.88,11510.63,11444.85,11445.67,11510.63,11443.64,11532.67,43247.93,11525.23,43243.81,11444.85,11443.64
LifeExpect,OtherMeasures,BIC,47712.62,11680.6,11763.41,11672.56,43686.58,43826.65,43692.34,11672.49,11763.41,11665.11,43682.74,43826.65,43688.22,11592.53,11650.22,11584.44,11591.31,11650.22,11583.23,11672.56,43692.34,11665.11,43688.22,11584.44,11583.23
