,model,bhp,pp10,pp05,pp01,bhw,pw10,pw05,pw01,m3_win_bic,m3_win_aic,meanbetap,meanbetaw
109,normpolity+l_res_norm,7.0,3,2,1,32.0,28,27,25,27.0,33.0,2.6005714285714285,2.9482857142857144
113,normpolity+p_res_norm,26.0,4,1,0,32.0,27,26,25,18.0,28.0,1.8022857142857143,2.894285714285714
114,normpolity+r_res_norm,7.0,0,0,0,32.0,28,26,25,26.0,30.0,2.1931428571428575,2.958857142857143
108,normpolity+g_res_norm,19.0,2,1,0,32.0,28,27,25,19.0,30.0,4.041714285714286,2.8917142857142855
107,normpolity+e_peaveduc,24.0,6,5,1,31.0,28,26,26,16.0,23.0,0.5925714285714286,2.6102857142857143
4,Dem6+ln_pwd_a,21.0,4,3,2,32.0,29,26,22,10.0,21.0,10.794857142857143,0.7771428571428571
5,Dem6+ln_pwd_g,20.0,1,1,1,32.0,28,26,22,10.0,24.0,11.057142857142857,0.7965714285714286
6,Dem6+ln_pwd_m,24.0,1,0,0,32.0,28,26,22,13.0,26.0,3.201714285714286,0.7939999999999999
9,Dem6+wb_urbpop,16.0,11,8,4,32.0,28,28,27,24.0,28.0,0.08800000000000001,1.2197142857142858
3,Dem6+l_res_norm,6.0,3,2,1,32.0,29,28,27,28.0,33.0,2.517714285714286,1.2368571428571429
7,Dem6+p_res_norm,25.0,3,1,0,32.0,28,28,26,18.0,28.0,2.044285714285714,1.187142857142857
8,Dem6+r_res_norm,7.0,0,0,0,32.0,29,28,27,26.0,31.0,2.1997142857142857,1.2417142857142858
2,Dem6+g_res_norm,20.0,5,3,0,32.0,28,28,27,21.0,26.0,4.392285714285714,1.2082857142857142
1,Dem6+e_peaveduc,19.0,6,5,1,31.0,28,28,26,13.0,17.0,0.6074285714285714,1.0951428571428572
44,e_boix_regime+ln_pwd_a,29.0,5,3,2,32.0,22,18,11,13.0,23.0,11.38942857142857,0.514
45,e_boix_regime+ln_pwd_g,26.0,2,2,1,32.0,22,18,11,12.0,22.0,12.437999999999999,0.5525714285714286
46,e_boix_regime+ln_pwd_m,27.0,1,0,0,32.0,22,17,11,12.0,26.0,4.616,0.5642857142857143
49,e_boix_regime+wb_urbpop,16.0,11,10,5,30.0,28,28,27,24.0,28.0,0.08114285714285716,1.2517142857142858
43,e_boix_regime+l_res_norm,7.0,2,1,1,31.0,29,28,27,25.0,33.0,2.2874285714285714,1.3119999999999998
47,e_boix_regime+p_res_norm,31.0,4,0,0,30.0,28,28,27,24.0,27.0,2.096,1.2617142857142858
