model,bh,p100,p050,p010,p001,beta
Egr_coarse,27,26,25,23,20,0.21564531420881677
Elr_coarse,27,24,22,21,19,0.8014354562618939
Epr_coarse,31,27,25,22,21,0.4375993784590169
Err_coarse,29,24,22,20,18,0.48308969803212953
l_pwd_a_coarse,31,28,28,28,25,0.6059834410058579
l_pwd_g_coarse,24,21,19,19,18,0.9046774820650952
l_pwd_m_coarse,25,23,21,19,18,0.7178694733842981
wb_urbpop_coarse,19,17,14,14,13,0.4666100224954219
