model,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic,meanbetap,meanbetaw,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic
support+ln_pwd_a,20,5,3,2,2,33,26,25,21,19,8,12,10.55828571,3.076857143,57%,14%,9%,6%,6%,94%,74%,71%,60%,54%,23%,34%
support+ln_pwd_g,21,1,1,0,0,33,26,24,21,19,7,16,10.88114286,3.213142857,60%,3%,3%,0%,0%,94%,74%,69%,60%,54%,20%,46%
support+ln_pwd_m,26,3,1,0,0,33,26,24,21,19,12,20,2.912857143,3.206857143,74%,9%,3%,0%,0%,94%,74%,69%,60%,54%,34%,57%
support+wb_urbpop,19,12,11,5,3,31,27,26,24,23,17,17,0.089428571,3.425714286,54%,34%,31%,14%,9%,89%,77%,74%,69%,66%,49%,49%
support+l_res_norm,8,2,2,1,1,33,27,26,25,24,5,7,2.472285714,4.042,23%,6%,6%,3%,3%,94%,77%,74%,71%,69%,14%,20%
support+p_res_norm,31,10,4,0,0,32,26,26,25,24,26,29,2.428,3.872285714,89%,29%,11%,0%,0%,91%,74%,74%,71%,69%,74%,83%
support+r_res_norm,8,1,0,0,0,32,27,26,25,24,5,5,1.713714286,4.032857143,23%,3%,0%,0%,0%,91%,77%,74%,71%,69%,14%,14%
support+g_res_norm,25,8,4,0,0,32,27,26,25,24,17,21,4.635142857,4.008857143,71%,23%,11%,0%,0%,91%,77%,74%,71%,69%,49%,60%
support+e_peaveduc,22,4,1,1,0,31,25,25,25,24,10,14,0.572,3.228,63%,11%,3%,3%,0%,89%,71%,71%,71%,69%,29%,40%
normpolity+ln_pwd_a,23,5,3,2,2,33,27,27,27,21,10,16,11.02771429,2.342571429,66%,14%,9%,6%,6%,94%,77%,77%,77%,60%,29%,46%
normpolity+ln_pwd_g,22,2,1,1,0,33,27,27,27,21,6,18,11.652,2.379714286,63%,6%,3%,3%,0%,94%,77%,77%,77%,60%,17%,51%
normpolity+ln_pwd_m,24,3,1,0,0,33,27,27,27,22,11,18,3.270857143,2.352285714,69%,9%,3%,0%,0%,94%,77%,77%,77%,63%,31%,51%
normpolity+wb_urbpop,15,7,6,3,3,32,28,27,25,25,13,15,0.085714286,2.91,43%,20%,17%,9%,9%,91%,80%,77%,71%,71%,37%,43%
normpolity+l_res_norm,7,3,2,1,1,32,28,27,25,25,4,6,2.600571429,2.948285714,20%,9%,6%,3%,3%,91%,80%,77%,71%,71%,11%,17%
normpolity+p_res_norm,26,4,1,0,0,32,27,26,25,25,16,24,1.802285714,2.894285714,74%,11%,3%,0%,0%,91%,77%,74%,71%,71%,46%,69%
normpolity+r_res_norm,7,0,0,0,0,32,28,26,25,25,3,4,2.193142857,2.958857143,20%,0%,0%,0%,0%,91%,80%,74%,71%,71%,9%,11%
normpolity+g_res_norm,19,2,1,0,0,32,28,27,25,25,6,16,4.041714286,2.891714286,54%,6%,3%,0%,0%,91%,80%,77%,71%,71%,17%,46%
normpolity+e_peaveduc,24,6,5,1,0,31,28,26,26,24,8,14,0.592571429,2.610285714,69%,17%,14%,3%,0%,89%,80%,74%,74%,69%,23%,40%
Dem6+ln_pwd_a,21,4,3,2,2,32,29,26,22,16,7,14,10.79485714,0.777142857,60%,11%,9%,6%,6%,91%,83%,74%,63%,46%,20%,40%
Dem6+ln_pwd_g,20,1,1,1,0,32,28,26,22,16,5,14,11.05714286,0.796571429,57%,3%,3%,3%,0%,91%,80%,74%,63%,46%,14%,40%
Dem6+ln_pwd_m,24,1,0,0,0,32,28,26,22,16,11,18,3.201714286,0.794,69%,3%,0%,0%,0%,91%,80%,74%,63%,46%,31%,51%
