Outcome,OutcomeCategory,Stat,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop
PolRights,Freedoms,loglike,-8111.17,-8113.44,-10683.41,-8033.29,-8113.44,-10585.32,-2423.52,-2427.5,-2977.92,-2422.23,-2427.5,-2973.76,-2420.93,-2427.5,-2969.71,-8112.6,-8113.44,-10659.04,-8110.1,-8113.44,-10670.41,-8239.4,-8247.7,-10769.98
PropertyRights,Freedoms,betaw,,0.48,,,0.48,,,0.19,,,0.19,,,0.19,,,0.48,,,0.48,,,0.48,
PropertyRights,Freedoms,betap,0.16,,0.21,-0.14,,-0.23,-0.02,,-0.02,-0.34,,-0.31,-0.2,,-0.17,0.09,,0.18,-0.15,,-0.22,0.0,,0.0
PropertyRights,Freedoms,tstatw,,7.32,,,7.32,,,2.53,,,2.53,,,2.53,,,7.32,,,7.32,,,7.42,
PropertyRights,Freedoms,tstatp,1.53,,1.46,-0.87,,-1.2,-0.16,,-0.13,-1.23,,-1.16,-1.24,,-1.09,1.22,,1.94,-1.49,,-1.67,1.49,,2.43
PropertyRights,Freedoms,AIC,-16909.4,-16856.08,-14118.76,-16910.59,-16856.08,-14165.86,-12430.59,-12432.32,-12252.33,-12460.98,-12432.32,-12276.0,-12454.3,-12432.32,-12268.14,-16906.61,-16856.08,-14190.13,-16900.13,-16856.08,-14124.03,-16778.24,-16733.9,-14223.89
PropertyRights,Freedoms,BIC,-16456.09,-16409.84,-13672.52,-16457.28,-16409.84,-13719.62,-12283.84,-12291.67,-12111.67,-12314.22,-12291.67,-12135.34,-12307.55,-12291.67,-12127.48,-16453.3,-16409.84,-13743.89,-16446.82,-16409.84,-13677.79,-16321.68,-16284.46,-13774.45
PropertyRights,Freedoms,loglike,8519.17,8491.49,7122.83,8519.76,8491.49,7146.38,6239.47,6239.33,6149.33,6254.67,6239.33,6161.16,6251.33,6239.33,6157.23,8517.78,8491.49,7158.52,8514.53,8491.49,7125.47,8453.56,8430.38,7175.38
ReligiousFreedom,Freedoms,betaw,,2.96,,,2.96,,,1.61,,,1.61,,,1.61,,,2.96,,,2.96,,,3.01,
ReligiousFreedom,Freedoms,betap,-0.03,,0.27,-0.29,,-0.87,-0.7,,-0.66,-0.6,,-0.32,0.38,,0.66,0.16,,0.68,-0.99,,-1.42,0.01,,0.02
ReligiousFreedom,Freedoms,tstatw,,8.78,,,8.78,,,3.45,,,3.45,,,3.45,,,8.78,,,8.78,,,9.18,
ReligiousFreedom,Freedoms,tstatp,-0.07,,0.4,-0.32,,-0.74,-1.15,,-1.0,-0.7,,-0.33,0.59,,0.79,0.31,,1.07,-1.63,,-1.87,2.38,,3.28
ReligiousFreedom,Freedoms,AIC,13607.35,13605.41,16955.89,13599.03,13605.41,16909.03,972.95,976.37,1232.06,976.58,976.37,1236.02,976.75,976.37,1231.91,13602.25,13605.41,16895.55,13538.62,13605.41,16860.98,14703.96,14856.82,17987.04
ReligiousFreedom,Freedoms,BIC,14060.66,14051.65,17402.13,14052.34,14051.65,17355.27,1119.7,1117.02,1372.72,1123.34,1117.02,1376.68,1123.51,1117.02,1372.57,14055.56,14051.65,17341.79,13991.93,14051.65,17307.22,15160.52,15306.26,18436.48
ReligiousFreedom,Freedoms,loglike,-6739.21,-6739.25,-8414.49,-6735.05,-6739.25,-8391.06,-462.29,-465.02,-592.87,-464.11,-465.02,-594.85,-464.2,-465.02,-592.79,-6736.65,-6739.25,-8384.32,-6704.84,-6739.25,-8367.04,-7287.53,-7364.98,-8930.09
RespectConstitution,Freedoms,betaw,,3.69,,,3.69,,,4.89,,,4.89,,,4.89,,,3.69,,,3.69,,,3.66,
RespectConstitution,Freedoms,betap,-0.19,,0.18,-0.33,,-1.04,0.14,,0.23,-0.67,,0.13,-0.24,,0.59,-0.1,,0.56,-0.61,,-1.16,-0.0,,0.01
RespectConstitution,Freedoms,tstatw,,11.43,,,11.43,,,7.3,,,7.3,,,7.3,,,11.43,,,11.43,,,11.52,
RespectConstitution,Freedoms,tstatp,-0.36,,0.23,-0.86,,-1.63,0.19,,0.24,-0.37,,0.06,-0.2,,0.35,-0.31,,1.09,-1.5,,-1.9,-0.56,,1.14
RespectConstitution,Freedoms,AIC,14168.33,14168.72,18702.45,14161.05,14168.72,18644.4,1309.52,1307.69,3035.01,1307.64,1307.69,3035.29,1309.1,1307.69,3033.12,14169.08,14168.72,18669.15,14145.72,14168.72,18650.37,15472.66,15475.48,19845.11
RespectConstitution,Freedoms,BIC,14621.64,14614.96,19148.7,14614.36,14614.96,19090.64,1456.27,1448.34,3175.66,1454.39,1448.34,3175.94,1455.85,1448.34,3173.77,14622.39,14614.96,19115.39,14599.03,14614.96,19096.61,15928.93,15924.64,20294.27
RespectConstitution,Freedoms,loglike,-7019.69,-7020.9,-9287.77,-7016.06,-7020.9,-9258.74,-630.58,-630.68,-1494.34,-629.64,-630.68,-1494.48,-630.37,-630.68,-1493.4,-7020.07,-7020.9,-9271.12,-7008.39,-7020.9,-9261.73,-7671.88,-7674.3,-9859.12
RuleofLaw,Freedoms,betaw,,0.52,,,0.52,,,0.73,,,0.73,,,0.73,,,0.52,,,0.52,,,0.52,
RuleofLaw,Freedoms,betap,-0.08,,-0.03,-0.06,,-0.16,-0.0,,0.02,-0.19,,-0.07,0.01,,0.14,0.03,,0.12,-0.24,,-0.32,-0.0,,0.0
RuleofLaw,Freedoms,tstatw,,11.39,,,11.39,,,5.94,,,5.94,,,5.94,,,11.39,,,11.39,,,11.35,
RuleofLaw,Freedoms,tstatp,-0.65,,-0.16,-0.5,,-1.51,-0.01,,0.09,-0.47,,-0.15,0.05,,0.43,0.39,,1.57,-2.93,,-3.3,-0.25,,0.91
RuleofLaw,Freedoms,AIC,-17996.78,-17982.92,-14456.23,-17991.16,-17982.92,-14510.01,-10501.21,-10503.24,-9183.83,-10506.72,-10503.24,-9184.22,-10501.26,-10503.24,-9188.17,-17985.19,-17982.92,-14517.85,-18123.72,-17982.92,-14621.84,-18031.87,-18031.97,-14620.87
RuleofLaw,Freedoms,BIC,-17543.47,-17536.68,-14009.99,-17537.85,-17536.68,-14063.77,-10354.45,-10362.58,-9043.18,-10359.96,-10362.58,-9043.56,-10354.51,-10362.58,-9047.52,-17531.88,-17536.68,-14071.61,-17670.41,-17536.68,-14175.6,-17575.42,-17582.63,-14171.53
RuleofLaw,Freedoms,loglike,9062.86,9054.92,7291.57,9060.05,9054.92,7318.46,5274.78,5274.78,4615.08,5277.54,5274.78,4615.27,5274.81,5274.78,4617.25,9057.06,9054.92,7322.38,9126.33,9054.92,7374.38,9080.38,9079.42,7373.87
JudgeCorrupt,KeyCorruptions,betaw,,-0.41,,,-0.41,,,-0.81,,,-0.81,,,-0.81,,,-0.41,,,-0.41,,,-0.39,
JudgeCorrupt,KeyCorruptions,betap,1.19,,1.14,0.26,,0.34,-0.85,,-0.87,-0.89,,-1.02,-0.91,,-1.05,-0.09,,-0.16,0.62,,0.67,0.0,,0.0
JudgeCorrupt,KeyCorruptions,tstatw,,-1.41,,,-1.41,,,-2.39,,,-2.39,,,-2.39,,,-1.41,,,-1.41,,,-1.37,
JudgeCorrupt,KeyCorruptions,tstatp,3.6,,3.33,0.34,,0.45,-0.96,,-1.0,-0.61,,-0.7,-1.02,,-1.13,-0.23,,-0.44,1.25,,1.38,0.5,,0.29
JudgeCorrupt,KeyCorruptions,AIC,11480.35,11604.03,11583.72,11597.85,11604.03,11685.59,386.32,393.91,463.3,391.17,393.91,466.96,384.61,393.91,458.51,11604.17,11604.03,11693.13,11572.66,11604.03,11659.64,13207.37,13211.33,13289.56
JudgeCorrupt,KeyCorruptions,BIC,11933.42,12050.03,12029.72,12050.91,12050.03,12131.58,533.04,534.53,603.92,537.89,534.53,607.58,531.33,534.53,599.13,12057.23,12050.03,12139.13,12025.72,12050.03,12105.64,13663.51,13660.35,13738.58
JudgeCorrupt,KeyCorruptions,loglike,-5675.71,-5738.56,-5728.4,-5734.45,-5738.56,-5779.34,-168.98,-173.79,-208.49,-171.4,-173.79,-210.32,-168.12,-173.79,-206.09,-5737.61,-5738.56,-5783.11,-5721.86,-5738.56,-5766.37,-6539.24,-6542.23,-6581.34
StateOwnsEconomy,KeyCorruptions,betaw,,-2.39,,,-2.39,,,-1.64,,,-1.64,,,-1.64,,,-2.39,,,-2.39,,,-2.29,
StateOwnsEconomy,KeyCorruptions,betap,-0.6,,-0.84,-0.67,,-0.2,0.31,,0.27,1.55,,1.26,1.07,,0.78,-0.11,,-0.53,1.04,,1.38,0.0,,-0.0
StateOwnsEconomy,KeyCorruptions,tstatw,,-6.29,,,-6.29,,,-3.33,,,-3.33,,,-3.33,,,-6.29,,,-6.29,,,-6.02,
StateOwnsEconomy,KeyCorruptions,tstatp,-0.85,,-1.01,-0.86,,-0.2,0.64,,0.48,1.53,,1.2,1.48,,1.02,-0.22,,-0.97,1.56,,1.7,0.56,,-0.42
StateOwnsEconomy,KeyCorruptions,AIC,15879.05,15896.74,17711.43,15865.61,15896.74,17740.74,-252.25,-252.69,126.97,-268.28,-252.69,117.51,-269.4,-252.69,119.07,15896.97,15896.74,17708.1,15840.04,15896.74,17657.41,17800.55,17804.7,19386.9
StateOwnsEconomy,KeyCorruptions,BIC,16332.36,16342.98,18157.67,16318.92,16342.98,18186.98,-105.49,-112.04,267.63,-121.52,-112.04,258.17,-122.64,-112.04,259.73,16350.28,16342.98,18154.34,16293.35,16342.98,18103.65,18257.11,18254.14,19836.34
StateOwnsEconomy,KeyCorruptions,loglike,-7875.06,-7884.92,-8792.26,-7868.34,-7884.92,-8806.91,150.3,149.51,-40.32,158.32,149.51,-35.59,158.88,149.51,-36.37,-7884.01,-7884.92,-8790.59,-7855.55,-7884.92,-8765.25,-8835.83,-8838.92,-9630.02
FreeExpression,KeyPublicGoods,betaw,,1.11,,,1.11,,,1.14,,,1.14,,,1.14,,,1.11,,,1.11,,,1.12,
FreeExpression,KeyPublicGoods,betap,0.15,,0.26,-0.23,,-0.44,0.13,,0.16,0.01,,0.2,0.11,,0.31,0.01,,0.21,-0.06,,-0.23,0.0,,0.0
FreeExpression,KeyPublicGoods,tstatw,,25.28,,,25.28,,,11.08,,,11.08,,,11.08,,,25.28,,,25.28,,,27.28,
FreeExpression,KeyPublicGoods,tstatp,1.96,,1.55,-2.76,,-3.13,0.52,,0.58,0.01,,0.39,0.39,,0.88,0.18,,1.77,-0.54,,-1.27,1.77,,2.94
FreeExpression,KeyPublicGoods,AIC,-16651.13,-16606.03,-7174.89,-16750.5,-16606.03,-7318.47,-9540.01,-9538.02,-7393.39,-9536.0,-9538.02,-7392.57,-9539.19,-9538.02,-7403.06,-16604.62,-16606.03,-7211.14,-16612.57,-16606.03,-7162.19,-17047.46,-16992.28,-7485.66
FreeExpression,KeyPublicGoods,BIC,-16197.82,-16159.79,-6728.65,-16297.19,-16159.79,-6872.23,-9393.25,-9397.37,-7252.73,-9389.24,-9397.37,-7251.91,-9392.43,-9397.37,-7262.4,-16151.31,-16159.79,-6764.9,-16159.26,-16159.79,-6715.95,-16590.9,-16542.84,-7036.21
FreeExpression,KeyPublicGoods,loglike,8390.03,8366.47,3650.9,8439.72,8366.47,3722.69,4794.18,4792.18,3719.86,4792.18,4792.18,3719.45,4793.77,4792.18,3724.69,8366.78,8366.47,3669.03,8370.76,8366.47,3644.55,8588.18,8559.57,3806.26
JudicialIndep,KeyPublicGoods,betaw,,2.86,,,2.86,,,3.82,,,3.82,,,3.82,,,2.86,,,2.86,,,2.81,
JudicialIndep,KeyPublicGoods,betap,-0.25,,0.04,-0.63,,-1.17,-0.76,,-0.66,-1.52,,-0.86,-1.07,,-0.41,-0.4,,0.11,-1.06,,-1.47,0.01,,0.01
JudicialIndep,KeyPublicGoods,tstatw,,10.77,,,10.77,,,9.88,,,9.88,,,9.88,,,10.77,,,10.77,,,10.52,
JudicialIndep,KeyPublicGoods,tstatp,-0.32,,0.04,-1.24,,-1.86,-1.2,,-0.82,-1.19,,-0.53,-1.33,,-0.35,-1.65,,0.3,-2.03,,-3.07,1.09,,2.29
JudicialIndep,KeyPublicGoods,AIC,13499.31,13501.66,16668.57,13465.23,13501.66,16573.48,2084.15,2086.75,3032.28,2080.25,2086.75,3032.82,2079.24,2086.75,3033.86,13471.94,13501.66,16667.08,13424.22,13501.66,16560.27,15132.31,15153.29,17977.86
JudicialIndep,KeyPublicGoods,BIC,13952.39,13947.68,17114.59,13918.32,13947.68,17019.5,2230.9,2227.39,3172.93,2226.99,2227.39,3173.47,2225.99,2227.39,3174.51,13925.02,13947.68,17113.09,13877.31,13947.68,17006.29,15588.57,15602.44,18427.01
JudicialIndep,KeyPublicGoods,loglike,-6685.18,-6687.37,-8270.83,-6668.15,-6687.37,-8223.29,-1017.9,-1020.21,-1492.98,-1015.95,-1020.21,-1493.25,-1015.44,-1020.21,-1493.77,-6671.5,-6687.37,-8270.08,-6647.64,-6687.37,-8216.68,-7501.7,-7513.21,-8925.49
TransparentLaws,KeyPublicGoods,betaw,,3.09,,,3.09,,,2.95,,,2.95,,,2.95,,,3.09,,,3.09,,,3.15,
TransparentLaws,KeyPublicGoods,betap,-0.31,,0.01,-0.56,,-1.15,0.04,,0.12,-0.6,,-0.1,0.63,,1.14,0.27,,0.81,-0.59,,-1.05,-0.0,,0.01
TransparentLaws,KeyPublicGoods,tstatw,,13.02,,,13.02,,,6.02,,,6.02,,,6.02,,,13.02,,,13.02,,,13.76,
TransparentLaws,KeyPublicGoods,tstatp,-0.56,,0.01,-1.31,,-2.22,0.05,,0.13,-0.3,,-0.05,0.54,,0.86,0.94,,1.94,-1.39,,-1.8,-0.65,,0.81
TransparentLaws,KeyPublicGoods,AIC,12462.14,12467.73,16444.16,12435.79,12467.73,16350.21,1183.37,1181.36,1940.0,1181.63,1181.36,1940.08,1179.06,1181.36,1928.83,12453.22,12467.73,16348.29,12441.45,12467.73,16387.66,13696.06,13704.33,17755.79
TransparentLaws,KeyPublicGoods,BIC,12915.44,12913.97,16890.4,12889.1,12913.97,16796.45,1330.13,1322.02,2080.65,1328.39,1322.02,2080.73,1325.82,1322.02,2069.49,12906.53,12913.97,16794.53,12894.76,12913.97,16833.9,14152.62,14153.78,18205.23
TransparentLaws,KeyPublicGoods,loglike,-6166.6,-6170.41,-8158.62,-6153.43,-6170.41,-8111.65,-567.51,-567.52,-946.83,-566.64,-567.52,-946.87,-565.35,-567.52,-941.25,-6162.14,-6170.41,-8110.69,-6156.26,-6170.41,-8130.38,-6783.59,-6788.73,-8814.46
CleanWater,OtherMeasures,betaw,,1.9,,,1.9,,,1.88,,,1.88,,,1.88,,,1.9,,,1.9,,,1.87,
CleanWater,OtherMeasures,betap,18.98,,18.75,22.32,,21.98,-34.02,,-33.43,-47.57,,-46.79,-20.55,,-19.88,-0.95,,-0.58,1.43,,1.13,0.23,,0.23
CleanWater,OtherMeasures,tstatw,,0.51,,,0.51,,,0.51,,,0.51,,,0.51,,,0.51,,,0.51,,,0.5,
CleanWater,OtherMeasures,tstatp,1.41,,1.39,2.26,,2.21,-1.75,,-1.75,-1.48,,-1.47,-1.04,,-1.01,-0.26,,-0.16,0.11,,0.09,1.34,,1.37
CleanWater,OtherMeasures,AIC,10010.19,10026.5,10010.59,9975.56,10026.5,9976.97,10061.06,10105.67,10062.46,10060.9,10105.67,10062.23,10085.0,10105.67,10086.24,10027.89,10026.5,10028.25,10028.42,10026.5,10028.42,9975.74,10010.94,9974.47
CleanWater,OtherMeasures,BIC,10144.36,10155.1,10139.19,10109.72,10155.1,10105.57,10195.47,10234.5,10191.29,10195.31,10234.5,10191.06,10219.41,10234.5,10215.08,10162.06,10155.1,10156.85,10162.58,10155.1,10157.02,10109.91,10139.54,10103.08
CleanWater,OtherMeasures,loglike,-4980.8,-4989.97,-4982.02,-4963.48,-4989.97,-4965.21,-5006.23,-5029.56,-5007.96,-5006.15,-5029.56,-5007.84,-5018.2,-5029.56,-5019.85,-4989.64,-4989.97,-4990.85,-4989.91,-4989.97,-4990.93,-4963.57,-4982.2,-4963.96
ElectricAccess,OtherMeasures,betaw,,11.04,,,11.04,,,8.19,,,8.19,,,8.19,,,11.04,,,11.04,,,11.16,
ElectricAccess,OtherMeasures,betap,0.78,,3.76,-4.87,,-5.09,59.97,,60.29,45.94,,47.61,-0.91,,0.86,5.86,,6.9,-6.9,,-4.93,0.86,,0.87
ElectricAccess,OtherMeasures,tstatw,,1.38,,,1.38,,,0.8,,,0.8,,,0.8,,,1.38,,,1.38,,,1.42,
ElectricAccess,OtherMeasures,tstatp,0.12,,0.59,-0.72,,-0.73,1.58,,1.57,1.13,,1.15,-0.05,,0.05,1.27,,1.45,-0.94,,-0.64,4.3,,4.32
ElectricAccess,OtherMeasures,AIC,27193.28,27191.29,27226.78,27191.43,27191.29,27225.7,20557.29,20643.12,20569.35,20622.64,20643.12,20633.65,20645.13,20643.12,20657.76,27181.43,27191.29,27211.23,27188.53,27191.29,27225.29,27061.1,27465.48,27084.84
ElectricAccess,OtherMeasures,BIC,27408.03,27399.74,27435.23,27406.18,27399.74,27434.14,20702.96,20782.74,20708.97,20768.31,20782.74,20773.27,20790.8,20782.74,20797.38,27396.18,27399.74,27419.68,27403.28,27399.74,27433.73,27276.16,27674.23,27293.59
ElectricAccess,OtherMeasures,loglike,-13562.35,-13562.37,-13580.12,-13561.43,-13562.37,-13579.58,-10254.46,-10298.39,-10261.5,-10287.13,-10298.39,-10293.65,-10298.38,-10298.39,-10305.71,-13556.43,-13562.37,-13572.34,-13559.98,-13562.37,-13579.37,-13496.26,-13699.47,-13509.15
FoodConsumption,OtherMeasures,betaw,,-0.61,,,-0.61,,,-0.29,,,-0.29,,,-0.29,,,-0.61,,,-0.61,,,-0.3,
FoodConsumption,OtherMeasures,betap,14.01,,13.92,-9.24,,-9.22,32.79,,32.7,43.32,,43.14,29.29,,29.13,-1.75,,-1.78,3.19,,3.15,0.03,,0.03
FoodConsumption,OtherMeasures,tstatw,,-0.13,,,-0.13,,,-0.06,,,-0.06,,,-0.06,,,-0.13,,,-0.13,,,-0.07,
FoodConsumption,OtherMeasures,tstatp,2.55,,2.56,-1.64,,-1.65,1.82,,1.82,1.4,,1.39,1.37,,1.36,-0.58,,-0.6,1.07,,1.07,0.22,,0.22
FoodConsumption,OtherMeasures,AIC,15135.74,15143.14,15133.93,15137.3,15143.14,15135.41,15308.42,15352.36,15306.57,15317.27,15352.36,15315.47,15317.34,15352.36,15315.6,15143.74,15143.14,15141.74,15143.33,15143.14,15141.46,15268.61,15267.0,15266.59
FoodConsumption,OtherMeasures,BIC,15265.37,15266.9,15257.68,15266.93,15266.9,15259.16,15438.36,15476.41,15430.62,15447.21,15476.41,15439.52,15447.28,15476.41,15439.65,15273.38,15266.9,15265.49,15272.97,15266.9,15265.21,15398.4,15390.9,15390.5
FoodConsumption,OtherMeasures,loglike,-7545.68,-7550.4,-7545.79,-7546.46,-7550.4,-7546.53,-7632.03,-7655.01,-7632.12,-7636.45,-7655.01,-7636.57,-7636.49,-7655.01,-7636.63,-7549.68,-7550.4,-7549.7,-7549.48,-7550.4,-7549.56,-7612.12,-7612.33,-7612.13
HealthCare,OtherMeasures,betaw,,0.21,,,0.21,,,0.68,,,0.68,,,0.68,,,0.21,,,0.21,,,0.23,
HealthCare,OtherMeasures,betap,-0.2,,-0.18,-0.93,,-0.96,-0.07,,-0.05,0.15,,0.27,0.24,,0.36,0.03,,0.07,-0.59,,-0.62,0.01,,0.01
HealthCare,OtherMeasures,tstatw,,0.86,,,0.86,,,2.38,,,2.38,,,2.38,,,0.86,,,0.86,,,0.92,
HealthCare,OtherMeasures,tstatp,-0.42,,-0.36,-1.5,,-1.58,-0.1,,-0.08,0.15,,0.27,0.36,,0.54,0.11,,0.24,-1.15,,-1.22,1.4,,1.5
HealthCare,OtherMeasures,AIC,12267.14,12268.49,12289.17,12172.88,12268.49,12186.57,-349.27,-351.22,-280.37,-349.36,-351.22,-280.86,-350.21,-351.22,-282.51,12270.31,12268.49,12290.85,12241.63,12268.49,12260.08,13921.62,13961.66,13938.4
HealthCare,OtherMeasures,BIC,12720.45,12714.73,12735.41,12626.19,12714.73,12632.81,-202.51,-210.56,-139.71,-202.6,-210.56,-140.2,-203.45,-210.56,-141.85,12723.62,12714.73,12737.09,12694.94,12714.73,12706.32,14378.18,14411.1,14387.84
HealthCare,OtherMeasures,loglike,-6069.1,-6070.79,-6081.13,-6021.97,-6070.79,-6029.83,198.81,198.77,163.35,198.86,198.77,163.59,199.28,198.77,164.42,-6070.69,-6070.79,-6081.97,-6056.34,-6070.79,-6066.59,-6896.36,-6917.4,-6905.77
Hygiene,OtherMeasures,betaw,,-1.55,,,-1.55,,,-1.54,,,-1.54,,,-1.54,,,-1.55,,,-1.55,,,-1.49,
Hygiene,OtherMeasures,betap,-36.18,,-36.12,-23.17,,-22.97,11.39,,11.1,31.23,,30.33,-1.49,,-2.06,2.79,,2.69,-14.27,,-14.25,0.2,,0.2
Hygiene,OtherMeasures,tstatw,,-0.34,,,-0.34,,,-0.34,,,-0.34,,,-0.34,,,-0.34,,,-0.34,,,-0.33,
Hygiene,OtherMeasures,tstatp,-8.14,,-8.33,-1.5,,-1.49,0.59,,0.58,0.9,,0.87,-0.08,,-0.11,0.55,,0.53,-6.59,,-6.48,0.67,,0.66
Hygiene,OtherMeasures,AIC,5076.13,5129.05,5075.04,5103.93,5129.05,5103.08,5230.7,5232.13,5229.56,5225.46,5232.13,5224.61,5234.18,5232.13,5232.83,5129.52,5129.05,5128.34,5093.39,5129.05,5092.21,5168.87,5175.35,5167.95
Hygiene,OtherMeasures,BIC,5194.37,5242.41,5188.4,5222.17,5242.41,5216.43,5349.43,5345.95,5343.39,5344.18,5345.95,5338.43,5352.9,5345.95,5346.66,5247.76,5242.41,5241.7,5211.62,5242.41,5205.57,5287.27,5288.87,5281.47
Hygiene,OtherMeasures,loglike,-2513.49,-2541.0,-2513.99,-2527.39,-2541.0,-2528.01,-2590.79,-2592.55,-2591.26,-2588.16,-2592.55,-2588.79,-2592.52,-2592.55,-2592.9,-2540.19,-2541.0,-2540.64,-2522.12,-2541.0,-2522.58,-2559.86,-2564.15,-2560.45
InfantMortality,OtherMeasures,betaw,,-44.5,,,-44.5,,,-11.31,,,-11.31,,,-11.31,,,-44.5,,,-44.5,,,-42.86,
InfantMortality,OtherMeasures,betap,-54.48,,-58.9,-13.83,,-5.11,-155.48,,-155.77,-147.98,,-149.7,-23.5,,-25.38,-27.71,,-35.2,-23.25,,-16.63,-0.89,,-1.0
InfantMortality,OtherMeasures,tstatw,,-4.01,,,-4.01,,,-1.19,,,-1.19,,,-1.19,,,-4.01,,,-4.01,,,-3.78,
InfantMortality,OtherMeasures,tstatp,-1.9,,-1.96,-0.63,,-0.22,-4.38,,-4.46,-2.23,,-2.28,-0.42,,-0.46,-1.6,,-1.86,-0.92,,-0.64,-2.17,,-2.41
InfantMortality,OtherMeasures,AIC,82887.58,82975.96,83255.63,82970.14,82975.96,83356.08,25004.38,25222.53,25012.67,25135.03,25222.53,25141.51,25219.57,25222.53,25227.19,82914.19,82975.96,83256.95,82961.81,82975.96,83349.17,87729.81,87968.51,88013.14
InfantMortality,OtherMeasures,BIC,83340.89,83422.2,83701.88,83423.45,83422.2,83802.32,25151.14,25363.19,25153.33,25281.79,25363.19,25282.17,25366.32,25363.19,25367.84,83367.5,83422.2,83703.19,83415.12,83422.2,83795.41,88186.37,88417.96,88462.58
InfantMortality,OtherMeasures,loglike,-41379.32,-41424.53,-41564.36,-41420.6,-41424.53,-41614.59,-12478.01,-12588.1,-12483.17,-12543.34,-12588.1,-12547.59,-12585.6,-12588.1,-12590.43,-41392.63,-41424.53,-41565.02,-41416.44,-41424.53,-41611.13,-43800.46,-43920.82,-43943.14
LifeExpect,OtherMeasures,betaw,,1.26,,,1.26,,,-0.05,,,-0.05,,,-0.05,,,1.26,,,1.26,,,1.59,
LifeExpect,OtherMeasures,betap,0.25,,0.37,4.88,,4.6,14.94,,14.94,11.25,,11.23,-0.53,,-0.54,3.27,,3.44,3.02,,2.84,0.08,,0.08
LifeExpect,OtherMeasures,tstatw,,1.17,,,1.17,,,-0.04,,,-0.04,,,-0.04,,,1.17,,,1.17,,,1.4,
LifeExpect,OtherMeasures,tstatp,0.08,,0.12,1.35,,1.29,3.8,,3.81,1.46,,1.46,-0.08,,-0.08,1.6,,1.64,0.94,,0.89,2.13,,2.25
LifeExpect,OtherMeasures,AIC,43873.69,43871.79,43894.17,43801.92,43871.79,43830.45,11734.27,11829.86,11732.27,11806.76,11829.86,11804.82,11831.77,11829.86,11829.74,43812.25,43871.79,43825.36,43854.89,43871.79,43877.74,46541.02,46680.46,46559.84
LifeExpect,OtherMeasures,BIC,44325.91,44316.96,44339.35,44254.15,44316.96,44275.62,11880.67,11970.18,11872.59,11953.17,11970.18,11945.14,11978.17,11970.18,11970.06,44264.48,44316.96,44270.53,44307.11,44316.96,44322.91,46996.35,47128.69,47008.08
LifeExpect,OtherMeasures,loglike,-21872.37,-21872.43,-21883.62,-21836.49,-21872.43,-21851.76,-5842.95,-5891.77,-5842.97,-5879.2,-5891.77,-5879.24,-5891.7,-5891.77,-5891.71,-21841.65,-21872.43,-21849.22,-21862.97,-21872.43,-21875.41,-23206.05,-23276.79,-23216.48
PressFreedom,OtherMeasures,betaw,,-53.07,,,-53.07,,,-50.31,,,-50.31,,,-50.31,,,-53.07,,,-53.07,,,-51.7,
PressFreedom,OtherMeasures,betap,-30.42,,-41.66,11.46,,14.05,-19.76,,-22.03,-14.25,,-25.74,-0.85,,-10.79,-6.7,,-15.28,-5.09,,-11.33,0.02,,0.01
PressFreedom,OtherMeasures,tstatw,,-8.78,,,-8.78,,,-7.82,,,-7.82,,,-7.82,,,-8.78,,,-8.78,,,-8.53,
PressFreedom,OtherMeasures,tstatp,-1.99,,-2.25,0.92,,0.93,-1.72,,-1.41,-0.68,,-0.91,-0.06,,-0.52,-1.2,,-2.15,-0.57,,-1.51,0.11,,0.06
PressFreedom,OtherMeasures,AIC,25423.4,25480.01,26238.21,25469.68,25480.01,26313.13,16575.65,16584.72,17293.84,16584.31,16584.72,17298.36,16586.73,16584.72,17302.34,25462.9,25480.01,26244.2,25479.71,25480.01,26318.75,25747.56,25745.7,26544.73
PressFreedom,OtherMeasures,BIC,25598.86,25649.22,26407.42,25645.15,25649.22,26482.34,16700.46,16703.61,17412.72,16709.12,16703.61,17417.24,16711.55,16703.61,17421.23,25638.37,25649.22,26413.41,25655.17,25649.22,26487.97,25923.22,25915.1,26714.13
PressFreedom,OtherMeasures,loglike,-12683.49,-12712.81,-13091.91,-12706.63,-12712.81,-13129.37,-8266.66,-8272.21,-8626.77,-8270.99,-8272.21,-8629.03,-8272.2,-8272.21,-8631.02,-12703.25,-12712.81,-13094.91,-12711.65,-12712.81,-13132.18,-12845.58,-12845.66,-13245.18
Transparency,OtherMeasures,betaw,,1.29,,,1.29,,,1.45,,,1.45,,,1.45,,,1.29,,,1.29,,,1.29,
