Outcome,OutcomeCategory,Stat,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop
Torture,Abuse,BIC,16155.53,16165.77,21179.16,16118.16,16165.77,21054.66,2547.12,2539.75,3339.25,2545.49,2539.75,3334.56,2515.75,2539.75,3297.05,16163.18,16165.77,21158.89,16161.98,16165.77,21140.52,17648.92,17679.51,22468.94
Torture,Abuse,loglike,-7786.64,-7796.31,-10303.0,-7767.96,-7796.31,-10240.76,-1176.0,-1176.38,-1576.13,-1175.19,-1176.38,-1573.79,-1160.32,-1176.38,-1555.04,-7790.47,-7796.31,-10292.87,-7789.86,-7796.31,-10283.69,-8531.73,-8551.6,-10946.32
AcademicFreedom,EndogPublicEducation,betaw,,0.94,,,0.94,,,0.78,,,0.78,,,0.78,,,0.94,,,0.94,,,0.95,
AcademicFreedom,EndogPublicEducation,betap,0.14,,0.24,-0.12,,-0.3,0.13,,0.1,0.0,,0.06,0.09,,0.17,0.04,,0.21,-0.03,,-0.16,0.0,,0.0
AcademicFreedom,EndogPublicEducation,tstatw,,18.78,,,18.78,,,8.65,,,8.65,,,8.65,,,18.78,,,18.78,,,19.38,
AcademicFreedom,EndogPublicEducation,tstatp,1.55,,1.29,-0.91,,-1.57,0.75,,0.51,0.01,,0.13,0.4,,0.6,0.61,,1.74,-0.26,,-1.1,1.09,,2.27
AcademicFreedom,EndogPublicEducation,AIC,-16993.59,-16954.02,-9095.81,-16994.73,-16954.02,-9155.18,-11293.85,-11289.19,-9622.07,-11287.16,-11289.19,-9619.74,-11290.56,-11289.19,-9626.69,-16962.5,-16954.02,-9156.63,-16953.54,-16954.02,-9068.57,-17332.63,-17312.46,-9286.73
AcademicFreedom,EndogPublicEducation,BIC,-16542.32,-16509.78,-8651.57,-16543.46,-16509.78,-8710.95,-11147.33,-11148.75,-9481.63,-11140.63,-11148.75,-9479.3,-11144.03,-11148.75,-9486.25,-16511.23,-16509.78,-8712.4,-16502.27,-16509.78,-8624.33,-16879.94,-16866.82,-8841.09
AcademicFreedom,EndogPublicEducation,loglike,8561.28,8540.48,4611.37,8561.85,8540.48,4641.06,5671.11,5667.76,4834.2,5667.76,5667.76,4833.04,5669.46,5667.76,4836.51,8545.73,8540.48,4641.78,8541.26,8540.48,4597.75,8730.79,8719.69,4706.82
CampusFree,EndogPublicEducation,betaw,,4.13,,,4.13,,,3.69,,,3.69,,,3.69,,,4.13,,,4.13,,,4.22,
CampusFree,EndogPublicEducation,betap,0.72,,1.22,-0.78,,-1.56,0.61,,0.5,-0.15,,0.11,0.31,,0.69,-0.03,,0.74,0.06,,-0.52,0.01,,0.02
CampusFree,EndogPublicEducation,tstatw,,15.12,,,15.12,,,7.23,,,7.23,,,7.23,,,15.12,,,15.12,,,15.7,
CampusFree,EndogPublicEducation,tstatp,1.34,,1.35,-1.16,,-1.67,0.7,,0.54,-0.08,,0.06,0.28,,0.49,-0.09,,1.23,0.11,,-0.66,1.16,,2.26
CampusFree,EndogPublicEducation,AIC,13017.95,13050.84,18375.36,12995.43,13050.84,18304.57,322.29,325.23,1580.94,327.13,325.23,1583.18,326.0,325.23,1578.99,13052.68,13050.84,18375.53,13052.59,13050.84,18418.74,13213.88,13241.74,18787.58
CampusFree,EndogPublicEducation,BIC,13468.45,13494.31,18818.84,13445.93,13494.31,18748.04,468.82,465.66,1721.38,473.66,465.66,1723.62,472.53,465.66,1719.42,13503.18,13494.31,18819.01,13503.09,13494.31,18862.21,13665.78,13686.6,19232.44
CampusFree,EndogPublicEducation,loglike,-6444.49,-6461.94,-9124.2,-6433.22,-6461.94,-9088.81,-136.97,-139.45,-767.31,-139.39,-139.45,-768.43,-138.82,-139.45,-766.33,-6461.85,-6461.94,-9124.29,-6461.81,-6461.94,-9145.89,-6542.46,-6557.4,-9330.33
SecondarySchool,EndogPublicEducation,betaw,,-8.92,,,-8.92,,,-5.95,,,-5.95,,,-5.95,,,-8.92,,,-8.92,,,-11.02,
SecondarySchool,EndogPublicEducation,betap,-16.7,,-18.21,8.8,,11.02,56.49,,55.98,46.34,,45.55,7.66,,6.84,5.07,,2.89,-9.51,,-8.62,0.56,,0.51
SecondarySchool,EndogPublicEducation,tstatw,,-2.06,,,-2.06,,,-0.5,,,-0.5,,,-0.5,,,-2.06,,,-2.06,,,-2.69,
SecondarySchool,EndogPublicEducation,tstatp,-2.48,,-2.61,0.98,,1.1,2.14,,2.15,1.23,,1.22,0.34,,0.31,0.87,,0.48,-1.23,,-1.02,3.76,,3.33
SecondarySchool,EndogPublicEducation,AIC,39050.48,39084.09,39109.51,39074.98,39084.09,39134.1,15259.47,15296.2,15262.01,15287.05,15296.2,15289.23,15297.65,15296.2,15299.55,39079.6,39084.09,39149.47,39075.06,39084.09,39142.6,39632.09,39924.86,39775.82
SecondarySchool,EndogPublicEducation,BIC,39405.81,39432.86,39458.28,39430.31,39432.86,39482.86,15397.21,15428.22,15394.02,15424.79,15428.22,15421.25,15435.38,15428.22,15431.57,39434.93,39432.86,39498.24,39430.39,39432.86,39491.37,39988.35,40274.54,40125.49
SecondarySchool,EndogPublicEducation,loglike,-19470.69,-19488.51,-19501.22,-19482.94,-19488.51,-19513.52,-7605.48,-7624.86,-7607.77,-7619.27,-7624.86,-7621.38,-7624.57,-7624.86,-7626.54,-19485.25,-19488.51,-19521.2,-19482.98,-19488.51,-19517.77,-19761.5,-19908.91,-19834.39
EliteWantCommonGood,EndogPublicGoods,betaw,,1.79,,,1.79,,,2.4,,,2.4,,,2.4,,,1.79,,,1.79,,,1.87,
EliteWantCommonGood,EndogPublicGoods,betap,-0.65,,-0.47,-0.18,,-0.52,-0.73,,-0.67,-1.38,,-0.96,-0.23,,0.18,0.44,,0.75,-1.12,,-1.38,0.01,,0.01
EliteWantCommonGood,EndogPublicGoods,tstatw,,6.24,,,6.24,,,4.64,,,4.64,,,4.64,,,6.24,,,6.24,,,6.29,
EliteWantCommonGood,EndogPublicGoods,tstatp,-0.99,,-0.57,-0.29,,-0.94,-0.92,,-0.76,-1.06,,-0.63,-0.28,,0.17,1.29,,2.29,-2.67,,-3.6,1.53,,2.23
EliteWantCommonGood,EndogPublicGoods,AIC,13786.53,13814.15,15149.7,13813.22,13814.15,15140.54,2406.79,2408.71,2778.8,2404.37,2408.71,2778.94,2410.33,2408.71,2781.51,13778.86,13814.15,15068.3,13729.69,13814.15,15049.36,16401.73,16444.41,17592.44
EliteWantCommonGood,EndogPublicGoods,BIC,14239.84,14260.39,15595.94,14266.53,14260.39,15586.78,2553.55,2549.37,2919.45,2551.12,2549.37,2919.6,2557.09,2549.37,2922.17,14232.17,14260.39,15514.54,14183.0,14260.39,15495.6,16858.3,16893.86,18041.88
EliteWantCommonGood,EndogPublicGoods,loglike,-6828.8,-6843.62,-7511.4,-6842.14,-6843.62,-7506.81,-1179.22,-1181.19,-1366.24,-1178.0,-1181.19,-1366.31,-1180.99,-1181.19,-1367.59,-6824.96,-6843.62,-7470.69,-6800.38,-6843.62,-7461.23,-8136.42,-8158.78,-8732.79
GoodsRatio,EndogPublicGoods,betaw,,0.11,,,0.11,,,0.13,,,0.13,,,0.13,,,0.11,,,0.11,,,0.11,
GoodsRatio,EndogPublicGoods,betap,0.03,,0.04,-0.06,,-0.08,0.04,,0.04,0.0,,0.02,0.02,,0.04,0.06,,0.08,-0.07,,-0.08,0.0,,0.0
GoodsRatio,EndogPublicGoods,tstatw,,4.25,,,4.25,,,4.65,,,4.65,,,4.65,,,4.25,,,4.25,,,4.17,
GoodsRatio,EndogPublicGoods,tstatp,0.72,,0.79,-0.65,,-0.91,0.7,,0.68,0.0,,0.21,0.29,,0.6,1.77,,2.33,-1.16,,-1.41,1.36,,1.83
GoodsRatio,EndogPublicGoods,AIC,-29593.68,-29587.12,-28930.58,-29626.28,-29587.12,-28986.69,-17391.51,-17390.18,-17017.94,-17388.15,-17390.18,-17015.01,-17388.94,-17390.18,-17018.19,-29667.06,-29587.12,-29050.6,-29622.75,-29587.12,-28970.02,-29204.42,-29168.15,-28656.73
GoodsRatio,EndogPublicGoods,BIC,-29140.44,-29140.95,-28484.41,-29173.04,-29140.95,-28540.51,-17244.76,-17249.53,-16877.29,-17241.4,-17249.53,-16874.36,-17242.19,-17249.53,-16877.54,-29213.81,-29140.95,-28604.42,-29169.51,-29140.95,-28523.84,-28748.44,-28719.27,-28207.86
GoodsRatio,EndogPublicGoods,loglike,14861.31,14857.02,14528.75,14877.61,14857.02,14556.8,8719.93,8718.25,8532.14,8718.25,8718.25,8530.67,8718.65,8718.25,8532.26,14898.0,14857.02,14588.76,14875.85,14857.02,14548.46,14666.66,14647.51,14391.8
PrivateorPublicGoods,EndogPublicGoods,betaw,,0.94,,,0.94,,,2.49,,,2.49,,,2.49,,,0.94,,,0.94,,,0.96,
PrivateorPublicGoods,EndogPublicGoods,betap,0.29,,0.39,-1.06,,-1.23,-0.42,,-0.36,-2.0,,-1.57,-1.3,,-0.86,0.12,,0.29,-0.04,,-0.18,0.0,,0.0
PrivateorPublicGoods,EndogPublicGoods,tstatw,,2.85,,,2.85,,,5.48,,,5.48,,,5.48,,,2.85,,,2.85,,,2.86,
PrivateorPublicGoods,EndogPublicGoods,tstatp,0.49,,0.59,-1.42,,-1.7,-0.5,,-0.41,-1.24,,-0.94,-1.35,,-0.78,0.35,,0.79,-0.08,,-0.33,0.03,,0.56
